condition,image_a,image_b,n_a,n_b,point_disagreement_a,point_disagreement_b,modes_a,modes_b,geometry_a,geometry_b,late_novelty_a,late_novelty_b,late_novelty_gap
manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,5,5,0.8,0.8,2,0,0.0689065641553,0.185937236499,0.28,1,0.72
manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,5,5,0.8,0.8,2,0,0.0689065641553,0.146360638413,0.28,1,0.72
manual,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,6,5,0.8,0.8,0,2,0.176820810761,0.0689065641553,1,0.28,0.72
manual,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,5,5,0.8,0.8,0,2,0.185937236499,0.0321426068445,1,0.29,0.71
manual,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,5,5,0.8,0.8,0,2,0.146360638413,0.0321426068445,1,0.29,0.71
manual,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,6,5,0.8,0.8,0,2,0.176820810761,0.0321426068445,1,0.29,0.71
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,6,6,0.6,0.6,1,2,0.29368440964,0.0088476368924,0.716666666667,0.0433333333333,0.673333333333
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,6,5,0.6,0.6,1,2,0.29368440964,0.0233200922082,0.716666666667,0.045,0.671666666667
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,6,5,0.6,0.6,1,2,0.29368440964,0.068378949442,0.716666666667,0.045,0.671666666667
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,6,5,0.6,0.6,1,2,0.29368440964,0.0440070008921,0.716666666667,0.055,0.661666666667
semi,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,4,0,0,1,1,0.183514681666,0.0353760932945,0.61,0,0.61
semi,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,4,0,0,1,1,0.183514681666,0.0372028502284,0.61,0,0.61
semi,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,4,0,0,1,1,0.183514681666,0.048236674243,0.61,0,0.61
semi,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,4,4,0,0,1,1,0,0.183514681666,0,0.61,0.61
semi,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,5,4,0,0,1,1,0.0764048005976,0.183514681666,0,0.61,0.61
