image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,not_supported_multimodal,6,3,0.24,0.0583784402525,0.513333333333,0.22,0.0566666666667,0.0595328500214
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,manual,mixed_point_and_geometry_multimodal,24,12,0.24375,0.0741951316541,0.599166666667,0.184166666667,0.0841666666667,0.06262602388
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,e9zR4mvMWw7,semi,mixed_point_and_geometry_multimodal,24,12,0.0858333333333,0.0496529998733,0.914166666667,0.02,0.0966666666667,0.0578821927137
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,different_point_only_multimodal,23,12,0.125760869565,0.041122027099,0.787272727273,0.134545454545,0.0390909090909,0.041349199694
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,manual,not_supported_multimodal,4,2,0.3275,0.0609947464975,0.125,0.285,0.375,0.057024089161
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ,manual,not_supported_multimodal,2,2,0,,,,,
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ,manual,not_supported_multimodal,2,2,0,,,,,
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ,manual,not_supported_multimodal,2,2,0,,,,,
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ,manual,not_supported_multimodal,2,2,0,,,,,
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ,manual,not_supported_multimodal,2,2,0,,,,,
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,jtcxE69GiFV,manual,not_supported_multimodal,3,2,0,0.0530160005502,1,0,0,0.0622727873146
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,jtcxE69GiFV,manual,not_supported_multimodal,3,2,0,0.0366257320384,1,0,0,0.0396746590923
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,manual,same_point_only_multimodal,6,3,0.196666666667,0.0681621420666,0.963333333333,0,0.333333333333,0.0648221226155
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,jtcxE69GiFV,manual,not_supported_multimodal,2,2,0,,,,,
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,jtcxE69GiFV,manual,not_supported_multimodal,2,2,0,,,,,
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,manual,not_supported_multimodal,4,2,0.33,0.0784122881281,0.165,0.355,0.335,0.0597262849979
