condition,kind,n_band,images,buildings,median_n,half_TV,late_new_geometry,late_support_promotions,half_future_coverage,full_within_geometry
manual,different_point_only_multimodal,all,20,8,6.5,0.194536801242,0.175737373737,0.355271464646,0.376972222222,0.0555156208537
manual,different_point_only_multimodal,4to9,12,8,5,0.205656746032,0.179027777778,0.523611111111,0.203611111111,0.0544448976202
manual,different_point_only_multimodal,10plus,8,4,23.5,0.177856884058,0.170801767677,0.102761994949,0.637013888889,0.0571217057041
manual,different_point_only_multimodal,20plus,7,3,24,0.176407867495,0.180757575758,0.0920454545455,0.635476190476,0.0577697973655
manual,mixed_point_and_geometry_multimodal,all,13,7,23,0.259017558528,0.266311188811,0.208682983683,0.455903263403,0.0706810070137
manual,mixed_point_and_geometry_multimodal,10plus,13,7,23,0.259017558528,0.266311188811,0.208682983683,0.455903263403,0.0706810070137
manual,mixed_point_and_geometry_multimodal,20plus,13,7,23,0.259017558528,0.266311188811,0.208682983683,0.455903263403,0.0706810070137
manual,not_supported_multimodal,all,108,22,5,0.158241914922,0.328412614517,0.1119568358,0.51995243129,0.0451089223049
manual,not_supported_multimodal,4to9,68,19,5,0.219742647059,0.352401960784,0.103259803922,0.494068627451,0.045179565443
manual,not_supported_multimodal,10plus,7,7,24,0.0822800207039,0.12145021645,0.0052316017316,0.874177489177,0.0355814502677
manual,not_supported_multimodal,20plus,7,7,24,0.0822800207039,0.12145021645,0.0052316017316,0.874177489177,0.0355814502677
manual,same_point_only_multimodal,all,25,13,23,0.16853402746,0.127673737374,0.210484848485,0.685187878788,0.0641380660818
manual,same_point_only_multimodal,4to9,7,6,6,0.210095238095,0.137142857143,0.476666666667,0.379285714286,0.0604536367866
manual,same_point_only_multimodal,10plus,18,10,24,0.152371334435,0.123991301908,0.10696969697,0.80414983165,0.0655708996965
manual,same_point_only_multimodal,20plus,16,8,24,0.134444067029,0.0926846590909,0.0909659090909,0.857376893939,0.0620112975263
semi,different_point_only_multimodal,all,5,5,23,0.161397233202,0.173196969697,0.0771060606061,0.70896969697,0.0346202640274
semi,different_point_only_multimodal,10plus,5,5,23,0.161397233202,0.173196969697,0.0771060606061,0.70896969697,0.0346202640274
semi,different_point_only_multimodal,20plus,5,5,23,0.161397233202,0.173196969697,0.0771060606061,0.70896969697,0.0346202640274
semi,mixed_point_and_geometry_multimodal,all,6,5,24,0.127083333333,0.0623611111111,0.125,0.80875,0.0609936501693
semi,mixed_point_and_geometry_multimodal,10plus,6,5,24,0.127083333333,0.0623611111111,0.125,0.80875,0.0609936501693
semi,mixed_point_and_geometry_multimodal,20plus,6,5,24,0.127083333333,0.0623611111111,0.125,0.80875,0.0609936501693
semi,not_supported_multimodal,all,27,9,4,0.189981481482,0.275154320988,0.168518518519,0.488364197531,0.030140740559
semi,not_supported_multimodal,4to9,24,9,4,0.211993055556,0.307708333333,0.189583333333,0.42625,0.0309841590724
semi,not_supported_multimodal,10plus,2,1,24,0.0208333333333,0.0220833333333,0,0.977916666667,0.0266031849644
semi,not_supported_multimodal,20plus,2,1,24,0.0208333333333,0.0220833333333,0,0.977916666667,0.0266031849644
semi,same_point_only_multimodal,all,5,4,24,0.101,0.0665,0.084,0.868833333333,0.065905416792
semi,same_point_only_multimodal,10plus,5,4,24,0.101,0.0665,0.084,0.868833333333,0.065905416792
semi,same_point_only_multimodal,20plus,5,4,24,0.101,0.0665,0.084,0.868833333333,0.065905416792
