condition,target,horizon_matched,donor,method_MAE,base_MAE,all_available_images,n,groups,delta,lo,hi
manual,half_TV,False,same_building_other_supported_component,0.13033056562,0.0980408327581,36,36,9,0.0322897328618,0.00476032806389,0.0660987864907
manual,half_TV,False,same_human_scene_other_building_room,0.131393031682,0.103413476816,43,43,15,0.0279795548655,0.0101599599242,0.0490656617901
manual,half_TV,False,same_physical_room,0.100671648551,0.0992232358522,24,24,7,0.0014484126985,-0.0199674566443,0.0362664314641
manual,half_TV,True,same_building_other_supported_component,0.140080012077,0.0977109299517,30,30,8,0.0423690821256,-0.00289440993805,0.0838824157726
manual,half_TV,True,same_human_scene_other_building_room,0.140925422705,0.103632332643,42,42,14,0.0372930900621,0.0161418025362,0.0691315814597
manual,half_TV,True,same_physical_room,0.129092270531,0.108530555555,15,15,5,0.0205617149759,0.00238063607089,0.0570666666666
manual,half_future_uncovered,False,same_building_other_supported_component,0.386912878788,0.331277356902,36,36,9,0.0556355218855,-0.0523632566265,0.174814074121
manual,half_future_uncovered,False,same_human_scene_other_building_room,0.419136275546,0.339953312192,43,43,15,0.0791829633546,-0.00879946786399,0.159708786232
manual,half_future_uncovered,False,same_physical_room,0.244346590909,0.345631313131,24,24,7,-0.101284722222,-0.20755274667,-0.00700577200579
manual,half_future_uncovered,True,same_building_other_supported_component,0.439659090909,0.290970959596,30,30,8,0.148688131313,0.0394928977275,0.242980101496
manual,half_future_uncovered,True,same_human_scene_other_building_room,0.423031204906,0.330095598846,42,42,14,0.0929356060606,0.0209578193531,0.18786331932
manual,half_future_uncovered,True,same_physical_room,0.247777777778,0.298310606061,15,15,5,-0.0505328282829,-0.17841991342,0.103134469697
manual,late_novel_geometry_rate,False,same_building_other_supported_component,0.257430555556,0.226203703704,36,36,9,0.0312268518516,-0.0294346543446,0.121485826002
manual,late_novel_geometry_rate,False,same_human_scene_other_building_room,0.292170542636,0.229651162791,43,43,15,0.0625193798448,0.00673944978606,0.128603325604
manual,late_novel_geometry_rate,False,same_physical_room,0.252638888889,0.262291666667,24,24,7,-0.00965277777819,-0.0674233870972,0.0972492690054
manual,late_novel_geometry_rate,True,same_building_other_supported_component,0.292805555556,0.234722222222,30,30,8,0.0580833333333,-0.0564557291667,0.158475490196
manual,late_novel_geometry_rate,True,same_human_scene_other_building_room,0.317857142857,0.229087301587,42,42,14,0.0887698412699,0.0293720561594,0.164256770833
manual,late_novel_geometry_rate,True,same_physical_room,0.336888888889,0.329944444445,15,15,5,0.0069444444443,-0.0423484848487,0.109523809524
manual,stable_G10,False,same_building_other_supported_component,0.275,0.375555555556,9,9,3,-0.100555555556,-0.67,0.1075
manual,stable_G10,False,same_human_scene_other_building_room,0.369423076923,0.37,13,13,7,-0.000576923076923,-0.100625,0.0466364583333
manual,stable_G10,False,same_physical_room,0.48,0.37,4,4,2,0.11,-0.055,0.275
manual,stable_G10,True,same_building_other_supported_component,0.325,0.29125,8,8,3,0.03375,-0.305,0.1775
manual,stable_G10,True,same_human_scene_other_building_room,0.464444444444,0.440555555556,9,9,6,0.0238888888889,-0.1751875,0.217214285714
manual,supported_multimodal,False,same_building_other_supported_component,0.341346153846,0.288461538462,52,52,14,0.0528846153846,-0.0454755892256,0.142857142857
manual,supported_multimodal,False,same_human_scene_other_building_room,0.349137931034,0.275862068966,58,58,18,0.073275862069,0.0124948770492,0.154784366577
manual,supported_multimodal,False,same_physical_room,0.484848484848,0.333333333333,33,33,11,0.151515151515,-0.027086645469,0.314323308271
manual,supported_multimodal,True,same_building_other_supported_component,0.217948717949,0.153846153846,39,39,11,0.0641025641026,0,0.137550872093
manual,supported_multimodal,True,same_human_scene_other_building_room,0.190909090909,0.127272727273,55,55,18,0.0636363636364,0.0178571428571,0.12300204918
manual,supported_multimodal,True,same_physical_room,0.25,0.125,24,24,9,0.125,0.0384615384615,0.263157894737
semi,half_TV,False,same_building_other_supported_component,0.0542635869566,0.101185869565,10,10,3,-0.0469222826084,-0.102789855072,0.0705833333335
semi,half_TV,False,same_human_scene_other_building_room,0.142346014493,0.105704710145,16,16,9,0.036641304348,0.00775526919804,0.0793240224358
semi,half_TV,True,same_building_other_supported_component,0.028037817029,0.0428736413046,8,8,2,-0.0148358242756,-0.023737318841,0
semi,half_TV,True,same_human_scene_other_building_room,0.147317193676,0.0867868906457,11,11,7,0.06053030303,0.0104663690475,0.115841145833
semi,half_future_uncovered,False,same_building_other_supported_component,0.221022727273,0.386242424243,10,10,3,-0.16521969697,-0.542272727273,0.2925
semi,half_future_uncovered,False,same_human_scene_other_building_room,0.480461647727,0.365849905303,16,16,9,0.114611742424,0.00444684343432,0.291231206294
semi,half_future_uncovered,True,same_building_other_supported_component,0.0975284090908,0.134820075758,8,8,2,-0.0372916666669,-0.0461666666671,-0.0225
semi,half_future_uncovered,True,same_human_scene_other_building_room,0.385509641874,0.254187327824,11,11,7,0.13132231405,-0.0042008006197,0.325932659933
semi,late_novel_geometry_rate,False,same_building_other_supported_component,0.153666666667,0.232833333333,10,10,3,-0.0791666666665,-0.119333333333,0.075
semi,late_novel_geometry_rate,False,same_human_scene_other_building_room,0.2421875,0.205729166667,16,16,9,0.0364583333334,-0.0335031862743,0.1625
semi,late_novel_geometry_rate,True,same_building_other_supported_component,0.109583333333,0.120520833333,8,8,2,-0.0109375,-0.016,-0.0025
semi,late_novel_geometry_rate,True,same_human_scene_other_building_room,0.211363636364,0.170833333333,11,11,7,0.0405303030303,-0.0631060606061,0.141463169643
