export_source_file,task_id,annotation_id,project_id,schema_version,raw_field_profile,quality_choices,scope_choices,difficulty_choices,model_issue_choices,annotation_created_at,annotation_updated_at,recommended_disposition
project-2-at-2025-11-24-12-47-4b439ec4.json,473,10,2,malformed,missing,,,,,2025-11-24T12:36:00.921733Z,2025-11-24T12:36:00.921751Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,459,1,2,legacy_quality_only,quality,normal,,,,2025-12-03T07:58:17.333411Z,2025-12-03T07:58:17.333427Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,461,2,2,legacy_quality_only,quality,normal,,,,2025-12-03T08:00:00.667219Z,2025-12-03T08:00:00.667235Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,462,3,2,legacy_quality_only,quality,complex,,,,2025-12-03T09:03:53.028335Z,2025-12-03T09:03:53.028350Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,463,4,2,legacy_quality_only,quality,normal,,,,2025-12-03T10:43:27.782302Z,2025-12-03T10:43:27.782316Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,464,5,2,malformed,missing,,,,,2025-12-03T10:48:51.175247Z,2025-12-03T10:48:51.175262Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-03-31-36c1c5d3.json,465,6,2,malformed,missing,,,,,2025-12-20T03:31:45.528636Z,2025-12-20T03:31:45.528651Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,459,1,2,legacy_quality_only,quality,normal,,,,2025-12-03T07:58:17.333411Z,2025-12-03T07:58:17.333427Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,461,2,2,legacy_quality_only,quality,normal,,,,2025-12-03T08:00:00.667219Z,2025-12-03T08:00:00.667235Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,462,3,2,legacy_quality_only,quality,complex,,,,2025-12-03T09:03:53.028335Z,2025-12-03T09:03:53.028350Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,463,4,2,legacy_quality_only,quality,normal,,,,2025-12-03T10:43:27.782302Z,2025-12-03T10:43:27.782316Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,464,5,2,malformed,missing,,,,,2025-12-03T10:48:51.175247Z,2025-12-03T10:48:51.175262Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-20-05-00-36c1c5d3.json,465,6,2,malformed,missing,,,,,2025-12-20T03:31:45.528636Z,2025-12-20T03:31:45.528651Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,459,1,2,legacy_quality_only,quality,normal,,,,2025-12-03T07:58:17.333411Z,2025-12-03T07:58:17.333427Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,461,2,2,legacy_quality_only,quality,normal,,,,2025-12-03T08:00:00.667219Z,2025-12-03T08:00:00.667235Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,462,3,2,legacy_quality_only,quality,complex,,,,2025-12-03T09:03:53.028335Z,2025-12-03T09:03:53.028350Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,463,4,2,legacy_quality_only,quality,normal,,,,2025-12-03T10:43:27.782302Z,2025-12-03T10:43:27.782316Z,exclude_from_formal_estimand_review_in_compat
