scope,stratum,x,y,contexts,images,buildings,rho,ci_low,ci_high,building_mean_rho,interval
extended73,all,bi_floor,d_floor,72,72,16,0.49453456854801386,0.318734226041897,0.6535463745978951,0.43119952806910306,500_building_bootstrap_conditional_on_historical_workers
extended73,all,bi_band,d_band,49,49,15,0.4397845064298039,0.15356547844765758,0.6013212171344974,0.4071428571428571,500_building_bootstrap_conditional_on_historical_workers
extended73,all,bi_linear,d_linear,49,49,15,0.35678852508786324,0.10097002839873011,0.5146447770595193,0.3,500_building_bootstrap_conditional_on_historical_workers
extended73,all,bi_solid,d_solid,49,49,15,0.41974197121292917,0.11811289967526756,0.5987172879081328,0.3714285714285714,500_building_bootstrap_conditional_on_historical_workers
extended73,all,bi_floor,cluster_count,72,72,16,0.4780888237982638,0.29433210418491107,0.6356287237677467,0.5007407375131404,500_building_bootstrap_conditional_on_historical_workers
extended73,C1|manual,bi_floor,d_floor,12,12,5,0.469352733786692,-0.43209876543209874,0.9385182297751195,0.7,500_building_bootstrap_conditional_on_historical_workers
extended73,C1|manual,bi_band,d_band,7,7,4,0.48650622985560193,-1.0,1.0,0.39999999999999997,500_building_bootstrap_conditional_on_historical_workers
extended73,C1|manual,bi_linear,d_linear,7,7,4,0.01801874925391118,-1.0,0.8,-0.7999999999999999,500_building_bootstrap_conditional_on_historical_workers
extended73,C1|manual,bi_solid,d_solid,7,7,4,0.5585812268712466,-1.0,1.0,0.19999999999999998,500_building_bootstrap_conditional_on_historical_workers
extended73,C1|manual,bi_floor,cluster_count,12,12,5,0.40646942234853023,0.10023489410787398,0.8738275920531945,0.8207826816681233,500_building_bootstrap_conditional_on_historical_workers
extended73,C2-B|manual,bi_floor,d_floor,4,4,3,0.632455532033676,0.0,0.9428090415820635,,500_building_bootstrap_conditional_on_historical_workers
extended73,C2-B|manual,bi_band,d_band,3,3,2,,,,,500_building_bootstrap_conditional_on_historical_workers
extended73,C2-B|manual,bi_linear,d_linear,3,3,2,,,,,500_building_bootstrap_conditional_on_historical_workers
extended73,C2-B|manual,bi_solid,d_solid,3,3,2,,,,,500_building_bootstrap_conditional_on_historical_workers
extended73,C2-B|manual,bi_floor,cluster_count,4,4,3,0.9486832980505139,0.7453559924999299,0.9486832980505139,,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|manual,bi_floor,d_floor,29,29,12,0.5582684295858952,0.27425390423568496,0.7613391398251766,0.6690027772631206,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|manual,bi_band,d_band,18,18,10,0.5370469250492601,0.05268151826519057,0.821936700421426,0.47416632407045034,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|manual,bi_linear,d_linear,18,18,10,0.7038964551616516,0.24319594206902306,0.9384668262865202,0.5045616012544536,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|manual,bi_solid,d_solid,18,18,10,0.5662455928189286,-0.02732255943095336,0.8358313178181492,0.4863244349440517,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|manual,bi_floor,cluster_count,29,29,12,0.4549608127190196,0.11732342469718991,0.74886233583116,0.4593754293639656,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|oos,bi_floor,d_floor,9,9,6,-0.04184137043778616,-0.9587595907928388,0.8000000000000002,-0.2,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|oos,bi_band,d_band,5,5,4,0.7,-0.5000000000000001,1.0,1.0,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|oos,bi_linear,d_linear,5,5,4,-0.8999999999999998,-1.0,-0.33124999999999716,-0.39999999999999997,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|oos,bi_solid,d_solid,5,5,4,0.19999999999999998,-1.0,1.0,0.39999999999999997,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|oos,bi_floor,cluster_count,9,9,6,0.6638838859069907,-0.5117980214902519,0.9513481440246997,0.5217939320872036,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|semi,bi_floor,d_floor,18,18,10,0.3047630891984219,-0.23416090048732136,0.6947020332242559,0.2024692293161501,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|semi,bi_band,d_band,16,16,9,-0.0879651081098014,-0.3936116356417936,0.2885687225971799,0.2928895930645031,500_building_bootstrap_conditional_on_historical_workers
extended73,P1|semi,bi_linear,d_linear,16,16,9,-0.2120587427646998,-0.6461451832509245,0.2022877465061405,-0.25941649671427414,500_building_bootstrap_conditional_on_historical_workers
