condition,axis,n_people,composition_a,composition_b,measure,n,groups,delta,lo,hi,group_macro
manual,Q,4,lower_axis,higher_axis,point_count_disagreement,46,15,-0.184782608696,-0.329173934109,-0.0763640873016,-0.235774410774
manual,Q,4,lower_axis,higher_axis,singleton_mass,46,15,-0.161231884058,-0.264156365214,-0.03125,-0.152651515152
manual,Q,4,lower_axis,higher_axis,within_mode_median,33,14,-0.0127469208827,-0.0193231613144,-0.00399937428606,-0.00953141588014
manual,Q,4,lower_axis,higher_axis,mode_entropy,46,15,-0.430609125863,-0.649431458613,-0.199279645759,-0.410592391106
manual,Q,4,lower_axis,higher_axis,n_supported_modes,46,15,0.0869565217391,-0.0882615546218,0.245614035088,0.0686868686869
manual,Q,4,lower_axis,higher_axis,p_early7,43,15,0.236434108527,0.105529279279,0.407390556598,0.185074074074
manual,Q,4,lower_axis,higher_axis,p_by19,43,15,0.236434108527,0.105529279279,0.407390556598,0.185074074074
manual,Q,4,lower_axis,higher_axis,p_tail,43,15,0.159689922481,0.0560549242424,0.295011363636,0.135444444444
manual,Q,4,lower_axis,higher_axis,late_new,43,15,-0.197286821705,-0.293545138889,-0.0913773959794,-0.228277777778
manual,Q,4,mixed_axis,lower_axis,point_count_disagreement,46,15,0.144927536232,0.0833333333333,0.224365942029,0.183249158249
manual,Q,4,mixed_axis,lower_axis,singleton_mass,46,15,0.0923913043478,-0.0022032620614,0.165423786863,0.0799242424242
manual,Q,4,mixed_axis,lower_axis,within_mode_median,33,14,0.00331410019658,-0.00126549458087,0.00774642723798,0.0027135489333
manual,Q,4,mixed_axis,lower_axis,mode_entropy,46,15,0.245080095136,0.12496706396,0.346466704255,0.266677697425
manual,Q,4,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0434782608696,-0.174603174603,0.146359397418,0.0262626262626
manual,Q,4,mixed_axis,lower_axis,p_early7,43,15,-0.114728682171,-0.198702967674,-0.01109375,-0.0483703703704
manual,Q,4,mixed_axis,lower_axis,p_by19,43,15,-0.114728682171,-0.198702967674,-0.01109375,-0.0483703703704
manual,Q,4,mixed_axis,lower_axis,p_tail,43,15,-0.0604651162791,-0.124034807722,0.00778174603175,-0.00433333333333
manual,Q,4,mixed_axis,lower_axis,late_new,43,15,0.11511627907,0.0579334077381,0.177795138889,0.157814814815
manual,Q,4,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0739988558352,-0.00660689714482,0.132014600896,0.000915957823853
manual,Q,4,mixed_axis,random_same_panel,singleton_mass,46,15,0.00952517162471,-0.0773010117624,0.062238966557,-0.0560277113238
manual,Q,4,mixed_axis,random_same_panel,within_mode_median,36,14,0.00260288443373,-0.00187041234079,0.00666133904112,0.00233753776722
manual,Q,4,mixed_axis,random_same_panel,mode_entropy,46,15,0.0173161663862,-0.105737511411,0.0955090382908,-0.0667056721389
manual,Q,4,mixed_axis,random_same_panel,n_supported_modes,46,15,0.00411899313501,-0.091677540817,0.158595629699,0.108003721425
manual,Q,4,mixed_axis,random_same_panel,p_early7,43,15,0.0077519379845,-0.0629316499896,0.123494605655,0.0677185185185
manual,Q,4,mixed_axis,random_same_panel,p_by19,43,15,0.0077519379845,-0.0629316499896,0.123494605655,0.0677185185185
manual,Q,4,mixed_axis,random_same_panel,p_tail,43,15,0.0053488372093,-0.0475871462264,0.0993586805556,0.0733166666667
manual,Q,4,mixed_axis,random_same_panel,late_new,43,15,0.0143186654507,-0.0538185489053,0.0558583746488,-0.0353294359719
manual,Q,6,lower_axis,higher_axis,point_count_disagreement,46,15,-0.15652173913,-0.238522222222,-0.0872668350168,-0.164478114478
manual,Q,6,lower_axis,higher_axis,singleton_mass,46,15,-0.224637681159,-0.303858695652,-0.124443089431,-0.20063973064
manual,Q,6,lower_axis,higher_axis,within_mode_median,37,14,-0.0146982612327,-0.0236214127503,-0.0056684558207,-0.014193196489
manual,Q,6,lower_axis,higher_axis,mode_entropy,46,15,-0.634006226574,-0.796213225702,-0.38115763181,-0.479971846462
manual,Q,6,lower_axis,higher_axis,n_supported_modes,46,15,0.173913043478,-0.0667045454545,0.425089285714,0.235353535354
manual,Q,6,lower_axis,higher_axis,p_early7,42,14,0.292063492063,0.176034564394,0.3972702761,0.171349206349
manual,Q,6,lower_axis,higher_axis,p_by19,42,14,0.292063492063,0.176034564394,0.3972702761,0.171349206349
manual,Q,6,lower_axis,higher_axis,p_tail,42,14,0.268253968254,0.141660353535,0.391486771149,0.171031746032
manual,Q,6,lower_axis,higher_axis,late_new,42,14,-0.221693121693,-0.300615275563,-0.121829501916,-0.208743386243
manual,Q,6,mixed_axis,lower_axis,point_count_disagreement,46,15,0.138405797101,0.0771902412281,0.191679964539,0.114814814815
manual,Q,6,mixed_axis,lower_axis,singleton_mass,46,15,0.134057971014,0.0444308943089,0.192960191706,0.0976094276094
manual,Q,6,mixed_axis,lower_axis,within_mode_median,43,15,0.00133956799371,-0.0060333121912,0.0115846863691,0.000654414747522
manual,Q,6,mixed_axis,lower_axis,mode_entropy,46,15,0.37733018696,0.195516386196,0.491431252066,0.254599285789
manual,Q,6,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0869565217391,-0.236375598086,0.0909090909091,-0.089898989899
manual,Q,6,mixed_axis,lower_axis,p_early7,43,15,-0.204651162791,-0.339409090909,-0.0768278225433,-0.115333333333
manual,Q,6,mixed_axis,lower_axis,p_by19,43,15,-0.204651162791,-0.339409090909,-0.0768278225433,-0.115333333333
manual,Q,6,mixed_axis,lower_axis,p_tail,43,15,-0.18992248062,-0.311661283376,-0.0777696078431,-0.106481481481
manual,Q,6,mixed_axis,lower_axis,late_new,43,15,0.150129198966,0.0936487050961,0.191254436254,0.133543209877
manual,Q,6,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0625362318841,-0.0124147509579,0.112717881944,0.00960942760943
manual,Q,6,mixed_axis,random_same_panel,singleton_mass,46,15,0.00336956521739,-0.0589674479167,0.0451895424837,-0.0439730639731
manual,Q,6,mixed_axis,random_same_panel,within_mode_median,44,15,-0.00601345908865,-0.0100275807504,-9.02606430388e-05,-0.00563193720633
manual,Q,6,mixed_axis,random_same_panel,mode_entropy,46,15,0.031852478297,-0.0772245318731,0.0998517287514,-0.0567154839879
manual,Q,6,mixed_axis,random_same_panel,n_supported_modes,46,15,0.0358695652174,-0.0593851902174,0.177179089027,0.0973484848485
manual,Q,6,mixed_axis,random_same_panel,p_early7,43,15,-0.05,-0.130521640363,0.0276171216717,-0.0348666666667
manual,Q,6,mixed_axis,random_same_panel,p_by19,43,15,-0.05,-0.130521640363,0.0276171216717,-0.0348666666667
manual,Q,6,mixed_axis,random_same_panel,p_tail,43,15,-0.0348837209302,-0.0952560035389,0.0111846590909,-0.022362962963
manual,Q,6,mixed_axis,random_same_panel,late_new,43,15,0.0235933452936,-0.0210919673692,0.0536884529064,-0.0110665322433
manual,Q,8,lower_axis,higher_axis,point_count_disagreement,46,15,-0.128002070393,-0.216381292517,-0.0633606417477,-0.149929052429
manual,Q,8,lower_axis,higher_axis,singleton_mass,46,15,-0.18465320911,-0.247770957341,-0.120153613771,-0.197156084656
manual,Q,8,lower_axis,higher_axis,within_mode_median,41,14,-0.0127742875323,-0.0190478193537,-0.00526045598891,-0.0103947025504
manual,Q,8,lower_axis,higher_axis,mode_entropy,46,15,-0.650350652234,-0.789276026479,-0.482070646847,-0.589197434625
manual,Q,8,lower_axis,higher_axis,n_supported_modes,46,15,0.0652173913043,-0.195760869565,0.357214285714,0.167171717172
manual,Q,8,lower_axis,higher_axis,p_early7,40,13,0.295833333333,0.203114442568,0.42224537037,0.312735042735
manual,Q,8,lower_axis,higher_axis,p_by19,40,13,0.295833333333,0.203114442568,0.42224537037,0.312735042735
manual,Q,8,lower_axis,higher_axis,p_tail,40,13,0.333333333333,0.217419670846,0.469264705882,0.305128205128
manual,Q,8,lower_axis,higher_axis,late_new,40,13,-0.169166666667,-0.242207752107,-0.0829128787879,-0.178044871795
manual,Q,8,mixed_axis,lower_axis,point_count_disagreement,46,15,0.114596273292,0.0451680672269,0.176248536044,0.0796151996152
manual,Q,8,mixed_axis,lower_axis,singleton_mass,46,15,0.140786749482,0.0516989499288,0.207967952806,0.106120731121
manual,Q,8,mixed_axis,lower_axis,within_mode_median,44,15,0.00258278473134,-0.0040602145923,0.0120118722484,0.00349885017484
manual,Q,8,mixed_axis,lower_axis,mode_entropy,46,15,0.433032110477,0.237097086431,0.5791371396,0.329928583015
manual,Q,8,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0869565217391,-0.272727272727,0.122027439024,-0.039898989899
manual,Q,8,mixed_axis,lower_axis,p_early7,43,15,-0.171317829457,-0.342427466151,0,-0.102666666667
manual,Q,8,mixed_axis,lower_axis,p_by19,43,15,-0.171317829457,-0.342427466151,0,-0.102666666667
manual,Q,8,mixed_axis,lower_axis,p_tail,43,15,-0.164341085271,-0.325776029526,-0.00499404761905,-0.0794444444444
manual,Q,8,mixed_axis,lower_axis,late_new,43,15,0.147093023256,0.0659788915566,0.208652692209,0.107305555556
manual,Q,8,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0522748447205,-0.012525421627,0.091959399975,-0.00778631553632
manual,Q,8,mixed_axis,random_same_panel,singleton_mass,46,15,0.0393439440994,-0.0359322459795,0.0931022156847,-0.0143605699856
manual,Q,8,mixed_axis,random_same_panel,within_mode_median,45,15,-0.00172742283216,-0.00609016170327,0.00339825456563,-0.0004989197991
manual,Q,8,mixed_axis,random_same_panel,mode_entropy,46,15,0.0877113589814,-0.0699193714137,0.198268444797,-0.0265475304904
manual,Q,8,mixed_axis,random_same_panel,n_supported_modes,46,15,-0.0521739130435,-0.20112797619,0.147690891473,0.0364393939394
manual,Q,8,mixed_axis,random_same_panel,p_early7,43,15,-0.0187984496124,-0.0997357482993,0.0620524181548,0.00032037037037
manual,Q,8,mixed_axis,random_same_panel,p_by19,43,15,-0.0187984496124,-0.0997357482993,0.0620524181548,0.00032037037037
manual,Q,8,mixed_axis,random_same_panel,p_tail,43,15,0.00848837209302,-0.087515625,0.0918836805556,0.0223333333333
manual,Q,8,mixed_axis,random_same_panel,late_new,43,15,0.0498509597638,-0.0194614955357,0.0978342956889,-0.0146845458554
manual,Q,10,lower_axis,higher_axis,point_count_disagreement,46,15,-0.124309868875,-0.188116886728,-0.0770780846253,-0.144927849928
manual,Q,10,lower_axis,higher_axis,singleton_mass,46,15,-0.124758454106,-0.175573848238,-0.0689921717172,-0.123984287318
manual,Q,10,lower_axis,higher_axis,within_mode_median,45,14,-0.00899469797108,-0.0133602683223,-0.00331086929819,-0.00735692356388
manual,Q,10,lower_axis,higher_axis,mode_entropy,46,15,-0.569322215763,-0.733412992401,-0.314280598133,-0.464413694914
manual,Q,10,lower_axis,higher_axis,n_supported_modes,46,15,-0.0869565217391,-0.346986236355,0.29417211329,0.00909090909091
manual,Q,10,lower_axis,higher_axis,p_early7,40,13,0.273333333333,0.145081699346,0.358648794143,0.199829059829
manual,Q,10,lower_axis,higher_axis,p_by19,40,13,0.239166666667,0.15353030303,0.284784255599,0.159401709402
manual,Q,10,lower_axis,higher_axis,p_tail,40,13,0.273333333333,0.145081699346,0.358648794143,0.199829059829
manual,Q,10,lower_axis,higher_axis,late_new,40,13,-0.121833333333,-0.18567016129,-0.0412366071429,-0.117153846154
manual,Q,10,mixed_axis,lower_axis,point_count_disagreement,46,15,0.108937198068,0.0486027298851,0.161955241862,0.0859147025814
manual,Q,10,mixed_axis,lower_axis,singleton_mass,46,15,0.112439613527,0.0529470486111,0.156410984848,0.0897306397306
manual,Q,10,mixed_axis,lower_axis,within_mode_median,45,15,0.00456026566731,-0.000770024788936,0.0119011173133,0.00501895976383
manual,Q,10,mixed_axis,lower_axis,mode_entropy,46,15,0.468158452654,0.242117116957,0.630222117609,0.372619196394
manual,Q,10,mixed_axis,lower_axis,n_supported_modes,46,15,0.0652173913043,-0.125,0.210526315789,0.089898989899
manual,Q,10,mixed_axis,lower_axis,p_early7,43,15,-0.198449612403,-0.292333333333,-0.0678133979885,-0.0926296296296
manual,Q,10,mixed_axis,lower_axis,p_by19,43,15,-0.185271317829,-0.257256689052,-0.0809447004608,-0.0953333333333
manual,Q,10,mixed_axis,lower_axis,p_tail,43,15,-0.198449612403,-0.292333333333,-0.0678133979885,-0.0926296296296
