measure,paired_views,mean_absolute_difference,nonzero_pairs
point_count_disagreement,12,0.172407302842,10
singleton_mass,12,0.234398331137,8
p_early7,9,0.148148148148,2
p_by19,9,0.148148148148,2
late_new,9,0.2,9
