condition,axis,n_people,composition,point_count_disagreement,singleton_mass,within_mode_median,mode_entropy,n_supported_modes,p_early7,p_by19,p_tail,late_new
manual,Q,4,higher_axis,0.467391304348,0.440217391304,0.0552157349596,1.13698919826,0.804347826087,0.2,0.2,0.159420289855,0.454710144928
manual,Q,4,lower_axis,0.282608695652,0.278985507246,0.0382430208239,0.706380072401,0.891304347826,0.450387596899,0.450387596899,0.33023255814,0.252713178295
manual,Q,4,mixed_axis,0.427536231884,0.371376811594,0.0488304864292,0.951460167537,0.847826086957,0.335658914729,0.335658914729,0.26976744186,0.367829457364
manual,Q,4,random_same_panel,0.353122730574,0.361201888163,0.0471913213993,0.932828246325,0.844226579521,0.315848214286,0.315848214286,0.254613095238,0.361235119048
manual,Q,6,higher_axis,0.431884057971,0.426086956522,0.0533239201161,1.50701134718,1.02173913043,0.161481481481,0.161481481481,0.112592592593,0.416296296296
manual,Q,6,lower_axis,0.275362318841,0.201449275362,0.0395064947687,0.87300512061,1.19565217391,0.454263565891,0.454263565891,0.37984496124,0.194573643411
manual,Q,6,mixed_axis,0.413768115942,0.335507246377,0.0402163878055,1.25033530757,1.10869565217,0.249612403101,0.249612403101,0.18992248062,0.344702842377
manual,Q,6,random_same_panel,0.351231884058,0.332137681159,0.045361050672,1.21848282927,1.07282608696,0.293455098935,0.293455098935,0.220700152207,0.320446473871
manual,Q,8,higher_axis,0.414855072464,0.369177018634,0.0533161517158,1.68597806188,1.34782608696,0.143410852713,0.143410852713,0.0744186046512,0.337790697674
manual,Q,8,lower_axis,0.28685300207,0.184523809524,0.0400899276077,1.03562740965,1.41304347826,0.418604651163,0.418604651163,0.384496124031,0.178294573643
manual,Q,8,mixed_axis,0.401449275362,0.325310559006,0.0430733072943,1.46865952013,1.32608695652,0.247286821705,0.247286821705,0.22015503876,0.325387596899
manual,Q,8,random_same_panel,0.349174430642,0.285966614907,0.0447900871704,1.38094816115,1.37826086957,0.264200385356,0.264200385356,0.210443159923,0.270895953757
manual,Q,10,higher_axis,0.405314009662,0.309661835749,0.0478670048467,1.76628090136,1.69565217391,0.162790697674,0.291472868217,0.162790697674,0.291782945736
manual,Q,10,lower_axis,0.281004140787,0.184903381643,0.0390766790202,1.1969586856,1.60869565217,0.417054263566,0.513953488372,0.417054263566,0.170852713178
manual,Q,10,mixed_axis,0.389941338854,0.297342995169,0.043564707079,1.66511713825,1.67391304348,0.218604651163,0.328682170543,0.218604651163,0.297519379845
manual,Q,10,random_same_panel,0.351775362319,0.256413043478,0.0440592585296,1.50728592562,1.65652173913,0.280812817507,0.40633059789,0.280812817507,0.235803048066
manual,Q,12,higher_axis,0.35202020202,0.274747474747,0.0444323022609,1.72493226219,1.76666666667,0.144047619048,0.322619047619,0.20119047619,0.245634920635
manual,Q,12,lower_axis,0.25101010101,0.179646464646,0.0378477810853,1.29237205932,1.8,0.411904761905,0.546428571429,0.44880952381,0.17123015873
manual,Q,12,mixed_axis,0.356228956229,0.27297979798,0.0418066015762,1.79351458738,1.93333333333,0.130952380952,0.336904761905,0.210714285714,0.254365079365
manual,Q,12,random_same_panel,0.31681986532,0.239696969697,0.0430949262035,1.54923326275,1.785,0.242140672783,0.425259938838,0.315474006116,0.203924566769
manual,T,4,higher_axis,0.391304347826,0.451086956522,0.0473099490545,1.07095455156,0.717391304348,0.294074074074,0.294074074074,0.228888888889,0.436296296296
manual,T,4,lower_axis,0.235507246377,0.277173913043,0.0484874535352,0.799002921035,0.95652173913,0.231851851852,0.231851851852,0.147407407407,0.264814814815
manual,T,4,mixed_axis,0.29347826087,0.298913043478,0.0350304491826,0.862585801548,0.95652173913,0.363043478261,0.363043478261,0.323913043478,0.317753623188
manual,T,4,random_same_panel,0.336779107726,0.373866521581,0.0462464577289,0.945825651662,0.820457018498,0.319106145251,0.319106145251,0.252923649907,0.367281191806
manual,T,6,higher_axis,0.426086956522,0.417391304348,0.0496446059047,1.41972388206,0.95652173913,0.209090909091,0.209090909091,0.166666666667,0.386616161616
manual,T,6,lower_axis,0.280434782609,0.30652173913,0.0439998860558,1.19070344556,1.13043478261,0.280303030303,0.280303030303,0.165909090909,0.259343434343
