image_id,building,condition,axis,n_people,distinct_grades,p_early_min,p_early_max,modes_min,modes_max,singleton_min,singleton_max,actual_unique_subsets
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,4,1,0.8,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,6,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,8,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,10,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,12,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,4,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,6,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,8,1,1,1,1,1,0,0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,10,1,1,1,1,1,0,0,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,4,2,0,0.8,1,1,0,0.5,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,6,2,0,1,1,2,0,0.5,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,8,1,0,0,1,2,0.125,0.5,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,10,3,0,0.733333333333,1,2,0.1,0.4,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,12,3,0,0.7,1,2,0.0833333333333,0.333333333333,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,T,4,2,0,1,0,1,0,1,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,T,6,1,0,0.6,1,2,0,0.666666666667,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,T,8,1,0,0,1,2,0.125,0.375,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,T,10,2,0,0,1,2,0.1,0.5,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,4,1,0,0,0,1,0.25,1,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,6,1,0,0,1,3,0,0.666666666667,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,8,1,0,0,1,2,0.125,0.625,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,10,3,0,0,1,3,0.1,0.5,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,12,2,0,0,1,3,0.0833333333333,0.333333333333,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,T,4,2,0,1,1,1,0,0.5,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,T,6,1,0,0,1,2,0.166666666667,0.666666666667,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,T,8,1,0,0,1,3,0.125,0.75,20
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,T,10,2,0,0.166666666667,1,3,0,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,4,1,0,0.7,1,2,0,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,6,1,0,0.733333333333,1,3,0,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,8,2,0,1,1,3,0,0.375,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,10,3,0,0.4,2,3,0,0.3,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,12,3,0,0.433333333333,2,3,0,0.333333333333,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,4,2,0,1,1,2,0,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,6,2,0,1,1,3,0,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,8,1,0,0,1,2,0.125,0.5,20
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,10,3,0,0.366666666667,2,3,0,0.4,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,4,2,0,1,0,1,0,1,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,6,1,0,0,1,2,0.166666666667,0.666666666667,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,8,1,0,0,1,2,0.125,0.625,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,10,2,0,0,1,3,0.1,0.5,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,12,3,0,0,1,4,0,0.5,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,T,4,2,0,1,0,2,0,1,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,T,6,2,0,1,1,2,0,0.666666666667,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,T,8,1,0,0,1,2,0.25,0.75,20
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,T,10,2,0,0,1,3,0.1,0.6,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,4,1,0,0,0,2,0,1,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,6,1,0,0,0,3,0,1,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,8,1,0,0.7,1,3,0,0.75,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,10,3,0,0.266666666667,1,4,0,0.6,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,12,2,0,0,1,5,0.0833333333333,0.583333333333,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,T,4,1,0,0,0,2,0,1,20
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,T,6,1,0,0,0,2,0.166666666667,1,20
