image_id,condition,building,cut,n_observed,n_valid,n_excluded,cluster,people,point_count,medoid_index,within_median,loo_mean_jaccard,loo_conditional_mean_jaccard,loo_pass75,loo_evaluable,medoid_worker,medoid_canonical_id
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,3,1,8,0,,,,,0,W001,1870bb9b73b8e731
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,1,1,8,1,,,,,0,W002,dc2410f47b0ae7f6
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,14,5,20,9,0.046116460955,0.988095238095,0.988095238095,0.958333333333,24,W015,c345eac5108fcf77
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,5,1,12,4,,,,,0,W010,95c53ad8a5a96289
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,15,3,20,5,0.0632896952578,0.970238095238,0.970238095238,0.958333333333,24,W011,255bcfbc04e42564
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,2,1,8,7,,,,,0,W013,dcf84084e2f4a4bf
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,4,1,8,10,,,,,0,W017,db928628d69b3f0a
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,16,1,20,13,,,,,0,W027,03e01729807e10b2
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,11,2,20,14,0.0357692799591,0.979166666667,1,1,22,W028,8cd45265d79ac735
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,8,1,16,15,,,,,0,W029,f7889df0393772a8
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,10,1,18,16,,,,,0,W030,42cd5a13d2ad90e1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,12,1,20,17,,,,,0,W031,8044ecb0849dfec0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,17,1,22,18,,,,,0,W032,31ba2b8e12c0dae4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,9,1,16,19,,,,,0,W033,8ada6a2e55916c35
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,13,1,20,20,,,,,0,W034,5dec5e1874a7a054
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,6,1,12,22,,,,,0,W036,9f069c3bb68abdf2
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,7,1,14,23,,,,,0,W037,60bba1fdafe4c9bd
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.1,24,24,0,3,1,8,0,,,,,0,W001,1870bb9b73b8e731
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.1,24,24,0,1,1,8,1,,,,,0,W002,dc2410f47b0ae7f6
