image_id,condition,building,cut,n_observed,n_valid,n_excluded,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.075,24,24,0,17,3,14,1,0.583333333333,0.416666666667,0.208333333333,11.0769230769,3.81977383503,0.688405797101,0.046116460955,5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.583333333333,0.420267489712,12,2,0.970238095238,0.666666666667,True,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.1,24,24,0,15,3,12,0,0.5,0.5,0.208333333333,9.29032258065,3.56977383503,0.688405797101,0.0477998760494,5;4;3;1;1;1;1;1;1;1;1;1;1;1;1,0.5,0.503921568627,12,0,0.946428571429,0.933333333333,True,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,7y3sRwLe3Va,0.125,24,24,0,13,3,10,1,0.416666666667,0.583333333333,0.333333333333,6.12765957447,3.16829583405,0.688405797101,0.051766398318,8;4;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.586925287356,9,1,1,0.4375,False,2
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,7y3sRwLe3Va,0.075,24,23,1,11,4,7,2,0.304347826087,0.695652173913,0.260869565217,6.08045977011,3.00097282525,0.660079051383,0.0336462107596,6;6;2;2;1;1;1;1;1;1;1,0.304347826087,0.703357182168,7,0,0.991304347826,0.444444444444,False,3
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,7y3sRwLe3Va,0.1,24,23,1,11,4,7,2,0.304347826087,0.695652173913,0.260869565217,6.08045977011,3.00097282525,0.660079051383,0.0336462107596,6;6;2;2;1;1;1;1;1;1;1,0.304347826087,0.703357182168,7,0,0.970073404856,0.916666666667,True,3
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,7y3sRwLe3Va,0.125,24,23,1,8,5,3,4,0.130434782609,0.869565217391,0.521739130435,3.24539877301,2.30532065133,0.660079051383,0.0596533515061,12;2;2;2;2;1;1;1,0.130434782609,0.883666274971,2,1,1,0,False,5
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,UwV83HsGsw3,0.075,24,24,0,17,6,11,5,0.458333333333,0.541666666667,0.125,14.4,3.97017552146,0.815217391304,0.032975789355,3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,0.458333333333,0.559093789607,11,0,1,0,False,4
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,UwV83HsGsw3,0.1,24,24,0,15,7,8,5,0.333333333333,0.666666666667,0.125,12.5217391304,3.77205520887,0.815217391304,0.0373276996157,3;3;2;2;2;2;2;1;1;1;1;1;1;1;1,0.333333333333,0.683848797251,8,0,0.989583333333,0.666666666667,True,4
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,UwV83HsGsw3,0.125,24,24,0,14,6,8,4,0.333333333333,0.666666666667,0.208333333333,9.93103448276,3.56977383503,0.815217391304,0.0770576748323,5;3;2;2;2;2;1;1;1;1;1;1;1;1,0.333333333333,0.680555555556,8,0,1,0,False,4
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,UwV83HsGsw3,0.075,24,23,1,17,3,14,2,0.608695652174,0.391304347826,0.217391304348,11.2553191489,3.84488193543,0.830039525692,0.0415047634162,5;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.608695652174,0.399108138239,14,0,1,0,False,3
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,UwV83HsGsw3,0.1,24,23,1,16,3,13,1,0.565217391304,0.434782608696,0.217391304348,10.3725490196,3.72510421794,0.830039525692,0.0469604746152,5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,0.565217391304,0.438707729469,10,3,1,0,False,3
