target,feature,images,buildings,mae
core10_p_by_19,bilayout__fc__global,9,6,0.120869427175
core10_p_by_19,bilayout__fc__regions,9,6,0.119737120891
core10_p_by_19,bilayout__fg_enclosed__global,9,6,0.123811111257
core10_p_by_19,bilayout__fg_enclosed__regions,9,6,0.121676567709
core10_p_by_19,bilayout__fg_extended__global,9,6,0.123979265359
core10_p_by_19,bilayout__fg_extended__regions,9,6,0.122115509253
core10_p_by_19,constant,9,6,0.118888888889
core10_p_by_19,da3__layer11__faces_concat,9,6,0.120322025239
core10_p_by_19,da3__layer11__faces_global,9,6,0.122988235862
core10_p_by_19,da3__layer11__faces_local16,9,6,0.122712795514
core10_p_by_19,da3__layer5__faces_concat,9,6,0.122384735617
core10_p_by_19,da3__layer5__faces_global,9,6,0.126449675094
core10_p_by_19,da3__layer5__faces_local16,9,6,0.123896310271
core10_p_by_19,da3__layer7__faces_concat,9,6,0.121266332712
core10_p_by_19,da3__layer7__faces_global,9,6,0.125948249667
core10_p_by_19,da3__layer7__faces_local16,9,6,0.124077569034
core10_p_by_19,da3__layer9__faces_concat,9,6,0.121549034892
core10_p_by_19,da3__layer9__faces_global,9,6,0.124053600712
core10_p_by_19,da3__layer9__faces_local16,9,6,0.123411871677
core10_p_by_19,feedback_counts,9,6,0.120056394425
core10_p_by_19,hohonet__compressed__global,9,6,0.123809942414
core10_p_by_19,hohonet__compressed__regions,9,6,0.120865296298
core10_p_by_19,hohonet__encoder_stage2__global,9,6,0.127770001985
core10_p_by_19,hohonet__encoder_stage2__regions,9,6,0.121122827609
core10_p_by_19,hohonet__encoder_stage4__global,9,6,0.123463182441
core10_p_by_19,hohonet__encoder_stage4__regions,9,6,0.119842631596
core10_p_by_19,hohonet__legacy_current,9,6,0.122271728485
core10_p_by_19,hohonet__refined__global,9,6,0.124861604306
core10_p_by_19,hohonet__refined__regions,9,6,0.121540546503
core10_p_by_19,hohonet__shared__global,9,6,0.12361416129
core10_p_by_19,hohonet__shared__regions,9,6,0.120383850056
core10_p_by_19,scene_frequency,9,6,0.139166666667
core10_p_by_19,ulayout__compressed__global,9,6,0.122045432685
core10_p_by_19,ulayout__compressed__local16,9,6,0.119930107216
core10_p_by_19,ulayout__transformer__global,9,6,0.123287777222
core10_p_by_19,ulayout__transformer__local16,9,6,0.121516900252
core_tail_10,bilayout__fc__global,9,6,0.169558481511
core_tail_10,bilayout__fc__regions,9,6,0.172374594659
core_tail_10,bilayout__fg_enclosed__global,9,6,0.176083781583
core_tail_10,bilayout__fg_enclosed__regions,9,6,0.177085204286
core_tail_10,bilayout__fg_extended__global,9,6,0.176323047012
core_tail_10,bilayout__fg_extended__regions,9,6,0.177344477223
core_tail_10,constant,9,6,0.181944444444
core_tail_10,da3__layer11__faces_concat,9,6,0.171797192422
core_tail_10,da3__layer11__faces_global,9,6,0.172311152884
core_tail_10,da3__layer11__faces_local16,9,6,0.173020969066
core_tail_10,da3__layer5__faces_concat,9,6,0.174658643906
core_tail_10,da3__layer5__faces_global,9,6,0.177885296045
core_tail_10,da3__layer5__faces_local16,9,6,0.175242001582
core_tail_10,da3__layer7__faces_concat,9,6,0.171664127497
core_tail_10,da3__layer7__faces_global,9,6,0.176968345388
core_tail_10,da3__layer7__faces_local16,9,6,0.175981816689
core_tail_10,da3__layer9__faces_concat,9,6,0.174061635612
core_tail_10,da3__layer9__faces_global,9,6,0.175321215714
core_tail_10,da3__layer9__faces_local16,9,6,0.175593798195
core_tail_10,feedback_counts,9,6,0.182950976307
core_tail_10,hohonet__compressed__global,9,6,0.176268051566
core_tail_10,hohonet__compressed__regions,9,6,0.176291087155
core_tail_10,hohonet__encoder_stage2__global,9,6,0.177004284112
core_tail_10,hohonet__encoder_stage2__regions,9,6,0.174450182748
core_tail_10,hohonet__encoder_stage4__global,9,6,0.176708557744
core_tail_10,hohonet__encoder_stage4__regions,9,6,0.175864425317
core_tail_10,hohonet__legacy_current,9,6,0.176791443411
core_tail_10,hohonet__refined__global,9,6,0.177586146335
core_tail_10,hohonet__refined__regions,9,6,0.177683348443
core_tail_10,hohonet__shared__global,9,6,0.176700617473
core_tail_10,hohonet__shared__regions,9,6,0.177649326296
core_tail_10,scene_frequency,9,6,0.177222222222
core_tail_10,ulayout__compressed__global,9,6,0.171711408928
core_tail_10,ulayout__compressed__local16,9,6,0.172851640218
core_tail_10,ulayout__transformer__global,9,6,0.175535643103
core_tail_10,ulayout__transformer__local16,9,6,0.175499388014
half_tv_all,bilayout__fc__global,9,6,0.0624529286207
half_tv_all,bilayout__fc__regions,9,6,0.0636295505429
half_tv_all,bilayout__fg_enclosed__global,9,6,0.0580374610569
half_tv_all,bilayout__fg_enclosed__regions,9,6,0.0608435095818
half_tv_all,bilayout__fg_extended__global,9,6,0.058015470886
half_tv_all,bilayout__fg_extended__regions,9,6,0.0606436582504
half_tv_all,constant,9,6,0.0787647306399
half_tv_all,da3__layer11__faces_concat,9,6,0.0640910920642
half_tv_all,da3__layer11__faces_global,9,6,0.0654586593638
half_tv_all,da3__layer11__faces_local16,9,6,0.0649232721272
half_tv_all,da3__layer5__faces_concat,9,6,0.0658242577132
half_tv_all,da3__layer5__faces_global,9,6,0.0672702291776
half_tv_all,da3__layer5__faces_local16,9,6,0.0666983625986
half_tv_all,da3__layer7__faces_concat,9,6,0.0646435266001
half_tv_all,da3__layer7__faces_global,9,6,0.0672899919881
half_tv_all,da3__layer7__faces_local16,9,6,0.0660309839271
half_tv_all,da3__layer9__faces_concat,9,6,0.0631052394054
half_tv_all,da3__layer9__faces_global,9,6,0.0643891697061
half_tv_all,da3__layer9__faces_local16,9,6,0.0638172230307
half_tv_all,feedback_counts,9,6,0.0586257972928
half_tv_all,hohonet__compressed__global,9,6,0.0583396326573
half_tv_all,hohonet__compressed__regions,9,6,0.0614633890396
half_tv_all,hohonet__encoder_stage2__global,9,6,0.0680559153574
half_tv_all,hohonet__encoder_stage2__regions,9,6,0.0652162608108
half_tv_all,hohonet__encoder_stage4__global,9,6,0.0613099767516
half_tv_all,hohonet__encoder_stage4__regions,9,6,0.0625960408807
half_tv_all,hohonet__legacy_current,9,6,0.0581425717381
half_tv_all,hohonet__refined__global,9,6,0.0589976795956
half_tv_all,hohonet__refined__regions,9,6,0.0617782761289
half_tv_all,hohonet__shared__global,9,6,0.0604276175051
half_tv_all,hohonet__shared__regions,9,6,0.0611844850438
half_tv_all,scene_frequency,9,6,0.0776175706336
half_tv_all,ulayout__compressed__global,9,6,0.0608782472293
half_tv_all,ulayout__compressed__local16,9,6,0.0624972060921
half_tv_all,ulayout__transformer__global,9,6,0.0577412539865
half_tv_all,ulayout__transformer__local16,9,6,0.0576004232708
late_quarter_new,bilayout__fc__global,9,6,0.157601759052
late_quarter_new,bilayout__fc__regions,9,6,0.156945812069
late_quarter_new,bilayout__fg_enclosed__global,9,6,0.15154851061
late_quarter_new,bilayout__fg_enclosed__regions,9,6,0.151547750256
late_quarter_new,bilayout__fg_extended__global,9,6,0.151341479412
late_quarter_new,bilayout__fg_extended__regions,9,6,0.151045360036
late_quarter_new,constant,9,6,0.188796296296
late_quarter_new,da3__layer11__faces_concat,9,6,0.157819066793
late_quarter_new,da3__layer11__faces_global,9,6,0.161811906069
late_quarter_new,da3__layer11__faces_local16,9,6,0.161435216269
