image_id,condition,cut,k,total_clusters,supported_clusters,singletons,tv_all,tv_core,core_all_represented,core_min_jaccard,core_geometry_deviation,within_max_median,new_geometry,new_structure,repartition
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,1,1,0,1,0.894375,0.831666666667,0,0,,,0,0,0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,2,1.86,0.14,1.72,0.808125,0.705,0,0.11,0.0109614864919,0.055209348997,0.86,0.69,0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,3,2.645,0.32,2.325,0.720416666667,0.575,0,0.233333333333,0.0122129870913,0.0633896578771,0.78,0.53,0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,4,3.41,0.51,2.9,0.639166666667,0.462083333333,0,0.37125,0.0129462796896,0.0611567084116,0.735,0.44,0.01
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,5,4.06,0.735,3.325,0.584666666667,0.4005,0,0.5175,0.0127547522789,0.0649510543169,0.62,0.405,0.005
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,6,4.745,0.895,3.85,0.536666666667,0.339,0,0.60125,0.0129420703769,0.0641484333902,0.635,0.345,0.0035
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,7,5.38,1.07,4.31,0.502202380952,0.294666666667,0,0.661,0.0134551481514,0.0643138575862,0.585,0.345,0.00533333333333
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,8,5.995,1.26,4.735,0.467083333333,0.266857142857,0,0.71925,0.0139820640748,0.0637682344177,0.56,0.275,0.00666666666667
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,9,6.545,1.44,5.105,0.432013888889,0.22994047619,0,0.717333333333,0.0135139983202,0.0653330032225,0.465,0.195,0.00660714285714
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,10,7.09,1.57,5.52,0.403375,0.209025793651,0.015,0.727583333333,0.012859877934,0.0659947484778,0.46,0.215,0.00555555555556
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,11,7.655,1.71,5.945,0.374015151515,0.188803571429,0.03,0.7135,0.0130646799909,0.0679487295283,0.53,0.245,0.003
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,12,8.305,1.82,6.485,0.34125,0.174579365079,0.055,0.706583333333,0.0124711334233,0.0695085650888,0.595,0.275,0.00245454545455
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,13,8.82,1.925,6.895,0.317980769231,0.169402056277,0.085,0.719,0.0119404291138,0.0697180727889,0.485,0.235,0.00424242424242
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,14,9.375,2.02,7.355,0.28818452381,0.154631673882,0.135,0.720904761905,0.0115144455747,0.0695108589055,0.515,0.24,0.00666666666667
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,15,9.865,2.145,7.72,0.257958333333,0.134593975469,0.2,0.740357142857,0.0112001078458,0.0699034998594,0.44,0.16,0.00554945054945
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,16,10.435,2.225,8.21,0.230833333333,0.124266053391,0.265,0.756273809524,0.0112594161093,0.0704654534196,0.535,0.245,0.00490476190476
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,17,10.93,2.305,8.625,0.205894607843,0.111298160173,0.325,0.778178571429,0.0103956148109,0.0703292176452,0.43,0.175,0.00520833333333
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,18,11.5,2.405,9.095,0.177291666667,0.0971367243867,0.415,0.804916666667,0.00897107415258,0.0703657115647,0.485,0.16,0.00488970588235
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,19,12.07,2.52,9.55,0.150877192982,0.0886378066378,0.52,0.828023809524,0.00832680820901,0.0709820374242,0.5,0.15,0.00369281045752
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,20,12.625,2.635,9.99,0.127541666667,0.0766161616162,0.625,0.86,0.00739843899995,0.0719862268839,0.475,0.14,0.00494152046784
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,21,13.215,2.75,10.465,0.101547619048,0.0628964646465,0.745,0.905226190476,0.00582991257464,0.071855309111,0.485,0.15,0.00565789473684
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,22,13.805,2.835,10.97,0.0722727272727,0.04775,0.835,0.94130952381,0.00422154076429,0.0717571762987,0.51,0.155,0.00445238095238
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,23,14.42,2.915,11.505,0.0386775362319,0.0295833333333,0.915,0.968571428571,0.00226279908021,0.0727385020964,0.54,0.11,0.00313852813853
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0.1,24,15,3,12,0,0,1,1,0,0.0733961733024,0.495,0.12,0.00375494071146
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,1,1,0,1,0.832391304348,0.775625,0,0,,,0,0,0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,2,1.725,0.275,1.45,0.700217391304,0.603125,0,0.2175,0.0294249732324,0.0519286202415,0.725,0.64,0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,3,2.325,0.57,1.755,0.583260869565,0.463958333333,0,0.433333333333,0.0285172807652,0.0530398438403,0.59,0.48,0.005
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,4,2.81,0.83,1.98,0.5125,0.397708333333,0,0.623333333333,0.0271503730375,0.0531539108582,0.47,0.365,0.005
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,5,3.275,1.005,2.27,0.483956521739,0.345958333333,0,0.691,0.026212727674,0.0533721577726,0.42,0.27,0.0075
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,6,3.715,1.155,2.56,0.450579710145,0.306708333333,0,0.720166666667,0.0275881518686,0.0548109363725,0.415,0.305,0.0055
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,7,4.185,1.285,2.9,0.401708074534,0.267648809524,0,0.723416666667,0.0275226320528,0.0547682975437,0.42,0.25,0.00933333333333
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,8,4.69,1.37,3.32,0.364130434783,0.240422619048,0,0.71144047619,0.0273006970235,0.0554537006721,0.465,0.25,0.00428571428571
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,9,5.135,1.475,3.66,0.340144927536,0.209555555556,0,0.704214285714,0.0272980629568,0.0557388989976,0.41,0.215,0.00357142857143
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,10,5.625,1.605,4.02,0.309847826087,0.187265873016,0,0.712255952381,0.0260633281785,0.0552398169009,0.425,0.205,0.0104166666667
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,0.1,11,6.14,1.76,4.38,0.274604743083,0.164095238095,0.005,0.718767857143,0.0256224004572,0.0546557833665,0.445,0.195,0.0108888888889
