building_count,condition,cutoff,fixed_support_across_cutoffs,stage,supported_multimodal_rate_building_equal,supported_multimodal_rate_task_equal,task_count
5,manual,0.93,True,C1,0.45999999999999996,0.5833333333333334,12
5,manual,0.95,True,C1,0.48,0.5,12
5,manual,0.97,True,C1,0.5599999999999999,0.6666666666666666,12
3,manual,0.93,True,C2-B,0.6666666666666666,0.5,4
3,manual,0.95,True,C2-B,0.6666666666666666,0.5,4
3,manual,0.97,True,C2-B,0.6666666666666666,0.5,4
12,manual,0.93,True,P1,0.4444444444444444,0.4666666666666667,30
12,manual,0.95,True,P1,0.40972222222222215,0.5,30
12,manual,0.97,True,P1,0.3333333333333333,0.26666666666666666,30
6,oos,0.93,True,P1,0.6666666666666666,0.5555555555555556,9
6,oos,0.95,True,P1,0.8333333333333334,0.8888888888888888,9
6,oos,0.97,True,P1,0.8333333333333334,0.8888888888888888,9
10,semi,0.93,True,P1,0.735,0.6111111111111112,18
10,semi,0.95,True,P1,0.635,0.5555555555555556,18
10,semi,0.97,True,P1,0.615,0.5,18
