H,L,U,condition,feature_name,interpretation,reference_source_version,stage,threshold,worker_descriptions
0,0,1,semi,reference_corresponding_signed_x_offset,counts_within_stratum_not_unique_people_across_rows,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,0.8,1
0,0,1,semi,reference_corresponding_signed_x_offset,counts_within_stratum_not_unique_people_across_rows,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,0.9,1
0,0,4,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,0.7,4
0,0,4,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,0.8,4
0,0,4,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,0.9,4
0,0,23,semi,U_final,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.7,23
0,0,23,semi,U_final,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.8,23
0,0,23,semi,U_final,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.9,23
0,0,23,semi,semi_delta_U,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.7,23
0,0,23,semi,semi_delta_U,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.8,23
0,0,23,semi,semi_delta_U,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.9,23
0,0,22,semi,semi_initial_to_final_rmse,counts_within_stratum_not_unique_people_across_rows,analysis_results/reviewer_profile_dual_stage_processing_20260819_v2/SEMI_ROW_LEVEL_REVIEWER_EVIDENCE.csv|e6489d41bcafec0455114eace5044418de9ea3ed34295104f9cdb5ecf540ab22|public_frozen_gt,C1,0.7,22
