condition,interpretation,quality_component_id,quality_directional_class,quality_effect,quality_reference_source_version,stage,time_component_id,time_directional_class,time_effect,worker_id
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,-0.010912031496156273,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.5223957098384545,1
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,L_negative_direction,-0.020053370154260876,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.5568119825217612,10
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,-0.008829474558594187,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,L_negative_direction,-0.24982830600859618,11
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,H_positive_direction,0.023043075167939336,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.8902109853137958,12
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,-0.012344783472927523,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,1.089423189894206,13
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,-0.0077802233179276,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,,not_evaluable,,14
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,L_negative_direction,-0.01845374902859416,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,L_negative_direction,-0.6984326152817133,15
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,H_positive_direction,0.0672132379564059,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.6329386932604371,17
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,0.03407313362307246,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.6299881367503876,18
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,H_positive_direction,0.11539277683307242,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,U_unclassified_or_bootstrap_missing,-0.06846081410341955,2
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,0.0029384721814677433,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,L_negative_direction,-0.9832185033159945,27
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,L_negative_direction,-0.02376159756635411,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,L_negative_direction,-0.5181777927036196,28
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,0.0035121281466458897,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,L_negative_direction,-0.5152481646109927,29
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,L_negative_direction,-0.020091121540032446,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,H_positive_direction,0.5375128873087806,30
manual,coexisting_axis_descriptions_not_compound_personality_type,C1|manual|d_mask_to_reference|63046ecefc|c1,U_unclassified_or_bootstrap_missing,0.004613329653405783,analysis_results/prescreen_closeout_final_gold_v2_20260701/final_gold_records_v2_p1_closeout_corrected.jsonl|82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6|geometry_gt,C1,C1|manual|log_owner_valid_active_seconds|81e8f262bf|c1,U_unclassified_or_bootstrap_missing,-0.03992209322408255,31
