base_task_id,building_id,condition,fixed_image_set_support_gt20,k,remaining_d_mask_mean,remaining_d_mask_q025,remaining_d_mask_q975,remaining_worker_count,replicates,stage,strict_support
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,15,0.03012460988624242,0.016441043044449096,0.04694819705134634,8,200,C1,23
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,16,0.029973337641699807,0.01572656664463099,0.04923122424150669,7,200,C1,23
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,17,0.02993687973034969,0.015258518514062925,0.054020228456259686,6,200,C1,23
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,18,0.029327974601281923,0.014960052853097533,0.060372839575743034,5,200,C1,23
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,19,0.029176726139158643,0.013215885531209016,0.06909015373285973,4,200,C1,23
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,True,20,0.02902678482485241,0.012310033748097369,0.08614960482488328,3,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,15,0.02118904158778239,0.015055024051059037,0.027037404190001897,8,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,16,0.021450984545832764,0.014854735164987328,0.028206004185500694,7,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,17,0.021426740480183053,0.013929318080750305,0.028685849787708478,6,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,18,0.021249235686838387,0.013755592951655408,0.030108932053025568,5,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,19,0.020835214954501798,0.013238669820099282,0.03286371753064574,4,200,C1,23
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,True,20,0.02065480591865997,0.012310006249222212,0.033847299924420864,3,200,C1,23
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,manual,True,15,0.04952040763259264,0.03457859662759631,0.06678857809097735,8,200,C1,23
