bootstrap_probability_positive,bootstrap_probability_positive_lower_all_1000,bootstrap_probability_positive_upper_all_1000,bootstrap_requested_count,bootstrap_usable_count,building_support,component_id,condition,directional_class,feature_family,feature_name,positive_direction,reference_source_version,stage,status,task_adjusted_effect,task_support,threshold,worker_id
0.641,0.641,0.641,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0036356864831389732,27,0.7,1
0.641,0.641,0.641,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0036356864831389732,27,0.8,1
0.641,0.641,0.641,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0036356864831389732,27,0.9,1
0.687,0.687,0.687,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.006950790235507432,25,0.7,10
0.687,0.687,0.687,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.006950790235507432,25,0.8,10
0.687,0.687,0.687,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.006950790235507432,25,0.9,10
0.11,0.11,0.11,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.024748706145824546,27,0.7,11
0.11,0.11,0.11,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.024748706145824546,27,0.8,11
0.11,0.11,0.11,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.024748706145824546,27,0.9,11
0.638,0.638,0.638,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00510893538068676,27,0.7,12
