building_count,condition,d_mask_building_equal,d_mask_image_equal,image_count,interpretation,k,remaining_max,remaining_min,stage
5,manual,0.07508433323141532,0.08324530509260805,12,finite_historical_heldout_not_new_recruit_prediction,15,8,8,C1
5,manual,0.07489470813222822,0.08301415365569588,12,finite_historical_heldout_not_new_recruit_prediction,16,7,7,C1
5,manual,0.07509169067471003,0.08324220443564936,12,finite_historical_heldout_not_new_recruit_prediction,17,6,6,C1
5,manual,0.07457831716469517,0.08286361067247322,12,finite_historical_heldout_not_new_recruit_prediction,18,5,5,C1
5,manual,0.07494771473985062,0.08333456855466782,12,finite_historical_heldout_not_new_recruit_prediction,19,4,4,C1
5,manual,0.07436561214963419,0.08297036280148441,12,finite_historical_heldout_not_new_recruit_prediction,20,3,3,C1
12,manual,0.10100336022926748,0.10123490826943161,30,finite_historical_heldout_not_new_recruit_prediction,15,11,8,P1
12,manual,0.10035293011684794,0.10076663110955174,30,finite_historical_heldout_not_new_recruit_prediction,16,10,7,P1
12,manual,0.09997624868709241,0.10034686788587473,30,finite_historical_heldout_not_new_recruit_prediction,17,9,6,P1
12,manual,0.09936463171885573,0.09996725534432783,30,finite_historical_heldout_not_new_recruit_prediction,18,8,5,P1
12,manual,0.09922641415523803,0.099923809150218,30,finite_historical_heldout_not_new_recruit_prediction,19,7,4,P1
12,manual,0.09925428971819555,0.09991258346107498,30,finite_historical_heldout_not_new_recruit_prediction,20,6,3,P1
6,oos,0.12835490059622298,0.1513208977645094,9,finite_historical_heldout_not_new_recruit_prediction,15,11,8,P1
6,oos,0.12794215487789673,0.15088528384957686,9,finite_historical_heldout_not_new_recruit_prediction,16,10,7,P1
6,oos,0.1277875716205432,0.150896288896917,9,finite_historical_heldout_not_new_recruit_prediction,17,9,6,P1
6,oos,0.12795420099477287,0.15120716633228679,9,finite_historical_heldout_not_new_recruit_prediction,18,8,5,P1
6,oos,0.12740149508706294,0.15085327154330147,9,finite_historical_heldout_not_new_recruit_prediction,19,7,4,P1
6,oos,0.1268934276643344,0.15049362074972833,9,finite_historical_heldout_not_new_recruit_prediction,20,6,3,P1
10,semi,0.05091555604291424,0.048864648747165014,18,finite_historical_heldout_not_new_recruit_prediction,15,11,9,P1
10,semi,0.05046913663093454,0.04851333104377856,18,finite_historical_heldout_not_new_recruit_prediction,16,10,8,P1
10,semi,0.05019831666240358,0.04834698411813523,18,finite_historical_heldout_not_new_recruit_prediction,17,9,7,P1
10,semi,0.05016062403201406,0.048098328792778804,18,finite_historical_heldout_not_new_recruit_prediction,18,8,6,P1
10,semi,0.05012707059007263,0.048007905951114406,18,finite_historical_heldout_not_new_recruit_prediction,19,7,5,P1
10,semi,0.049677162433485585,0.04770823224187191,18,finite_historical_heldout_not_new_recruit_prediction,20,6,4,P1
