schema_version,evidence_stage,risk_model_scope,canonical_annotation_id,deployment_id,project_id,runtime_task_id,planned_task_id,worker_id,task_id,base_task_id,image_id,building_id,task_stratum,risk,quality,canonical_valid,risk_slope_estimand_eligible,eligibility_status,ineligibility_reason,reference_registry_sha256,task_pool_sha256,assignment_batch_id,design_manifest_sha256,formal_assignment_eligible,routing_feature_analysis_eligible,risk_design_score_A,Q_GT_raw,block_index
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6814,,84,3533,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,1,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk,ordinary,3.9847071562262193,0.9359515588714632,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,3.9847071562262193,0.9359515588714632,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6815,,84,3534,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,1,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,stress,5.76678693413434,0.7048083425335908,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,5.76678693413434,0.7048083425335908,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6806,,84,3535,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,10,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,ordinary,3.6223209441163284,0.9534601869317054,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,3.6223209441163284,0.9534601869317054,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6807,,84,3536,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,10,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,stress,6.238125014667176,0.9149232001558798,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,6.238125014667176,0.9149232001558798,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6804,,84,3537,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,11,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,ordinary,4.026439012481026,0.7492919178230709,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,4.026439012481026,0.7492919178230709,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6805,,84,3538,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,11,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,stress,7.556923540097862,0.9379928715819327,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,7.556923540097862,0.9379928715819327,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6811,,84,3538,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,15,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,stress,7.556923540097862,0.9746302000457444,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,7.556923540097862,0.9746302000457444,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6794,,84,3539,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,12,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk,ordinary,5.041596258851888,0.9121106096076184,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,5.041596258851888,0.9121106096076184,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6795,,84,3540,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,12,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,stress,9.481862942795813,0.7506134093620749,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,9.481862942795813,0.7506134093620749,2
c2a_rp_block2_risk_slope_evidence_v1,C2A_RP_BLOCK2,C2B_PLUS_C2A_RP_TERMINAL_REESTIMATE,6818,,84,3540,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,13,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,stress,9.481862942795813,0.7506134093620749,True,True,eligible,,802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6,6181202ec56dc8262c655fbd83ecc33a9092977486871ca1ee1c3110a915d981,C2A_RP_BLOCK2,7d81fb746f476d9143e88c174b4f6002a8887d486ff7571879e67f690f7b8c1b,true,true,9.481862942795813,0.7506134093620749,2
