annotator_id,occlusion|acceptable,occlusion|corner_drift,occlusion|corner_duplicate,other,reflection|acceptable
1,1.0,,,1.0,1.0
2,1.0,0.9840649862376182,0.8578914647049871,1.0,
3,1.0,0.9889134910511167,0.8384669251799164,0.8824776336184822,
4,,0.9484516556012529,0.9220578210928426,0.758288082991732,
