annotator_id,n_total,n_in_scope,n_model_usable,mean_active_time,median_active_time,mean_iou_m,fallback_active_time_share,type4_share,mixed_scope_share,r_u,r_u_lcb,r_u_lcb_rule_version,T_u,C_u,worker_group,worker_group_reason,group_rule_version
1,75,68,68,14.936253333333333,10.002,1.0,1.0,0.08,0.0,1.0,1.0,quantile10_m_tier_v1,0.0,0.0,stable,stable_default,prototype_worker_group_v1
2,14,11,6,138.0,38.5,0.9473188169808684,0.0,0.7142857142857143,0.07142857142857142,0.9840649862376182,0.8578914647049871,quantile10_m_tier_v1,0.3333333333333333,0.12617352153263106,stable,stable_default,prototype_worker_group_v1
3,16,13,13,40.5625,38.5,0.9174964320211687,0.0,0.4375,0.0625,0.9973446912566676,0.8106891029436555,quantile10_m_tier_v1,1.0,0.1615330748200836,vulnerable,vuln_high_trust_risk,prototype_worker_group_v1
4,9,7,6,42.666666666666664,33.0,0.8806648256466776,0.0,0.2222222222222222,0.1111111111111111,0.9610289105464214,0.6809655663936114,quantile10_m_tier_v1,0.0,0.241711917008268,vulnerable,vuln_scene_gap,prototype_worker_group_v1
