annotator_id,low_quality|corner_duplicate,low_texture|overextend_adjacent,occlusion|acceptable,occlusion|corner_drift,occlusion|corner_duplicate,oos::oos_geometry,oos::oos_open_boundary,oos::oos_split_level,other,reflection|acceptable
1,0,0,49,0,0,5,1,1,11,8
2,1,0,1,4,2,0,0,2,4,0
3,0,0,1,4,2,0,0,3,6,0
4,0,1,0,3,1,0,0,1,3,0
