check,observed,expected,status,details
raw_annotation_count,2513,2513,pass,
canonical_submission_count,2501,2501,pass,
canonical_annotation_id_unique,2501,2501,pass,
stage_counts,"{'C1': 780, 'C2-B': 160, 'C2A-RP-B1': 40, 'C2A-RP-B2': 40, 'P1': 1481}","{'P1': 1481, 'C1': 780, 'C2-B': 160, 'C2A-RP-B1': 40, 'C2A-RP-B2': 40}",pass,
actual_worker_ids,"['1', '2', '6', '8', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","['1', '2', '6', '8', '10', '11', '12', '13', '14', '15', '17', '18', '19', '21', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']",pass,
current_20_ids,"['1', '2', '6', '8', '10', '11', '12', '13', '15', '17', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","['1', '2', '6', '8', '10', '11', '12', '13', '15', '17', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']",pass,
current_20_count,20,20,pass,
missing_image_fields,[],[],pass,
image_title_url_base_identity,[],[],pass,
repeated_worker_image_keys,"[('31', 'wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg'), ('34', 'wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg')]","[('31', 'wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg'), ('34', 'wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg')]",pass,
raw_noncanonical_by_stage,"{'C1': 8, 'P1': 4}","{'P1': 4, 'C1': 8}",pass,
current_20_stage_coverage,{},{},pass,
current_20_matches_completed_profile,"['1', '2', '6', '8', '10', '11', '12', '13', '15', '17', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","['1', '2', '6', '8', '10', '11', '12', '13', '15', '17', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']",pass,
identity_mapping_unresolved,['26'],['26'],warning,worker 26 has no name in current Chinese/foreign roster workbooks
identity_source_value_needs_confirmation,['17:张fl'],['17:张fl'],warning,preserved verbatim from Chinese roster; confirm real name manually if needed
noncanonical_detail_count,12,12,pass,
assignment_evidence_complete,[],[],pass,
outside_assignment_by_worker,"{'10': 1, '34': 2, '31': 6}","{'10': 1, '31': 6, '34': 2}",pass,
outside_assignment_non_C1,0,0,pass,
P1_outside_stage_pool,0,0,pass,
P1_worker_image_assignment_not_evaluable,1481,1481,warning,"P1 has a fixed stage task pool and worker condition totals, but no worker-by-image assignment manifest"
C1_authorized_replacement_count,20,20,pass,
source_sha256:analysis_results/paper_a_data_discovery_20260820_v1/raw_annotation_fact.csv,ebb2a89181479188a9ee289c389369e5f4f743e27c927b197dd8d11d01d84415,recorded,pass,
source_sha256:analysis_results/paper_a_data_discovery_20260820_v1/worker_fact.csv,a2fcb10ba5a08c43fb45a4e621c32ab63c80b66248350cd020bbeae4735bcaa8,recorded,pass,
source_sha256:analysis_results/c2a_rp_block2_distribution_20260810_v1/worker_facing_release/block2_worker_assignments.csv,df1928051bd265f8260233bdadc970952fcf00dc10b5d62260bfd394d88851e5,recorded,pass,
source_sha256:analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/prescreen_worker_roster.csv,d25a7002b10d90c3501a2c7cc46d45fd3c54efb453244ff7e70c278ced4185e2,recorded,pass,
source_sha256:export_label/标注人员.xlsx,c4a49c031fc014f03de6c1e8b1568bb5dd1def7bc86e489a5f29eca1cb1e8f15,recorded,pass,
source_sha256:export_label/外国标注人员.xlsx,f236daea203d8372c83d3c3bb53a4f6bfb28df75c147af250a6f1120ca1f3c28,recorded,pass,
source_sha256:export_label/退出标注.xlsx,cb7f71b9f841f498a003f2d17eb1a547abb111300cf407d0746e530f689dc8aa,recorded,pass,
source_sha256:D:/Work/HOHONET/import_json/stage1_prescreen_final_20260325/stage1_prescreen_manual_import_v2.json,470ba9d49e92f9bc62b32bea518cc05512cd1aa9fbd1df9668fe661555e92f54,recorded,pass,
source_sha256:D:/Work/HOHONET/import_json/stage1_prescreen_final_20260325/stage1_prescreen_semi_import_v5.json,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,recorded,pass,
source_sha256:D:/Work/HOHONET/import_json/stage1_prescreen_final_20260325/stage1_prescreen_oos_import_v2.json,66ae746427cb80a4d6312f48998386f24e23f0e9f49d7f1fb7d642f4583cce8d,recorded,pass,
source_sha256:D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,c6160151a1be468d16f83bb4397e7d09f8e8d43a2ce8725d35bb19d5c1bea724,recorded,pass,
source_sha256:D:/Work/HOHONET/analysis_results/c2b_closeout_20260806_final/c2b_canonical_submissions.csv,aa156f97c0b30d7aed26fb14ddf8af62c79f9b1a79222f9e135ef7b39974116d,recorded,pass,
source_sha256:D:/Work/HOHONET/analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b,recorded,pass,
source_sha256:D:/Work/HOHONET/analysis_results/c2a_rp_block2_reestimate_20260814_v1/c2a_rp_block2_canonical_submissions.csv,ce541618ca9317e46c9c3d0d2edeb1d4c430ddff4d301de69795f0acd8df9eb2,recorded,pass,
