threshold,stage,task_count,unimodal,dominant_with_dissent,supported_multimodal,not_evaluable,supported_multimodal_rate,not_evaluable_rate
0.9,ALL,42,4,13,21,4,0.5,0.09523809523809523
0.9,P1,30,3,10,13,4,0.43333333333333335,0.13333333333333333
0.9,C1,12,1,3,8,0,0.6666666666666666,0.0
0.925,ALL,42,3,14,20,5,0.47619047619047616,0.11904761904761904
0.925,P1,30,2,11,14,3,0.4666666666666667,0.1
0.925,C1,12,1,3,6,2,0.5,0.16666666666666666
0.95,ALL,42,2,14,21,5,0.5,0.11904761904761904
0.95,P1,30,2,11,15,2,0.5,0.06666666666666667
0.95,C1,12,0,3,6,3,0.5,0.25
0.97,ALL,42,2,11,16,13,0.38095238095238093,0.30952380952380953
0.97,P1,30,2,8,8,12,0.26666666666666666,0.4
0.97,C1,12,0,3,8,1,0.6666666666666666,0.08333333333333333
0.98,ALL,42,1,8,14,19,0.3333333333333333,0.4523809523809524
0.98,P1,30,1,6,9,14,0.3,0.4666666666666667
0.98,C1,12,0,2,5,5,0.4166666666666667,0.4166666666666667
