stage,project_id,runtime_task_id,worker_id,latest_non_cancelled_annotation_id,frozen_annotation_id,frozen_canonical_annotation_id,comparison_status
C1,66,3182,27,5817,5817,0f006ad814591f20f1d7,match
C1,66,3182,28,5763,5763,a5582527e1e55759fca4,match
C1,66,3182,29,6359,6359,ddc38d03eaf0ed686dbe,match
C1,66,3182,30,5998,5998,762aad63d41c0473582f,match
C1,66,3182,31,5934,5934,944fc693a5243b08b5ee,match
C1,66,3182,32,6347,6347,d37f314fba3b67c55956,match
C1,66,3182,33,5762,5762,9e082eaf47377454a352,match
C1,66,3182,34,5875,5875,779f777343654b55ad95,match
C1,66,3182,35,5921,5921,3e053dc275632e30f220,match
C1,66,3182,36,5861,5861,beebb1979f052693f701,match
C1,66,3182,37,5862,5862,1623fbedf957f0be9421,match
C1,66,3183,27,5842,5842,3c91745dff848ace0009,match
C1,66,3183,28,5764,5764,0f5e3fb0af36b839fed2,match
C1,66,3183,29,6419,6419,9fe10525cafa9b114fa8,match
C1,66,3183,30,6449,6449,4bee42371b5ecdf799ee,match
C1,66,3183,31,5937,5937,169fc30c432425281989,match
C1,66,3183,32,6348,6348,e4c35e7a0869954598a0,match
C1,66,3183,33,5803,5803,f4fb215d725bea31d572,match
C1,66,3183,34,6042,6042,a56ee6d45d0f25f3eed8,match
C1,66,3183,35,5922,5922,a7cd831fc464ecea2892,match
C1,66,3183,36,5991,5991,f52f3c5633b4d227b132,match
C1,66,3183,37,5863,5863,7ac0106c722944ffcdb5,match
C1,66,3184,27,5818,5818,78dc36e89fc34111fd75,match
C1,66,3184,28,5765,5765,036f0b79fcb891d33e1d,match
C1,66,3184,29,6361,6361,e4af7c47e67b1c37bb93,match
C1,66,3184,30,5999,5999,ad2a6827eaaf625d72c4,match
C1,66,3184,31,5938,5938,f2617cc49b4c3cd19938,match
C1,66,3184,32,6349,6349,27d6bc8646fb2b446424,match
C1,66,3184,33,5804,5804,48a03efd0568d764b14c,match
C1,66,3184,34,6055,6055,23f6609f87c66a85d17b,match
C1,66,3184,35,5923,5923,9971c6aae0055fa67213,match
C1,66,3184,36,5994,5994,f447db699b5c09a195ce,match
C1,66,3184,37,5864,5864,4f044fa1f2070a2eeaa3,match
C1,66,3185,27,5829,5829,d9c1add75dab8315cd34,match
C1,66,3185,28,5766,5766,2de8896d2c2ea564fd37,match
C1,66,3185,29,6362,6362,42264e54a01908d81bbe,match
C1,66,3185,30,6000,6000,acb3d20a4fb6e211d3b1,match
C1,66,3185,31,5939,5939,b7393a16aa19bd7f1989,match
C1,66,3185,32,6350,6350,88b2b69f04caf44309bc,match
C1,66,3185,33,5805,5805,93cf3ac259facb9e83dc,match
C1,66,3185,34,6044,6044,c53730832245059ca129,match
C1,66,3185,35,5924,5924,0e09f3e9552514dbad74,match
C1,66,3185,36,5995,5995,45865dabe049ebace6d2,match
C1,66,3185,37,5865,5865,432c6ebaa6bb7a54b3a9,match
C1,66,3186,27,5852,5852,cbd801dc08d6ed3f53b9,match
C1,66,3186,28,5767,5767,a8f02e5f6ff661b1a6ea,match
C1,66,3186,29,6420,6420,7554850145efa35545ae,match
C1,66,3186,30,6001,6001,4cec1169f91d22cfd064,match
C1,66,3186,31,5942,5942,87633c987c28cc7b24da,match
C1,66,3186,32,6351,6351,e41654f88d1993dc3e61,match
C1,66,3186,33,5806,5806,94b9a12a91240fae6082,match
C1,66,3186,34,6056,6056,d07650e36d67becee157,match
C1,66,3186,35,5925,5925,c8ea10e8b26d4fa2d90b,match
C1,66,3186,36,5996,5996,ad5f99c1a3eb5c22dcef,match
C1,66,3186,37,5866,5866,0b276bc0087988e64912,match
C1,66,3187,27,5850,5850,f155c5b328bfdbe59187,match
C1,66,3187,28,5768,5768,00df94cb0e7cc21280ba,match
C1,66,3187,29,6421,6421,1d1473ea45cef547d01e,match
C1,66,3187,30,6002,6002,4203b3767e3303cffd5c,match
C1,66,3187,31,5943,5943,063a5ec4d91eccc8b4c3,match
C1,66,3187,32,6352,6352,8b3873aaa11c92de279f,match
C1,66,3187,33,5807,5807,511d41c2a1ae8135d56a,match
C1,66,3187,34,6045,6045,1892d2228413184cfbd6,match
