channel,k,replicates,task_count,mae_mean,mae_median,mae_q05,mae_q95,rmse_mean,rmse_median,rmse_q05,rmse_q95,spearman_mean,spearman_median,spearman_q05,spearman_q95,top20_recall_mean,top20_recall_median,top20_recall_q05,top20_recall_q95
mask,2,1000,42,0.05995611391731494,0.05896211890058889,0.04603055191656786,0.07695758315086691,0.09162316113450202,0.08608610304613351,0.06458682495196769,0.13255328429347887,0.6829588495868609,0.6886800097236855,0.5199497609594037,0.8070172595413662,0.592,0.5555555555555556,0.4444444444444444,0.7777777777777778
boundary,2,1000,42,0.012717288177542195,0.01249879557759495,0.00989701357758454,0.01622910544837007,0.019662393120961567,0.0187655200214817,0.01405659358369129,0.027818827557072733,0.6463344218684581,0.6507576371444778,0.47378656510817607,0.7919131350781947,0.5917777777777778,0.5555555555555556,0.4444444444444444,0.7777777777777778
wall,2,1000,42,0.018994805181166804,0.018646443930750926,0.01466885886807278,0.0244126874003376,0.02943409851627965,0.028207438455461628,0.020394511590112834,0.04422670345555644,0.6153931093174589,0.624503686897334,0.44895065229722064,0.7531804553925939,0.5434444444444444,0.5555555555555556,0.3333333333333333,0.7777777777777778
mask,3,1000,42,0.04441484667355122,0.043897206305512707,0.03459475178731473,0.05498757335886778,0.06703030774906443,0.06463676095463922,0.047397827775046066,0.09235397592554302,0.7863002998136294,0.791751073656916,0.6716635604894257,0.8784701401831295,0.6715555555555557,0.6666666666666666,0.4444444444444444,0.8888888888888888
boundary,3,1000,42,0.009463629890969157,0.009430850239580459,0.0074298880535694795,0.01165962497249522,0.014301190274433988,0.013906769366217327,0.01032192196599289,0.019483741772198995,0.7527519649947331,0.7597439429543797,0.621003160197715,0.85560327364071,0.656888888888889,0.6666666666666666,0.4444444444444444,0.8888888888888888
wall,3,1000,42,0.014219938639138743,0.014033698058675792,0.010907692794335408,0.01807160967900696,0.021692256755663546,0.020993046322300785,0.015112473940497336,0.03061730850313406,0.7157564216838181,0.7223887853496475,0.59270723604246,0.814942063041893,0.6153333333333333,0.6666666666666666,0.4444444444444444,0.7777777777777778
mask,5,1000,42,0.03144600490555065,0.031281808243815476,0.024700000373059625,0.03862542994190399,0.04739028804034134,0.04685325070655684,0.034541930165596466,0.06158908011829526,0.8756612916295277,0.8819382545984928,0.8009885746697998,0.928887448342922,0.7425555555555556,0.7777777777777778,0.5555555555555556,0.8888888888888888
boundary,5,1000,42,0.006654492761209021,0.006636005131406842,0.0051858154533034615,0.008165960137436557,0.010022250673656164,0.009898450528768102,0.007321692181696604,0.013323056807101757,0.8514776760392189,0.8579531642492505,0.7674175512519246,0.9111984442103557,0.7733333333333335,0.7777777777777778,0.6666666666666666,0.8888888888888888
wall,5,1000,42,0.010404906385298897,0.010323840125253853,0.008294665208131631,0.0127796219765449,0.0153810795038812,0.015244137155579405,0.01156200610895005,0.019766450934382004,0.8060254436431408,0.8093347378656511,0.7220565594360262,0.8760392188639494,0.6824444444444443,0.6666666666666666,0.5555555555555556,0.8888888888888888
mask,8,1000,42,0.023099119807520937,0.022988437060389978,0.01870669898710969,0.027763480606083423,0.0340675063351773,0.03394575412215016,0.0261939870327682,0.042283353040185295,0.9235343975366664,0.9272344218458797,0.8793857872133537,0.956089457904546,0.7890000000000001,0.7777777777777778,0.6666666666666666,0.8888888888888888
boundary,8,1000,42,0.004849500819802487,0.00484086889008821,0.00384484321734038,0.005882939113588703,0.007199515652383903,0.007123424646892531,0.005282359851198909,0.009267759413886089,0.9076873835183535,0.9132161089052753,0.8552305323717689,0.943926748237582,0.8392222222222224,0.8888888888888888,0.6666666666666666,1.0
wall,8,1000,42,0.0077916610738843605,0.007750026432762442,0.006388407714165988,0.009296878589140333,0.011055751321013623,0.011037002504108474,0.008858050720981281,0.013395869050551222,0.8685853658536585,0.871485292926019,0.8129487075601654,0.9142695081435864,0.7405555555555556,0.7777777777777778,0.5555555555555556,0.8888888888888888
mask,10,1000,42,0.01944905995676486,0.01941710569359219,0.015876639745784477,0.02303548793387102,0.028390570388328075,0.028344410032892762,0.022025798906795385,0.03510573649540066,0.9441307835669719,0.9477351916376306,0.9095697269265052,0.9682359614293818,0.8100000000000002,0.7777777777777778,0.6666666666666666,0.8888888888888888
boundary,10,1000,42,0.004070478696185725,0.004069182501107517,0.003287023552512701,0.004933307745696394,0.005991314052905905,0.005949497198626148,0.004359313954453226,0.007744893843194398,0.9319977311401021,0.9357426464630095,0.8920589903573455,0.9596548091726765,0.8640000000000002,0.8888888888888888,0.7777777777777778,1.0
wall,10,1000,42,0.006594895464361254,0.006563202342485468,0.005504781485663824,0.007731920779121959,0.00917939878024928,0.009145199299887982,0.007439812095407338,0.010994169071158699,0.8986317154201442,0.9007373794668181,0.8555789644275181,0.9348513086459768,0.7721111111111113,0.7777777777777778,0.6666666666666666,0.8888888888888888
mask,15,1000,42,0.012542427704573988,0.012522489166457137,0.010104920422250153,0.015054606396704612,0.01833805834957324,0.018249474291136974,0.014086777307207215,0.02291775043578915,0.9727918321043676,0.9747184182805283,0.9525160035653513,0.9852524106636414,0.8546666666666669,0.8888888888888888,0.7777777777777778,1.0
boundary,15,1000,42,0.00263059496464351,0.0026281115062859574,0.002104973808714007,0.0031703164789458234,0.003848531707088326,0.0037851798582129795,0.002837650673408585,0.0050957788266369035,0.9661628717283852,0.9683980228506603,0.9442427680090756,0.9805526294465604,0.9094444444444447,0.8888888888888888,0.7777777777777778,1.0
wall,15,1000,42,0.0043141992023169335,0.004318194781445633,0.003541527338314377,0.005107613687903915,0.006024864040505677,0.0059916852451304,0.004920128717679893,0.007211116445772685,0.9453964832671584,0.9471679766631554,0.9186208573049186,0.9671096345514951,0.828777777777778,0.7777777777777778,0.6666666666666666,1.0
mask,20,1000,42,0.006847649619597143,0.006770362357063055,0.0052507439992562415,0.008643161079312407,0.01049028599038096,0.010065636222221183,0.007325920848104078,0.014914167050770411,0.9895536828457987,0.9906004375658376,0.980228506604003,0.9954622802041974,0.9182222222222224,0.8888888888888888,0.7777777777777778,1.0
boundary,20,1000,42,0.0014480057549300816,0.001441332948467215,0.0011271922628083473,0.0018152406841812961,0.002214640680770516,0.002106547465087233,0.001567001039211643,0.0032109495423132185,0.9859165383680415,0.9871971477189856,0.9737460497528565,0.9933554817275748,0.9417777777777778,0.8888888888888888,0.8888888888888888,1.0
wall,20,1000,42,0.0023243281008285374,0.00230690957643309,0.0018247408965394113,0.0029112604897718604,0.003508087309695015,0.0034846492515897493,0.0025362720076991052,0.004631479115471167,0.977030548577911,0.9779596467061017,0.961405072522486,0.9904464792156228,0.9271111111111112,0.8888888888888888,0.8888888888888888,1.0
