stage,condition,dataset_group,base_task_id,raw_strict_valid_support,amendment_calculation_valid_support,support_delta,raw_mask_distance_mean,calculation_mask_distance_mean,raw_boundary_distance_mean,calculation_boundary_distance_mean
C1,manual,C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,23,23,0,0.0441875928212912,0.0441875928212912,0.011003371092163238,0.011003371092163238
C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,23,23,0,0.02865773782118246,0.02865773782118246,0.009226610127568827,0.009226610127568827
C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,23,23,0,0.06587695858896252,0.06587695858896252,0.011999526280647457,0.011999526280647457
C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,23,23,0,0.06457111216113183,0.06457111216113183,0.011540258453763436,0.011540258453763436
C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,23,23,0,0.14220505737229328,0.14220505737229328,0.036798460070723495,0.036798460070723495
C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,23,23,0,0.10895340349385481,0.10895340349385481,0.013674322151365721,0.013674322151365721
C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,23,23,0,0.14793870459129108,0.14793870459129108,0.036241555973036944,0.036241555973036944
C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,23,23,0,0.12165974736380426,0.12165974736380426,0.024060186067406737,0.024060186067406737
C1,manual,C1_anchor_all,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,23,23,0,0.18980228751918504,0.18980228751918504,0.04645215951350244,0.04645215951350244
C1,manual,C1_anchor_all,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,23,23,0,0.05852222855578818,0.05852222855578818,0.01689309404085887,0.01689309404085887
C1,manual,C1_anchor_all,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,23,23,0,0.21569254231033766,0.21569254231033766,0.054450597443030824,0.054450597443030824
C1,manual,C1_anchor_all,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,23,23,0,0.12093363958010338,0.12093363958010338,0.027807321626530837,0.027807321626530837
