k,eligible_task_count,full_count_diverse_task_count,mean_detection_probability_all_tasks,mean_detection_probability_given_full_diverse
2,42,37,0.36759523809523803,0.41727027027027025
3,42,37,0.4638333333333334,0.5265135135135136
5,42,37,0.5598095238095239,0.6354594594594595
8,42,37,0.6405476190476191,0.7271081081081081
10,42,37,0.6880952380952381,0.7810810810810811
15,42,37,0.7763333333333332,0.8812432432432431
20,42,37,0.8412857142857142,0.9549729729729729
