feature,stratum,excluded,reason,n_test
da3__layer7__faces_global,circulation,B6ByNegPMKs,no_training_in_stratum,3
da3__layer7__faces_global,dining,Z6MFQCViBuw;yqstnuAEVhm,no_training_in_stratum,8
da3__layer7__faces_global,empty,wc2JMjhGNzB,no_training_in_stratum,4
da3__layer7__faces_global,kitchen,2t7WUuJeko7,no_training_in_stratum,5
da3__layer7__faces_global,storage,uNb9QFRL6hY,no_training_in_stratum,2
da3__layer7__faces_global,work,uNb9QFRL6hY,no_training_in_stratum,7
