dataset_group,scope_bucket,active_time_source,meta_guard_status,n_rows,mean_active_time,median_active_time
Calibration_semi,in_scope,lead_time_fallback,accepted,4,38.61,22.825499999999998
Calibration_semi,in_scope,log,accepted,2,23.0,23.0
Calibration_semi,in_scope,log,rejected,1,100.0,100.0
Calibration_semi,oos,lead_time_fallback,accepted,2,15.328,15.328
Calibration_semi,oos,log,accepted,1,19.0,19.0
Calibration_semi,oos,log,rejected,1,34.0,34.0
Gold_manual,in_scope,lead_time_fallback,accepted,5,8.3644,5.077
Gold_manual,in_scope,lead_time_fallback,rejected,1,11.336,11.336
Gold_manual,oos,lead_time_fallback,accepted,1,19.698,19.698
Gold_manual,oos,log,accepted,1,35.0,35.0
Gold_manual,oos,log,rejected,1,22.0,22.0
Pilot,in_scope,lead_time_fallback,accepted,4,11.42775,10.302
Pilot,in_scope,lead_time_fallback,rejected,1,10.002,10.002
Pilot,oos,lead_time_fallback,accepted,1,39.167,39.167
PreScreen_manual,in_scope,lead_time_fallback,accepted,7,8.639857142857142,6.858
PreScreen_manual,in_scope,log,accepted,3,46.0,37.0
PreScreen_manual,in_scope,log,rejected,1,42.0,42.0
PreScreen_semi,in_scope,lead_time_fallback,accepted,6,9.998,5.98
PreScreen_semi,in_scope,log,accepted,4,204.0,53.5
PreScreen_semi,in_scope,log,rejected,2,27.5,27.5
PreScreen_semi,missing,log,rejected,1,117.0,117.0
SemiAuto_Test,in_scope,lead_time_fallback,accepted,26,14.041923076923077,7.7025
SemiAuto_Test,in_scope,log,accepted,4,24.75,22.0
SemiAuto_Test,in_scope,log,rejected,7,151.28571428571428,45.0
SemiAuto_Test,oos,lead_time_fallback,accepted,2,28.8555,28.8555
SemiAuto_Test,oos,log,accepted,2,75.5,75.5
Validation_semi,in_scope,lead_time_fallback,accepted,10,14.760900000000001,10.6375
Validation_semi,in_scope,lead_time_fallback,rejected,4,12.762,11.532
Validation_semi,in_scope,log,accepted,4,18.75,13.0
Validation_semi,in_scope,log,rejected,3,41.333333333333336,40.0
Validation_semi,oos,lead_time_fallback,accepted,1,25.462,25.462
Validation_semi,oos,log,accepted,1,33.0,33.0
