annotator_id,n_total,n_in_scope,n_model_usable,mean_active_time,median_active_time,mean_iou_m,fallback_active_time_share,type4_share,mixed_scope_share,r_u,r_u_lcb,r_u_lcb_rule_version,T_u,C_u,n_model_usable_support,n_prescreen_semi_support,n_scene_eligible_support,worker_group,worker_group_reason,group_rule_version,worker_group_v2,worker_group_reason_v2,worker_group_reason_chain_v2,group_rule_version_v2
1,75,68,68,14.936253333333333,10.002,1.0,1.0,0.08,0.0,1.0,1.0,quantile10_m_tier_v1,0.0,0.0,68,6,4,stable,stable_default,prototype_worker_group_v1,stable,stable_default_v2,n_model_usable:68;n_prescreen_semi:6;n_scene_eligible:4;r_u_lcb:1.0000;T_u:0.0000;C_u:0.0000,stabilized_worker_group_v2
2,14,11,6,138.0,38.5,0.9473188169808684,0.0,0.7142857142857143,0.07142857142857142,0.9840649862376182,0.8578914647049871,quantile10_m_tier_v1,0.3333333333333333,0.1122224176793003,6,3,2,stable,stable_default,prototype_worker_group_v1,stable,stable_default_v2,n_model_usable:6;n_prescreen_semi:3;n_scene_eligible:2;r_u_lcb:0.8579;T_u:0.3333;C_u:0.1122,stabilized_worker_group_v2
3,16,13,13,40.5625,38.5,0.9174964320211687,0.0,0.4375,0.0625,0.9973446912566676,0.8106891029436555,quantile10_m_tier_v1,1.0,0.0698759167590528,13,3,2,vulnerable,vuln_high_trust_risk,prototype_worker_group_v1,vulnerable,vuln_high_trust_risk_v2,n_model_usable:13;n_prescreen_semi:3;n_scene_eligible:2;r_u_lcb:0.8107;T_u:1.0000;C_u:0.0699,stabilized_worker_group_v2
4,9,7,6,42.666666666666664,33.0,0.8806648256466776,0.0,0.2222222222222222,0.1111111111111111,0.9610289105464214,0.6809655663936114,quantile10_m_tier_v1,0.0,0.07794217890715738,6,1,2,stable,stable_default,prototype_worker_group_v1,stable,stable_default_v2,n_model_usable:6;n_prescreen_semi:1;n_scene_eligible:2;r_u_lcb:0.6810;T_u:0.0000;C_u:0.0779,stabilized_worker_group_v2
