dataset_group,meta_guard_status,n_rows,n_type4,n_scope_missing,n_difficulty_missing,n_difficulty_conflict,n_model_issue_conflict,n_model_issue_missing_required,n_direct_log,n_lead_time_fallback
Calibration_semi,accepted,9,0,0,0,0,0,0,3,6
Calibration_semi,rejected,2,2,1,2,0,0,1,2,0
Gold_manual,accepted,7,0,0,0,0,0,0,1,6
Gold_manual,rejected,2,2,0,1,1,0,0,1,1
Pilot,accepted,5,0,0,0,0,0,0,0,5
Pilot,rejected,1,1,0,0,1,0,0,0,1
PreScreen_manual,accepted,10,0,0,0,0,0,0,3,7
PreScreen_manual,rejected,1,1,1,1,0,0,1,1,0
PreScreen_semi,accepted,10,0,0,0,0,0,0,4,6
PreScreen_semi,rejected,3,3,2,2,1,0,2,3,0
SemiAuto_Test,accepted,34,1,0,0,0,0,1,6,28
SemiAuto_Test,rejected,7,7,3,6,1,0,4,7,0
Validation_semi,accepted,16,1,0,0,0,0,1,5,11
Validation_semi,rejected,7,7,0,3,4,0,3,3,4
