scene_proxy,core_scene,n_rows,n_tasks,n_workers,in_scope_share,core_scene_rule_version,routing_role,notes
low_quality|corner_duplicate,low_quality|corner_duplicate,1,1,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|overextend_adjacent,low_texture|overextend_adjacent,1,1,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
occlusion|acceptable,occlusion|acceptable,51,50,3,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
occlusion|corner_drift,occlusion|corner_drift,11,4,3,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
occlusion|over_parsing,occlusion|over_parsing,7,7,1,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
oos::oos_geometry,oos::oos_geometry,5,5,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
oos::oos_open_boundary,oos::oos_open_boundary,1,1,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
oos::oos_split_level,oos::oos_split_level,7,4,4,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_quality|corner_duplicate,other,1,1,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|acceptable,other,2,2,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|fail,other,3,1,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|overextend_adjacent,other,2,1,2,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
occlusion|corner_duplicate,other,5,2,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
occlusion|fail,other,2,1,2,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|corner_drift,other,3,1,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|overextend_adjacent,other,1,1,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
trivial|acceptable,other,3,2,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|acceptable,reflection|acceptable,8,8,1,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
