panorama_identity,building_scene_id,split,stage,candidate_annotation_id,worker_id,alignment_source,reads_gt,reads_reference,reads_quality,alignment_status,alignment_coverage,vertical_edge_support,ceiling_boundary_support,floor_boundary_support,seam_wrap_consistency,seam_segment_boundary_support,seam_event_count,pair_sample_count,segment_count,boundary_sample_count,seam_segment_count,seam_sample_count
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,0f006ad814591f20f1d7,27,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.009604783495888114,0.016862745636275836,0.0496918781327882,0.7912087951332274,0.058117648726329206,0,4,4,70,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,a5582527e1e55759fca4,28,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.013717836933210492,0.016638656047039797,0.0468347354060305,0.9151873762107134,0.05482353122904897,0,4,4,70,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,ddc38d03eaf0ed686dbe,29,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.011626845924183726,0.01490196124650538,0.054509805701673034,0.5068493140848784,0.0629084987740498,0,4,4,70,1,24
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,762aad63d41c0473582f,30,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.009306068997830153,0.01366946834272572,0.041792718387608015,0.8925114811950566,0.04658823674544692,0,4,4,70,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,944fc693a5243b08b5ee,31,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.00985754281282425,0.015907208540175164,0.050372826860246946,0.6484052491023615,0.05474510008469224,0,4,4,71,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,d37f314fba3b67c55956,32,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.009505212306976318,0.014845938867490206,0.045490197351734554,0.9867109842232591,0.04885621058444182,0,4,4,70,1,24
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,9e082eaf47377454a352,33,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.013618265744298697,0.013445378553920558,0.04834734058406736,0.4315789466974045,0.05555555735675929,0,4,4,70,1,24
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,779f777343654b55ad95,34,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.01341912243515253,0.016790942347962672,0.039381387636957456,0.8076923190048013,0.0447058839444071,0,4,4,71,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,3e053dc275632e30f220,35,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.009306069929152727,0.015686275129219596,0.05937586471595815,0.6523855971596827,0.06345098240301013,0,4,4,71,1,25
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,beebb1979f052693f701,36,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.015402884222567081,0.011046672659650656,0.03131731657940947,0.833333340589888,0.009803922032006085,0,4,4,71,1,22
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,1623fbedf957f0be9421,37,spatial_image_evidence_npz_plus_formal_geometry_pairs,False,False,False,ready,1.0,0.022324353456497192,0.013698630596268666,0.018479721314490657,0.9935483867569771,0.011017740826078114,0,6,6,73,1,21
