task_id,annotation_id,annotator_id,lead_time_seconds,active_time_value,active_time_source,active_time_source_file,active_time_match_status,active_time_session_count,active_time_event_count
460,88,1,406.636,406.636,lead_time_fallback,,fallback_no_direct_log,0,0
466,89,1,19.798,19.798,lead_time_fallback,active_times_2026-01-16.jsonl;active_times_2026-02-24.jsonl,fallback_log_present_but_no_direct_match,2,5
467,90,1,32.071,32.071,lead_time_fallback,active_times_2025-12-20.jsonl,fallback_log_present_but_no_direct_match,1,5
468,91,1,20.771,20.771,lead_time_fallback,,fallback_no_direct_log,0,0
469,92,1,31.83,31.83,lead_time_fallback,,fallback_no_direct_log,0,0
470,93,1,67.056,67.056,lead_time_fallback,,fallback_no_direct_log,0,0
471,94,1,28.857,28.857,lead_time_fallback,,fallback_no_direct_log,0,0
472,95,1,69.718,69.718,lead_time_fallback,,fallback_no_direct_log,0,0
473,96,1,313.4,313.4,lead_time_fallback,,fallback_no_direct_log,0,0
474,40,3,1124.848,150.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
474,75,4,33.315,37.0,log,active_times_2026-01-16.jsonl,task+annotator,2,5
475,41,3,82.489,37.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
475,76,4,59.473,92.0,log,active_times_2026-01-16.jsonl,task+annotator,1,8
476,42,3,155.877,56.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
476,77,4,259.336,95.0,log,active_times_2026-01-16.jsonl,task+annotator,1,11
477,32,2,128.211,464.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl;active_times_2026-01-19.jsonl;active_times_2026-01-20.jsonl;active_times_2026-02-09.jsonl,task+annotator,6,13
477,43,3,105.164,54.0,log,active_times_2026-01-16.jsonl,task+annotator,2,21
477,78,4,28.059,19.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
478,97,1,10.116,10.116,lead_time_fallback,active_times_2026-01-16.jsonl,fallback_log_present_but_no_direct_match,1,1
479,33,2,3.13,754.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl;active_times_2026-02-08.jsonl,task+annotator,4,142
479,44,3,15.603,68.0,log,active_times_2026-01-16.jsonl,task+annotator,2,19
479,79,4,49.299,37.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
480,34,2,11.456,42.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl,task+annotator,3,8
480,45,3,159.591,94.0,log,active_times_2026-01-16.jsonl,task+annotator,2,4
480,80,4,29.846,18.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
481,98,1,17.797,17.797,lead_time_fallback,,fallback_no_direct_log,0,0
482,99,1,24.687,24.687,lead_time_fallback,,fallback_no_direct_log,0,0
483,100,1,64.527,64.527,lead_time_fallback,,fallback_no_direct_log,0,0
484,101,1,12.948,12.948,lead_time_fallback,,fallback_no_direct_log,0,0
485,102,1,10.008,10.008,lead_time_fallback,active_times_2026-02-19.jsonl;active_times_2026-02-20.jsonl,fallback_log_present_but_no_direct_match,1,60
486,103,1,7.577,7.577,lead_time_fallback,,fallback_no_direct_log,0,0
487,104,1,11.336,11.336,lead_time_fallback,,fallback_no_direct_log,0,0
488,105,1,11.28,11.28,lead_time_fallback,,fallback_no_direct_log,0,0
489,106,1,9.895,9.895,lead_time_fallback,,fallback_no_direct_log,0,0
490,107,1,6.858,6.858,lead_time_fallback,active_times_2026-01-16.jsonl,fallback_log_present_but_no_direct_match,1,1
491,35,2,135.21,43.0,log,active_times_2026-01-16.jsonl,task+annotator,1,10
491,46,3,232.393,58.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
491,81,4,14.45,12.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
492,36,2,7.111,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
492,47,3,81.968,45.0,log,active_times_2026-01-16.jsonl,task+annotator,1,12
492,82,4,12.812,26.0,log,active_times_2026-01-16.jsonl,task+annotator,1,7
493,37,2,78.599,117.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl,task+annotator,2,7
493,48,3,121.734,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
494,38,2,2.935,42.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
494,49,3,43.722,9.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
495,39,2,28.64,34.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
495,50,3,137.647,19.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
496,51,3,90.995,22.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
496,63,2,79.711,35.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
497,52,3,30.048,10.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
497,64,2,33.729,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
498,53,3,76.731,43.0,log,active_times_2026-01-16.jsonl,task+annotator,1,10
498,65,2,56.963,62.0,log,active_times_2026-01-16.jsonl,task+annotator,1,8
