condition,cut,rule,state,expected_images
manual,0.05,D10_distribution,cannot_judge_any_singleton,112
manual,0.05,D10_distribution,cannot_judge_invalid,9
manual,0.05,D10_distribution,cannot_judge_low_n,54
manual,0.05,D10_distribution,current_changes,7.04
manual,0.05,D10_distribution,observed_unified,4
manual,0.05,D10_distribution,stable_multicluster,0.96
manual,0.05,D20_distribution,cannot_judge_any_singleton,112
manual,0.05,D20_distribution,cannot_judge_invalid,9
manual,0.05,D20_distribution,cannot_judge_low_n,54
manual,0.05,D20_distribution,current_changes,7.03
manual,0.05,D20_distribution,observed_unified,4
manual,0.05,D20_distribution,stable_multicluster,0.97
manual,0.05,G10_geometry,cannot_judge_any_singleton,112
manual,0.05,G10_geometry,cannot_judge_invalid,9
manual,0.05,G10_geometry,cannot_judge_low_n,54
manual,0.05,G10_geometry,current_changes,7.1
manual,0.05,G10_geometry,observed_unified,3.94
manual,0.05,G10_geometry,stable_multicluster,0.96
manual,0.05,P_pattern,cannot_judge_any_singleton,112
manual,0.05,P_pattern,cannot_judge_invalid,9
manual,0.05,P_pattern,cannot_judge_low_n,54
manual,0.05,P_pattern,current_changes,7.03
manual,0.05,P_pattern,observed_unified,4
manual,0.05,P_pattern,stable_multicluster,0.97
manual,0.1,D10_distribution,cannot_judge_any_singleton,95
manual,0.1,D10_distribution,cannot_judge_invalid,9
manual,0.1,D10_distribution,cannot_judge_low_n,54
manual,0.1,D10_distribution,current_changes,11.94
manual,0.1,D10_distribution,observed_unified,14
manual,0.1,D10_distribution,stable_multicluster,3.06
manual,0.1,D20_distribution,cannot_judge_any_singleton,95
manual,0.1,D20_distribution,cannot_judge_invalid,9
manual,0.1,D20_distribution,cannot_judge_low_n,54
manual,0.1,D20_distribution,current_changes,11.94
manual,0.1,D20_distribution,observed_unified,14
manual,0.1,D20_distribution,stable_multicluster,3.06
manual,0.1,G10_geometry,cannot_judge_any_singleton,95
manual,0.1,G10_geometry,cannot_judge_invalid,9
manual,0.1,G10_geometry,cannot_judge_low_n,54
manual,0.1,G10_geometry,current_changes,14.75
manual,0.1,G10_geometry,observed_unified,11.19
manual,0.1,G10_geometry,stable_multicluster,3.06
manual,0.1,P_pattern,cannot_judge_any_singleton,95
manual,0.1,P_pattern,cannot_judge_invalid,9
manual,0.1,P_pattern,cannot_judge_low_n,54
manual,0.1,P_pattern,current_changes,11.67
manual,0.1,P_pattern,observed_unified,14
manual,0.1,P_pattern,stable_multicluster,3.33
manual,0.2,D10_distribution,cannot_judge_any_singleton,80
manual,0.2,D10_distribution,cannot_judge_invalid,9
manual,0.2,D10_distribution,cannot_judge_low_n,54
manual,0.2,D10_distribution,current_changes,12.4
manual,0.2,D10_distribution,observed_unified,29
manual,0.2,D10_distribution,stable_multicluster,2.6
manual,0.2,D20_distribution,cannot_judge_any_singleton,80
manual,0.2,D20_distribution,cannot_judge_invalid,9
manual,0.2,D20_distribution,cannot_judge_low_n,54
manual,0.2,D20_distribution,current_changes,12.36
manual,0.2,D20_distribution,observed_unified,29
manual,0.2,D20_distribution,stable_multicluster,2.64
manual,0.2,G10_geometry,cannot_judge_any_singleton,80
manual,0.2,G10_geometry,cannot_judge_invalid,9
manual,0.2,G10_geometry,cannot_judge_low_n,54
manual,0.2,G10_geometry,current_changes,23.09
manual,0.2,G10_geometry,observed_unified,18.52
manual,0.2,G10_geometry,stable_multicluster,2.39
manual,0.2,P_pattern,cannot_judge_any_singleton,80
manual,0.2,P_pattern,cannot_judge_invalid,9
manual,0.2,P_pattern,cannot_judge_low_n,54
manual,0.2,P_pattern,current_changes,12.1
manual,0.2,P_pattern,observed_unified,29
manual,0.2,P_pattern,stable_multicluster,2.9
semi,0.05,D10_distribution,cannot_judge_any_singleton,35
semi,0.05,D10_distribution,cannot_judge_invalid,3
semi,0.05,D10_distribution,cannot_judge_low_n,1
semi,0.05,D10_distribution,current_changes,2
semi,0.05,D10_distribution,observed_unified,2
semi,0.05,D20_distribution,cannot_judge_any_singleton,35
semi,0.05,D20_distribution,cannot_judge_invalid,3
semi,0.05,D20_distribution,cannot_judge_low_n,1
semi,0.05,D20_distribution,current_changes,2
semi,0.05,D20_distribution,observed_unified,2
semi,0.05,G10_geometry,cannot_judge_any_singleton,35
semi,0.05,G10_geometry,cannot_judge_invalid,3
semi,0.05,G10_geometry,cannot_judge_low_n,1
semi,0.05,G10_geometry,current_changes,2
semi,0.05,G10_geometry,observed_unified,2
semi,0.05,P_pattern,cannot_judge_any_singleton,35
semi,0.05,P_pattern,cannot_judge_invalid,3
semi,0.05,P_pattern,cannot_judge_low_n,1
semi,0.05,P_pattern,current_changes,2
semi,0.05,P_pattern,observed_unified,2
semi,0.1,D10_distribution,cannot_judge_any_singleton,28
semi,0.1,D10_distribution,cannot_judge_invalid,3
semi,0.1,D10_distribution,cannot_judge_low_n,1
semi,0.1,D10_distribution,current_changes,1.13
semi,0.1,D10_distribution,observed_unified,7
semi,0.1,D10_distribution,stable_multicluster,2.87
semi,0.1,D20_distribution,cannot_judge_any_singleton,28
semi,0.1,D20_distribution,cannot_judge_invalid,3
semi,0.1,D20_distribution,cannot_judge_low_n,1
semi,0.1,D20_distribution,current_changes,1.13
