image_id,building,condition,cut,n,tolerance,tail3_frequency_pass,last_half_frequency_pass,disjoint_halves_frequency_pass,disjoint_half_TV,last_half_max_TV
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,0.1,5,0.2,0,0.56,0,0.61,0.244
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,0.2,5,0.1,0,0,0,0.613333333333,0.245333333333
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,0.2,5,0.2,0,0.56,0,0.613333333333,0.245333333333
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.05,5,0.1,0,0,0,0.646666666667,0.264166666667
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.05,5,0.2,0.06,0.33,0,0.646666666667,0.264166666667
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.1,5,0.1,0,0,0,0.385,0.154
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.1,5,0.2,0.56,1,0,0.385,0.154
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.2,5,0.1,0,0,0,0.396666666667,0.158666666667
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.2,5,0.2,0.56,1,0,0.396666666667,0.158666666667
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.05,5,0.1,0,0,0,0.585,0.234
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.05,5,0.2,0,0.65,0,0.585,0.234
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.1,5,0.1,0,0,0,0.386666666667,0.154666666667
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.1,5,0.2,0.62,1,0,0.386666666667,0.154666666667
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.2,5,0.1,0,0,0,0.401666666667,0.160666666667
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,0.2,5,0.2,0.66,1,0,0.401666666667,0.160666666667
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.05,24,0.1,0.84,0,0,0.4775,0.245903415212
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.05,24,0.2,1,0.1,0,0.4775,0.245903415212
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,0.1,0.9,0.01,0,0.3425,0.184253779717
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,0.2,1,0.68,0.07,0.3425,0.184253779717
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.2,24,0.1,0.95,0.14,0.11,0.261666666667,0.148110020999
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.2,24,0.2,1,0.82,0.29,0.261666666667,0.148110020999
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.05,24,0.1,0.67,0,0,0.554166666667,0.281649536738
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.05,24,0.2,1,0,0,0.554166666667,0.281649536738
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,24,0.1,0.99,0.04,0,0.314166666667,0.17281272185
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,24,0.2,1,0.7,0.19,0.314166666667,0.17281272185
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.2,24,0.1,1,0.29,0.3,0.200833333333,0.130259710834
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.2,24,0.2,1,0.9,0.59,0.200833333333,0.130259710834
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.05,5,0.1,0,0,0,1,0.4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.05,5,0.2,0,0,0,1,0.4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.1,5,0.1,0,0,0,0.803333333333,0.321333333333
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.1,5,0.2,0,0,0,0.803333333333,0.321333333333
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.2,5,0.1,0,0,0,0.413333333333,0.165333333333
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.2,5,0.2,0.6,1,0,0.413333333333,0.165333333333
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.05,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.05,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.1,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.1,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.2,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.2,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.05,5,0.1,0,0,0,0.615,0.246
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.05,5,0.2,0,0.57,0,0.615,0.246
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,5,0.1,1,1,1,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,5,0.2,1,1,1,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.2,5,0.1,1,1,1,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.2,5,0.2,1,1,1,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.05,4,0.1,0,0,0,0.665,0.3325
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.05,4,0.2,0,0,0,0.665,0.3325
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.1,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.1,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.2,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.2,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,24,0.1,0.95,0,0,0.469166666667,0.239118589744
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,24,0.2,1,0.13,0,0.469166666667,0.239118589744
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,24,0.1,0.95,0,0,0.400833333333,0.210485339007
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,24,0.2,1,0.38,0,0.400833333333,0.210485339007
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,24,0.1,0.99,0.14,0.09,0.23,0.145170546086
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,24,0.2,1,0.91,0.58,0.23,0.145170546086
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,23,0.1,0.08,0,0,0.695833333333,0.337203535595
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,23,0.2,1,0,0,0.695833333333,0.337203535595
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,23,0.1,0.59,0,0,0.539848484848,0.266921145883
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,23,0.2,1,0.07,0,0.539848484848,0.266921145883
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,23,0.1,0.97,0,0,0.396439393939,0.205736195035
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,23,0.2,1,0.51,0.04,0.396439393939,0.205736195035
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.05,6,0.1,0,0,0,0.573333333333,0.310833333333
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.05,6,0.2,0.15,0.15,0,0.573333333333,0.310833333333
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,6,0.1,0,0,0,0.63,0.3375
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,6,0.2,0.11,0.11,0,0.63,0.3375
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.2,6,0.1,0,0,0,0.49,0.2625
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.2,6,0.2,0.41,0.41,0,0.49,0.2625
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.05,4,0.1,0,0,0,0.73,0.365
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.05,4,0.2,0,0,0,0.73,0.365
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.1,4,0.1,0,0,0,0.63,0.315
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.1,4,0.2,0,0,0,0.63,0.315
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.2,4,0.1,0,0,0,0.5,0.25
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.2,4,0.2,0,0,0,0.5,0.25
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,24,0.1,0.01,0,0,0.804166666667,0.402788461538
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,24,0.2,1,0,0,0.804166666667,0.402788461538
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,24,0.1,0.47,0,0,0.645833333333,0.331438644689
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,24,0.2,1,0,0,0.645833333333,0.331438644689
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,24,0.1,0.67,0,0,0.534166666667,0.27675534188
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,24,0.2,1,0.04,0,0.534166666667,0.27675534188
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.05,5,0.1,0,0,0,1,0.4
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.05,5,0.2,0,0,0,1,0.4
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.1,5,0.1,0,0,0,0.591666666667,0.236666666667
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.1,5,0.2,0,0.63,0,0.591666666667,0.236666666667
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.2,5,0.1,0,0,0,0.61,0.244
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.2,5,0.2,0,0.52,0,0.61,0.244
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.05,6,0.1,0,0,0,0.703333333333,0.351666666667
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.05,6,0.2,0,0,0,0.703333333333,0.351666666667
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.1,6,0.1,0,0,0,0.7,0.35
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.1,6,0.2,0,0,0,0.7,0.35
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.2,6,0.1,0,0,0,0.506666666667,0.253333333333
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.2,6,0.2,0.48,0.48,0,0.506666666667,0.253333333333
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.05,5,0.1,0,0,0,0.783333333333,0.313333333333
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.05,5,0.2,0,0,0,0.783333333333,0.313333333333
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,5,0.1,0.21,0.34,0,0.345,0.1785
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,5,0.2,0.44,0.69,0.69,0.345,0.1785
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.2,5,0.1,0.19,0.34,0,0.401666666667,0.1945
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.2,5,0.2,0.35,0.61,0.61,0.401666666667,0.1945
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,19,0.1,0,0,0,0.705222222222,0.337629984051
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,19,0.2,1,0,0,0.705222222222,0.337629984051
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,19,0.1,0.72,0,0,0.488777777778,0.240891205286
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,19,0.2,1,0.19,0,0.488777777778,0.240891205286
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.2,19,0.1,1,0.55,0,0.191,0.106177784805
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.2,19,0.2,1,0.99,0.64,0.191,0.106177784805
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,20,0.1,0.85,0.08,0.16,0.297,0.170670699399
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,20,0.2,1,0.81,0.4,0.297,0.170670699399
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,20,0.1,1,1,1,0.1,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,20,0.2,1,1,1,0.1,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.2,20,0.1,1,1,1,0,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.2,20,0.2,1,1,1,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.05,4,0.1,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.05,4,0.2,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.1,4,0.1,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.1,4,0.2,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.2,4,0.1,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,0.2,4,0.2,0,0,0,1,0.5
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.05,4,0.1,0,0,0,0.65,0.325
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.05,4,0.2,0,0,0,0.65,0.325
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.1,4,0.1,0,0,0,0.685,0.3425
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.1,4,0.2,0,0,0,0.685,0.3425
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.2,4,0.1,0,0,0,0.7,0.35
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,0.2,4,0.2,0,0,0,0.7,0.35
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,0.05,5,0.1,0,0,0,0.595,0.238
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,0.05,5,0.2,0,0.59,0,0.595,0.238
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,0.1,5,0.1,0,0,0,0.406666666667,0.162666666667
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,0.1,5,0.2,0.61,1,0,0.406666666667,0.162666666667
