task_id,annotator_id,quality_tag,ls_lead_time,active_time,iou,rmse_px,corners_pred,corners_ann,corner_diff,actions_manual,actions_changed,has_prediction
459,2,normal,14.164,0,1.0000,0.00,8,8,0,1,0,True
461,2,normal,7.509,0,1.0000,0.00,8,8,0,1,0,True
462,2,complex,2121.889,0,0.0000,9.11,12,8,-4,1,3,True
463,2,normal,80.294,0,1.0000,0.00,12,12,0,1,0,True
464,2,unknown,320.776,0,1.0000,0.00,8,8,0,0,0,True
465,2,unknown,147.437,0,1.0000,0.00,8,8,0,0,0,True
