worker_id,task_count,anchor_count,core_count,project_names,output_csv,watch_flag
1,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_1_C1_tasks.csv,False
10,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_10_C1_tasks.csv,False
11,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_11_C1_tasks.csv,False
12,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_12_C1_tasks.csv,True
13,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_13_C1_tasks.csv,True
14,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_14_C1_tasks.csv,True
15,29,12,17,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_15_C1_tasks.csv,False
17,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_17_C1_tasks.csv,False
18,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_18_C1_tasks.csv,False
2,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_2_C1_tasks.csv,False
27,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_27_C1_tasks.csv,False
28,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_28_C1_tasks.csv,True
29,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_29_C1_tasks.csv,True
30,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_30_C1_tasks.csv,False
31,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_31_C1_tasks.csv,True
32,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_32_C1_tasks.csv,True
33,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_33_C1_tasks.csv,True
34,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_34_C1_tasks.csv,True
35,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_35_C1_tasks.csv,True
36,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_36_C1_tasks.csv,True
37,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_37_C1_tasks.csv,True
6,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_6_C1_tasks.csv,True
8,28,12,16,C1_anchor_all|C1_core_all,analysis_results\calibration_c1_prep\worker_facing_distribution\worker_8_C1_tasks.csv,True
