pool,image_id,code,building,method,tail,profile,max_clusters,max_singleton_share,N,possible_onset,conservative_onset,status
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,6,4.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,6,4.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,5,6,4.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,2,6,4.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,3,6,4.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,0,,,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,1,2.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,2,2.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,3,3.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,4,3.0,0.2,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,5,4.0,0.1,3,,,insufficient_tail
historical,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,representative,5,6,4.0,0.2,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,0,,,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,1,2.0,0.1,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,2,2.0,0.2,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,3,3.0,0.1,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,4,3.0,0.2,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,5,4.0,0.1,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,2,6,4.0,0.2,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,0,,,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,1,2.0,0.1,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,2,2.0,0.2,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,3,3.0,0.1,3,,,insufficient_tail
strict,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,2t7WUuJeko7,complete,3,4,3.0,0.2,3,,,insufficient_tail
