config,metric,images,buildings,delta,interval_low,interval_high
Q_3,image,56,14,-0.019769169193254613,-0.08404570766306428,0.035625572434320754
QT_3,image,56,14,-0.018931495074559292,-0.06770105562250268,0.027988806482926624
QTSB_3,image,56,14,-0.02732754174732529,-0.11459447118735683,0.03913941751463799
TRI_3,image,56,14,0.004789253600531436,-0.046285875234283694,0.06157593368596376
Q_3,sphere,56,14,-0.0362072079384314,-0.1039509592161183,0.02382758225794883
QT_3,sphere,56,14,-0.025406111673967762,-0.07193965223559504,0.016430882814798216
QTSB_3,sphere,56,14,-0.03309157956254296,-0.11831997126317569,0.030609065607317944
TRI_3,sphere,56,14,-3.6400660631499332e-06,-0.048396275826703465,0.054610424021125106
