config,metric,comparator,measure,images,buildings,AABC,comparator_mean,delta,interval_low,interval_high
QTSB_3,image,AAAA,uncovered,68,15,0.3869284659176557,0.42161978801941846,-0.034691322101762755,-0.11312567273705432,0.02328635178210129
QTSB_3,image,AAAA,incompatible,68,15,0.5765281757271243,0.5388734533692985,0.03765472235782568,-0.02264710235907424,0.10096028921576583
QTSB_3,image,AAAB,uncovered,69,15,0.3941310164535396,0.4105079655000717,-0.01637694904653214,-0.059169555275235985,0.01440892525742179
QTSB_3,image,AAAB,incompatible,69,15,0.583019024898529,0.5686030392278243,0.014415985670704621,-0.01752494103787097,0.044987523212081784
QTSB_3,image,AABB,uncovered,64,15,0.38960254525689375,0.4056519644212057,-0.016049419164311882,-0.057684191974908205,0.012566463358954297
QTSB_3,image,AABB,incompatible,64,15,0.5768877295710017,0.5668968928751296,0.009990836695872042,-0.013412576186248356,0.03183192356663855
QTSB_3,sphere,AAAA,uncovered,68,15,0.3666584153346653,0.40555610254522884,-0.03889768721056348,-0.11482501603907927,0.018403520845730003
QTSB_3,sphere,AAAA,incompatible,68,15,0.5583293741710474,0.5242453652920709,0.03408400887897655,-0.02507660203333819,0.09630284296766103
QTSB_3,sphere,AAAB,uncovered,69,15,0.3738788738884572,0.3926302851790028,-0.018751411290545483,-0.060982966850787385,0.01151537553512691
QTSB_3,sphere,AAAB,incompatible,69,15,0.5651980101646835,0.5514198631030015,0.013778147061681924,-0.01652460137520199,0.04311601465089673
QTSB_3,sphere,AABB,uncovered,64,15,0.3692681258152488,0.38775656055583835,-0.018488434740589598,-0.059972352928163386,0.009742235369406996
QTSB_3,sphere,AABB,incompatible,64,15,0.5586184403896753,0.5468993962474994,0.011719044142175826,-0.009915897778010595,0.03183464445395452
QT_3,image,AAAA,uncovered,68,15,0.39623248570983693,0.41693969716905566,-0.02070721145921869,-0.05942322724697412,0.0119288344904431
QT_3,image,AAAA,incompatible,68,15,0.5718330401442572,0.5410499923715965,0.030783047772660478,-0.010752437983564622,0.07970533819430475
QT_3,image,AAAB,uncovered,68,15,0.39623248570983693,0.40609328475876866,-0.00986079904893178,-0.029065773442549916,0.005373786396585142
QT_3,image,AAAB,incompatible,68,15,0.5718330401442572,0.5630700546725101,0.008762985471746849,-0.007600564706726795,0.027560289846882687
QT_3,image,AABB,uncovered,64,15,0.398906565049075,0.4013014519376711,-0.00239488688859603,-0.010005554387319539,0.0044611810540314415
QT_3,image,AABB,incompatible,64,15,0.5721925939881345,0.5722564694081379,-6.387542000352668e-05,-0.00647224348806659,0.006132233982045383
QT_3,sphere,AAAA,uncovered,68,15,0.3772101788654468,0.40180006599381346,-0.024589887128366777,-0.061824151260366826,0.00696688836410185
QT_3,sphere,AAAA,incompatible,68,15,0.55271906533306,0.5191412825469724,0.03357778278608752,-0.013638560916936158,0.08435796017956163
QT_3,sphere,AAAB,uncovered,68,15,0.3772101788654468,0.3879610358624611,-0.010750856997014457,-0.029595408760380984,0.003529794324413813
QT_3,sphere,AAAB,incompatible,68,15,0.55271906533306,0.5439532620273025,0.008765803305757413,-0.01008132234624763,0.028728199410232746
QT_3,sphere,AABB,uncovered,64,15,0.3798198893460303,0.3821811492677671,-0.0023612599217368233,-0.00972783600434066,0.0038987446976581916
QT_3,sphere,AABB,incompatible,64,15,0.5530081315516878,0.553977184748534,-0.0009690531968461157,-0.008229594063611567,0.005677993904602093
Q_3,image,AAAA,uncovered,63,14,0.4561773899172602,0.47548276630885006,-0.01930537639158979,-0.0839062874991583,0.03600356577650299
Q_3,image,AAAA,incompatible,63,14,0.6611406799077718,0.6703824510010362,-0.009241771093264529,-0.04301922863338704,0.0312702710395802
Q_3,image,AAAB,uncovered,63,14,0.4561773899172602,0.45633638024795237,-0.00015899033069210992,-0.024640789012802918,0.022403076003273865
Q_3,image,AAAB,incompatible,63,14,0.6611406799077718,0.6565298621511123,0.004610817756659477,-0.015092907729432928,0.024620175011459067
Q_3,image,AABB,uncovered,61,13,0.4390682225627996,0.4243144808157005,0.014753741747099054,-0.00014562603405120236,0.02801457780975086
Q_3,image,AABB,incompatible,61,13,0.6422949879441122,0.6137154816456685,0.028579506298443767,-0.008144446797441095,0.07144155857550201
Q_3,sphere,AAAA,uncovered,63,14,0.4313234591403809,0.46719421389354965,-0.035870754753168685,-0.10369473188947467,0.024118581325592997
