pool,method,tail,profile,source_n,target_n,splits,rooms,buildings,identified_pairs,source_identified,target_identified,identified_buildings,building_equal_MAE,matched_baseline_splits,building_equal_gain,within2,individual_comparable
conditional,complete,2,6,3,3,20,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,3,4,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,3,5,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,3,6,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,4,2,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,4,3,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,4,4,70,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,4,5,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,4,7,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,5,3,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,5,4,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,5,6,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,6,3,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,6,5,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,7,4,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,1,1,52,26,17,4,7,7,2,4.5,0,,2,4
conditional,complete,3,0,1,2,18,6,5,0,4,2,0,,0,,4,4
conditional,complete,3,0,2,1,18,6,5,0,2,4,0,,0,,0,0
conditional,complete,3,0,2,2,24,4,3,0,0,0,0,,0,,0,0
conditional,complete,3,0,2,3,20,2,2,0,4,2,0,,0,,0,2
conditional,complete,3,0,2,4,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,3,2,20,2,2,0,2,4,0,,0,,0,0
conditional,complete,3,0,3,3,20,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,3,4,35,1,1,0,1,0,0,,0,,0,0
conditional,complete,3,0,3,5,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,3,6,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,4,2,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,4,3,35,1,1,0,0,1,0,,0,,0,0
conditional,complete,3,0,4,4,70,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,4,5,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,4,7,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,3,0,5,3,56,1,1,0,0,0,0,,0,,0,0
