source_family,source_path,classification,classification_reason,parse_status,size_bytes,item_count,data_keys,content_sha256,event_count,parse_error_count,project_ids
import_json,import_json/c2a_rp/README.md,unresolved_import,not selected by the formal substrate,not_json,407,,,19035ec3a65d21fb2d665fde0881a5ef3e5a671b3be9526a52e037c9e7cf7c73,,,
import_json,import_json/c2b/README.md,unresolved_import,not selected by the formal substrate,not_json,758,,,ab57840a06f923dc32891e0118ed4d3b21e64ce726de862b00bbc4a16e0c7f8b,,,
import_json,import_json/calibration_c1_v2_draft/calibration_import_draft_summary_v2.json,unresolved_import,not selected by the formal substrate,parsed,304,0,,604f170c158ef435d87a82f3d6a8e2847e45db2b7afb49eb635fb5dc7cfa1f14,,,
import_json,import_json/calibration_c1_v2_draft/review_only_anchor12_contact_sheet_import_v1.json,unresolved_import,not selected by the formal substrate,parsed,5682,1,anchor_task_ids;artifact_status;contact_sheet_html;dataset_group;excluded_from_anchor_core_counterpart_task_ids;launch_allowed;review_artifact;source_anchor_csv,e735f598b3f446a857121a170c782af7f57da7fa02cd6ab7db77bca0fcf8e55d,,,
import_json,import_json/calibration_c1_v2_draft/review_only_anchor12_contact_sheet_label_config_v1.xml,unresolved_import,not selected by the formal substrate,not_json,272,,,4ca42ba999e5696ec83e14f895cdc9578781d0de7dd2e3d69e20378a0598160d,,,
import_json,import_json/calibration_c1_v2_draft/review_only_anchor12_task_import_v1.json,unresolved_import,not selected by the formal substrate,parsed,22142,12,artifact_status;base_task_id;calibration_v2_status;dataset_group;excluded_from_anchor_core_counterpart_task_ids;image;image_id;launch_allowed;legacy_difficulty_raw_sidecar;legacy_scope_raw_sidecar;proxy_confidence;review_artifact;review_order;source_import_json;task_id;title;vis_3d;worker_facing_distribution,ab578e018dfc11142bb9e18dbfa5789d0348a3e5a0381664475f3c25cd7abe81,,,
import_json,import_json/calibration_c1_v2_draft/stage2_calibration_manual_anchor_import_c1_v2_draft.json,unresolved_import,not selected by the formal substrate,parsed,8701,12,artifact_status;base_task_id;calibration_v2_status;dataset_group;image;image_id;launch_allowed;legacy_difficulty_raw_sidecar;legacy_scope_raw_sidecar;proxy_confidence;task_id;title,62342bfe4f2db0d46e9b5317a92d0bd390813660a2124aedbcceafb45bc91505,,,
import_json,import_json/calibration_c1_v2_draft/stage2_calibration_manual_core_import_c1_v2_draft.json,unresolved_import,not selected by the formal substrate,parsed,107551,75,artifact_status;base_task_id;calibration_v2_status;dataset_group;image;image_id;launch_allowed;legacy_difficulty_raw_sidecar;legacy_scope_raw_sidecar;proxy_confidence;task_id;title;vis_3d,7bb7afeee38e8306442925b5eee7df7cf404d437fc65128166506f15c2d842a2,,,
import_json,import_json/calibration_c1_v2_draft/stage2_calibration_reserve_import_c2_v2_draft.json,unresolved_import,not selected by the formal substrate,parsed,9343,13,artifact_status;base_task_id;calibration_v2_status;dataset_group;image;image_id;launch_allowed;legacy_difficulty_raw_sidecar;legacy_scope_raw_sidecar;proxy_confidence;task_id;title,97731451d1c011054885c1cdab6726e9c0907b5f483a98a059f5785825a73605,,,
import_json,import_json/calibration_c1_v2_draft/stage2_calibration_semi_import_c1_v2_draft.json,unresolved_import,not selected by the formal substrate,parsed,40602,25,artifact_status;base_task_id;calibration_v2_status;dataset_group;image;image_id;launch_allowed;legacy_difficulty_raw_sidecar;legacy_model_issue_raw_sidecar;legacy_scope_raw_sidecar;proxy_confidence;semi_family_proxy;task_id;title;vis_3d,c6ceb42ed761ddf95078aa531d49b3cf0f3cecb633009a337d2dd39b7f033e12,,,
import_json,import_json/calibration_c1_v3_1_formal/c1_v3_1_formal_import_summary.json,unresolved_import,not selected by the formal substrate,parsed,3172,0,,62eb32e1cf2bbc1d6fb11da4ce3882a69e682210ed6ecc7dd55c90794b841595,,,
import_json,import_json/calibration_c1_v3_1_formal/README.md,unresolved_import,not selected by the formal substrate,not_json,355,,,ef0b3b941fa64de965081480d2e13c5aac407a7965e2645d98cc86383efc8a66,,,
import_json,import_json/label_studio_import_docker.json,unresolved_import,not selected by the formal substrate,parsed,7987402,458,image;title;vis_3d,10c66e6ab9421c130ca0e977b9ec2ca897306de8defbf8b206a48744f569f11b,,,
import_json,import_json/sandbox/manhattan_m8/README.md,unresolved_import,not selected by the formal substrate,not_json,1055,,,9a1d7851ffbab005ca21dd80849c0c0b3db9203bc40a5c04e3a30f4bddaf3857,,,
import_json,import_json/stage1_prescreen_final_20260325/stage1_prescreen_import_summary_v4.json,unresolved_import,not selected by the formal substrate,parsed,2147,0,,900c53b4ff090d77271c523b60eedb0d09fecf5080110c92ba194a1fa1c13fe4,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/foreign_https_import_summary_v1.json,unresolved_import,not selected by the formal substrate,parsed,2730,0,,43c4fddceb916b564d236a8f44038644e014b5ccd67e065367fd775d9b38bb43,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/README.md,unresolved_import,not selected by the formal substrate,not_json,1679,,,7453eae054b0eda519032d869d56badccb31eb6478195e10ffffc7af22cc6396,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/stage1_prescreen_manual_import_v2_foreign_https.json,unresolved_import,not selected by the formal substrate,parsed,35520,30,base_task_id;condition;dataset_group;final_role;has_expert_ref;image;is_anchor;scope_gold;task_id;title;vis_3d,c6ea7c8bc14d985fc349f16803cd2b1ea586a0175ecfe7c954546588a75e7be5,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/stage1_prescreen_oos_audit_only_import_v1_foreign_https.json,unresolved_import,not selected by the formal substrate,parsed,1417,1,base_task_id;condition;dataset_group;family_dir;final_role;image;scope_target;scope_target_source;task_id;title;vis_3d,0529a3fbb4a3a063edc9ab2cb167c3f8591f97a2049df81ad7f74c168716e1c8,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/stage1_prescreen_oos_import_v2_foreign_https.json,unresolved_import,not selected by the formal substrate,parsed,12623,9,base_task_id;condition;dataset_group;family_dir;final_role;image;scope_target;scope_target_source;task_id;title;vis_3d,9bf8c9052a362d500794ed1455b28eba4d0a1f61558ade1b09e498c948d8ad87,,,
import_json,import_json/stage1_prescreen_foreign_https_20260609/stage1_prescreen_semi_import_v5_foreign_https.json,unresolved_import,not selected by the formal substrate,parsed,113525,18,base_task_id;condition;dataset_group;image;init_type;proposal_coord_contract;proposal_source_kind;proposal_source_path;semi_role;source_type;synthetic_candidate_id;synthetic_rebind_status;task_id;title;trap_family;vis_3d,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,,,
import_json,import_json/uncertainty_meta_feasibility_20260824/README.md,unresolved_import,not selected by the formal substrate,not_json,2182,,,42a0d7cef8475933718b8e3b2d02c45779eecbf8f0385471325dd173fdd5e691,,,
import_json,import_json/uncertainty_meta_feasibility_20260824/uncertainty_meta_feasibility_semi_import_zh_v1.json,unresolved_import,not selected by the formal substrate,parsed,31345,5,base_task_id;condition;dataset_group;image;task_code;task_id;title;vis_3d,a148f7a8465ede40b44618799ac9fdbaedd7c8075a2414a49409debee589a85b,,,
active_logs,active_logs/active_logs/active_times_2025-12-03.jsonl,unresolved_active_log,not selected and not byte-identical to formal logs,parsed,352,,,47973d03ba1b9a199b8e0afd41e6e94ed4b75a966cb09868def83d6345601a83,4,0,2
active_logs,active_logs/active_logs/active_times_2025-12-20.jsonl,unresolved_active_log,not selected and not byte-identical to formal logs,parsed,1918,,,0827b597543ad5063773c8044e14667b09de7e35849f355f04468b682a6e1673,10,0,2
active_logs,active_logs/active_logs/active_times_2025-12-22.jsonl,unresolved_active_log,not selected and not byte-identical to formal logs,parsed,3940,,,66fa9e920acdd21206f995db365c65a7c0d37bff57665d9626afa65810a8ce38,22,0,2
active_logs,active_logs/active_logs/active_times_2026-01-15.jsonl,unresolved_active_log,not selected and not byte-identical to formal logs,parsed,8708,,,8342a73d16867f82a18525a0965ae796f6042d17dbbb05dddc1e2222546cb96c,49,0,1;2
