source_family,source_path,classification,classification_reason,parse_status,size_bytes,task_count,annotation_snapshot_count,project_ids,base_task_count,worker_count,conditions,data_keys,content_sha256,item_count,event_count,parse_error_count
export_label,export_label/c2arp_block1/project-78-at-2026-08-10-07-22-d878a022.json,formal_experiment_export,exact frozen/current formal source,parsed,117331,17,20,78,17,10,manual,base_task_id;block_index;c2a_assignment_manifest_sha256;c2a_block_assignment_sha256;c2a_precision_plan_sha256;c2a_task_pool_sha256;c2b_summary_sha256;condition;dataset_group;deployment_id;design_manifest_sha256;gap_reason;image;image_id;language_group;method_contract_sha256;method_contract_version;model_layout_sha256;planned_task_id;post_c2b_worker_profile_sha256;project_id;round_id;server_instance_id;server_url;target_component;task_id;task_stratum;threshold_manifest_sha256;title;vis_3d,1138c36c3f72c234011d1d35366218bf3330c8ed7af8d6ede9ca5710da4c999a,,,
export_label,export_label/c2arp_block1/project-79-at-2026-08-10-07-21-c5055ba6.json,formal_experiment_export,exact frozen/current formal source,parsed,122801,18,20,79,18,10,manual,base_task_id;block_index;c2a_assignment_manifest_sha256;c2a_block_assignment_sha256;c2a_precision_plan_sha256;c2a_task_pool_sha256;c2b_summary_sha256;condition;dataset_group;deployment_id;design_manifest_sha256;gap_reason;image;image_id;language_group;method_contract_sha256;method_contract_version;model_layout_sha256;planned_task_id;post_c2b_worker_profile_sha256;project_id;round_id;server_instance_id;server_url;target_component;task_id;task_stratum;threshold_manifest_sha256;title;vis_3d,87d6e7ccbb7fa4532f171d60838ffe30b3a94fbe0a0ecb83c2eec17227445155,,,
export_label,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json,formal_experiment_export,exact frozen/current formal source,parsed,121208,17,20,84,17,10,manual,base_task_id;block_index;c2a_assignment_manifest_sha256;c2a_block_assignment_sha256;c2a_precision_plan_sha256;c2a_task_pool_sha256;c2b_summary_sha256;condition;dataset_group;deployment_id;design_manifest_sha256;gap_reason;image;image_id;language_group;method_contract_sha256;method_contract_version;model_layout_sha256;planned_project_name;planned_task_id;post_c2b_worker_profile_sha256;project_binding_status;project_id;round_id;server_instance_id;server_url;target_component;task_id;task_stratum;threshold_manifest_sha256;title;vis_3d,ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970,,,
export_label,export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,formal_experiment_export,exact frozen/current formal source,parsed,114545,15,20,85,15,10,manual,base_task_id;block_index;c2a_assignment_manifest_sha256;c2a_block_assignment_sha256;c2a_precision_plan_sha256;c2a_task_pool_sha256;c2b_summary_sha256;condition;dataset_group;deployment_id;design_manifest_sha256;gap_reason;image;image_id;language_group;method_contract_sha256;method_contract_version;model_layout_sha256;planned_project_name;planned_task_id;post_c2b_worker_profile_sha256;project_binding_status;project_id;round_id;server_instance_id;server_url;target_component;task_id;task_stratum;threshold_manifest_sha256;title;vis_3d,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1,,,
export_label,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,formal_experiment_export,exact frozen/current formal source,parsed,355758,27,80,77,27,10,manual,artifact_status;base_task_id;c2b_batch_id;calibration_version;condition;dataset_group;image;image_id;launch_allowed;planned_task_id;selected_design_sha;source_draft;task_id;title;vis_3d,faca85af24fd27dbcebf01d99d1f12fa4dd85c369f733895bce6583b91a2e208,,,
export_label,export_label/c2B_English/project-76-at-2026-08-06-14-41-45400e98.json,formal_experiment_export,exact frozen/current formal source,parsed,329219,23,80,76,23,10,manual,artifact_status;base_task_id;c2b_batch_id;calibration_version;condition;dataset_group;image;image_id;launch_allowed;planned_task_id;selected_design_sha;source_draft;task_id;title;vis_3d,1f0bd8f88e82c6c65de2a585c9e99a2d4f8bf1e1a42376fbb2d0471597c1c93e,,,
export_label,export_label/groudTruth(prescreen时使用的).json,reference_export,GT/reference project or filename,parsed,3373620,458,458,20,0,1,,image;title;vis_3d,39b1868da0b5b7c0f5b89689f0350148b8faf7aa19a0d42667fd633e33ba0950,,,
export_label,export_label/groudTruth.json,reference_export,GT/reference project or filename,parsed,1865730,458,458,70,0,1,,image;title;vis_3d,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,,,
export_label,export_label/groudTruth_106错误.json,reference_export,GT/reference project or filename,parsed,3375523,458,458,20,0,1,,image;title;vis_3d,b5de5640919de05058fcc1f86e7a2c1a5e84abf398285ab82c5be69a6e5a0c88,,,
export_label,export_label/groudTruth_2(61_84_194双标注).json,reference_export,GT/reference project or filename,parsed,3414739,458,461,20,0,1,,image;title;vis_3d,2bf3c488dbdcad110cf8940546dffb1870b0c87409136bd708ee95a6ad412505,,,
