scenario,support_set,k,building_id,task_count,image_count,worker_count,full_status_recovery_rate_task_equal,partition_recovery_rate_task_equal,historical_all_target_status_recovery_rate_task_equal,historical_all_target_partition_recovery_rate_task_equal,paired_status_changed_from_prior_k_rate_task_equal
current_available20__all_strict_geometry,fixed_common_support_k20,18,X7HyMhZNoso,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,18,b8cTxDM8gDG,1,1,20,0.775,0.775,0.775,0.775,0.13
current_available20__all_strict_geometry,fixed_common_support_k20,18,e9zR4mvMWw7,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,18,q9vSo1VnCiC,3,3,20,1.0,1.0,0.3333333333333333,1.0,0.0016666666666666668
current_available20__all_strict_geometry,fixed_common_support_k20,18,rPc6DW4iMge,5,5,20,0.8949999999999999,1.0,0.8949999999999999,1.0,0.05700000000000001
current_available20__all_strict_geometry,fixed_common_support_k20,18,uNb9QFRL6hY,10,10,20,0.9440000000000002,0.976,0.8440000000000001,0.876,0.028499999999999998
current_available20__all_strict_geometry,fixed_common_support_k20,18,wc2JMjhGNzB,4,4,20,0.94875,0.96625,0.94875,0.96625,0.04625
current_available20__all_strict_geometry,fixed_common_support_k20,18,x8F5xyUWy9e,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,18,yqstnuAEVhm,4,4,20,0.9299999999999999,0.935,0.43,0.935,0.03125
current_available20__all_strict_geometry,fixed_common_support_k20,19,7y3sRwLe3Va,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,19,B6ByNegPMKs,2,2,20,0.9675,1.0,0.9675,1.0,0.055
current_available20__all_strict_geometry,fixed_common_support_k20,19,UwV83HsGsw3,3,3,20,0.965,1.0,0.965,1.0,0.03
current_available20__all_strict_geometry,fixed_common_support_k20,19,X7HyMhZNoso,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,19,b8cTxDM8gDG,1,1,20,0.915,0.915,0.915,0.915,0.14
current_available20__all_strict_geometry,fixed_common_support_k20,19,e9zR4mvMWw7,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,19,q9vSo1VnCiC,3,3,20,1.0,1.0,0.3333333333333333,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,19,rPc6DW4iMge,5,5,20,0.9410000000000001,1.0,0.9410000000000001,1.0,0.046000000000000006
current_available20__all_strict_geometry,fixed_common_support_k20,19,uNb9QFRL6hY,10,10,20,0.9695,0.9894999999999999,0.8695,0.8895,0.025500000000000002
current_available20__all_strict_geometry,fixed_common_support_k20,19,wc2JMjhGNzB,4,4,20,0.975,0.98375,0.975,0.98375,0.03375
current_available20__all_strict_geometry,fixed_common_support_k20,19,x8F5xyUWy9e,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,19,yqstnuAEVhm,4,4,20,0.95875,0.95875,0.45875,0.95875,0.02875
current_available20__all_strict_geometry,fixed_common_support_k20,20,7y3sRwLe3Va,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,20,B6ByNegPMKs,2,2,20,1.0,1.0,1.0,1.0,0.0325
current_available20__all_strict_geometry,fixed_common_support_k20,20,UwV83HsGsw3,3,3,20,1.0,1.0,1.0,1.0,0.034999999999999996
current_available20__all_strict_geometry,fixed_common_support_k20,20,X7HyMhZNoso,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,20,b8cTxDM8gDG,1,1,20,1.0,1.0,1.0,1.0,0.085
current_available20__all_strict_geometry,fixed_common_support_k20,20,e9zR4mvMWw7,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,20,q9vSo1VnCiC,3,3,20,1.0,1.0,0.3333333333333333,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,20,rPc6DW4iMge,5,5,20,1.0,1.0,1.0,1.0,0.05900000000000001
current_available20__all_strict_geometry,fixed_common_support_k20,20,uNb9QFRL6hY,10,10,20,1.0,1.0,0.9,0.9,0.0305
current_available20__all_strict_geometry,fixed_common_support_k20,20,wc2JMjhGNzB,4,4,20,1.0,1.0,1.0,1.0,0.025
current_available20__all_strict_geometry,fixed_common_support_k20,20,x8F5xyUWy9e,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,20,yqstnuAEVhm,4,4,20,1.0,1.0,0.5,1.0,0.04125
current_available20__legacy_independent_only,fixed_common_support_k20,15,UwV83HsGsw3,1,1,20,0.94,1.0,0.94,1.0,
current_available20__legacy_independent_only,fixed_common_support_k20,15,rPc6DW4iMge,2,2,20,0.6475,1.0,0.6475,1.0,
current_available20__legacy_independent_only,fixed_common_support_k20,15,uNb9QFRL6hY,5,5,20,0.867,0.9189999999999999,0.667,0.719,
current_available20__legacy_independent_only,fixed_common_support_k20,15,wc2JMjhGNzB,2,2,20,0.78,0.7675000000000001,0.78,0.7675000000000001,
current_available20__legacy_independent_only,fixed_common_support_k20,15,yqstnuAEVhm,2,2,20,0.6875,0.745,0.6875,0.745,
current_available20__legacy_independent_only,fixed_common_support_k20,16,UwV83HsGsw3,1,1,20,0.96,1.0,0.96,1.0,0.02
current_available20__legacy_independent_only,fixed_common_support_k20,16,rPc6DW4iMge,2,2,20,0.7124999999999999,1.0,0.7124999999999999,1.0,0.065
current_available20__legacy_independent_only,fixed_common_support_k20,16,uNb9QFRL6hY,5,5,20,0.891,0.932,0.6910000000000001,0.732,0.03
current_available20__legacy_independent_only,fixed_common_support_k20,16,wc2JMjhGNzB,2,2,20,0.8274999999999999,0.8200000000000001,0.8274999999999999,0.8200000000000001,0.0975
current_available20__legacy_independent_only,fixed_common_support_k20,16,yqstnuAEVhm,2,2,20,0.7575000000000001,0.7975,0.7575000000000001,0.7975,0.07
current_available20__legacy_independent_only,fixed_common_support_k20,17,UwV83HsGsw3,1,1,20,0.975,1.0,0.975,1.0,0.015
current_available20__legacy_independent_only,fixed_common_support_k20,17,rPc6DW4iMge,2,2,20,0.78,1.0,0.78,1.0,0.0675
current_available20__legacy_independent_only,fixed_common_support_k20,17,uNb9QFRL6hY,5,5,20,0.917,0.95,0.717,0.75,0.03
current_available20__legacy_independent_only,fixed_common_support_k20,17,wc2JMjhGNzB,2,2,20,0.8825000000000001,0.875,0.8825000000000001,0.875,0.07
current_available20__legacy_independent_only,fixed_common_support_k20,17,yqstnuAEVhm,2,2,20,0.825,0.8474999999999999,0.825,0.8474999999999999,0.0675
current_available20__legacy_independent_only,fixed_common_support_k20,18,UwV83HsGsw3,1,1,20,0.98,1.0,0.98,1.0,0.005
current_available20__legacy_independent_only,fixed_common_support_k20,18,rPc6DW4iMge,2,2,20,0.8375,1.0,0.8375,1.0,0.0575
current_available20__legacy_independent_only,fixed_common_support_k20,18,uNb9QFRL6hY,5,5,20,0.9460000000000001,0.968,0.746,0.768,0.028999999999999998
current_available20__legacy_independent_only,fixed_common_support_k20,18,wc2JMjhGNzB,2,2,20,0.9175,0.915,0.9175,0.915,0.06
current_available20__legacy_independent_only,fixed_common_support_k20,18,yqstnuAEVhm,2,2,20,0.885,0.8875,0.885,0.8875,0.06
current_available20__legacy_independent_only,fixed_common_support_k20,19,UwV83HsGsw3,1,1,20,1.0,1.0,1.0,1.0,0.02
current_available20__legacy_independent_only,fixed_common_support_k20,19,rPc6DW4iMge,2,2,20,0.9125,1.0,0.9125,1.0,0.075
current_available20__legacy_independent_only,fixed_common_support_k20,19,uNb9QFRL6hY,5,5,20,0.969,0.977,0.7689999999999999,0.7769999999999999,0.023
current_available20__legacy_independent_only,fixed_common_support_k20,19,wc2JMjhGNzB,2,2,20,0.95,0.95,0.95,0.95,0.0425
current_available20__legacy_independent_only,fixed_common_support_k20,19,yqstnuAEVhm,2,2,20,0.9450000000000001,0.9450000000000001,0.9450000000000001,0.9450000000000001,0.060000000000000005
current_available20__legacy_independent_only,fixed_common_support_k20,20,UwV83HsGsw3,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__legacy_independent_only,fixed_common_support_k20,20,rPc6DW4iMge,2,2,20,1.0,1.0,1.0,1.0,0.0875
current_available20__legacy_independent_only,fixed_common_support_k20,20,uNb9QFRL6hY,5,5,20,1.0,1.0,0.8,0.8,0.031
current_available20__legacy_independent_only,fixed_common_support_k20,20,wc2JMjhGNzB,2,2,20,1.0,1.0,1.0,1.0,0.05
current_available20__legacy_independent_only,fixed_common_support_k20,20,yqstnuAEVhm,2,2,20,1.0,1.0,1.0,1.0,0.055
historical_all__all_strict_geometry,fixed_common_support_k20,15,7y3sRwLe3Va,1,1,25,0.515,1.0,0.515,1.0,0.08
historical_all__all_strict_geometry,fixed_common_support_k20,15,B6ByNegPMKs,3,3,25,0.73,0.9833333333333334,0.73,0.9833333333333334,0.08166666666666667
historical_all__all_strict_geometry,fixed_common_support_k20,15,UwV83HsGsw3,3,3,24,0.7766666666666667,1.0,0.7766666666666667,1.0,0.051666666666666666
historical_all__all_strict_geometry,fixed_common_support_k20,15,X7HyMhZNoso,1,1,25,0.615,1.0,0.615,1.0,0.075
historical_all__all_strict_geometry,fixed_common_support_k20,15,b8cTxDM8gDG,1,1,26,0.245,0.245,0.245,0.245,0.065
historical_all__all_strict_geometry,fixed_common_support_k20,15,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,15,q9vSo1VnCiC,4,4,25,0.5725,0.84125,0.5725,0.84125,0.08375
historical_all__all_strict_geometry,fixed_common_support_k20,15,rPc6DW4iMge,6,6,26,0.6383333333333333,0.9258333333333333,0.6383333333333333,0.9258333333333333,0.11666666666666665
historical_all__all_strict_geometry,fixed_common_support_k20,15,uNb9QFRL6hY,11,11,26,0.8518181818181817,0.9077272727272727,0.8518181818181817,0.9077272727272727,0.05954545454545455
historical_all__all_strict_geometry,fixed_common_support_k20,15,wc2JMjhGNzB,4,4,24,0.82125,0.9,0.82125,0.9,0.08750000000000001
historical_all__all_strict_geometry,fixed_common_support_k20,15,x8F5xyUWy9e,1,1,24,0.99,1.0,0.99,1.0,0.025
historical_all__all_strict_geometry,fixed_common_support_k20,15,yqstnuAEVhm,6,6,26,0.7608333333333333,0.9125,0.7608333333333333,0.9125,0.10583333333333333
historical_all__all_strict_geometry,fixed_common_support_k20,16,7y3sRwLe3Va,1,1,25,0.55,1.0,0.55,1.0,0.035
historical_all__all_strict_geometry,fixed_common_support_k20,16,B6ByNegPMKs,3,3,25,0.7416666666666667,0.9766666666666667,0.7416666666666667,0.9766666666666667,0.045000000000000005
historical_all__all_strict_geometry,fixed_common_support_k20,16,UwV83HsGsw3,3,3,24,0.7966666666666667,1.0,0.7966666666666667,1.0,0.02
historical_all__all_strict_geometry,fixed_common_support_k20,16,X7HyMhZNoso,1,1,25,0.65,1.0,0.65,1.0,0.035
historical_all__all_strict_geometry,fixed_common_support_k20,16,b8cTxDM8gDG,1,1,26,0.305,0.305,0.305,0.305,0.06
historical_all__all_strict_geometry,fixed_common_support_k20,16,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
