comparison,stratum,comparison_count,image_count,building_count,worker_count,d_mask_mean,d_mask_median,d_mask_q25,d_mask_q75
bilayout_enclosed_extended,2t7WUuJeko7,3,3,1,0,0.000319419183,0.0,0.0,0.000479128775
bilayout_enclosed_extended,7y3sRwLe3Va,12,12,1,0,0.020524876384,0.003356147885,0.001591296573,0.006629697413
bilayout_enclosed_extended,B6ByNegPMKs,11,11,1,0,0.025132803264,0.007758914098,0.002567361859,0.018252442083
bilayout_enclosed_extended,S9hNv5qa7GM,10,10,1,0,0.005060396096,0.002812286494,0.000434649813,0.005848285308
bilayout_enclosed_extended,UwV83HsGsw3,10,10,1,0,0.034540066708,0.009304542547,0.00182068477,0.015481117955
bilayout_enclosed_extended,VFuaQ6m2Qom,5,5,1,0,0.002642841484,0.003621265116,0.000378294881,0.003850029414
bilayout_enclosed_extended,VLzqgDo317F,1,1,1,0,0.008190292041,0.008190292041,0.008190292041,0.008190292041
bilayout_enclosed_extended,X7HyMhZNoso,4,4,1,0,0.001296512188,0.001221658496,0.000744074707,0.001774095976
bilayout_enclosed_extended,Z6MFQCViBuw,4,4,1,0,0.008614907426,0.006341341749,0.0049709671,0.009985282074
bilayout_enclosed_extended,b8cTxDM8gDG,5,5,1,0,0.017934343136,0.000908431988,0.000741839763,0.014421645699
bilayout_enclosed_extended,e9zR4mvMWw7,9,9,1,0,0.046942282224,0.003969677005,0.0,0.005371616761
bilayout_enclosed_extended,jh4fc5c5qoQ,7,7,1,0,0.075147693896,0.014076555384,0.003554090344,0.046846882104
bilayout_enclosed_extended,jtcxE69GiFV,16,16,1,0,0.009795731754,0.004674050941,0.002078894347,0.008100519688
bilayout_enclosed_extended,pRbA3pwrgk9,11,11,1,0,0.049022972762,0.005315171127,0.001773534201,0.04275592311
bilayout_enclosed_extended,pa4otMbVnkk,11,11,1,0,0.038586513787,0.000119316266,0.0,0.003019218812
bilayout_enclosed_extended,pooled,212,212,22,0,0.028530592398,0.003478397398,0.000404401456,0.010300709103
bilayout_enclosed_extended,q9vSo1VnCiC,16,16,1,0,0.019555058614,0.000946831499,0.000165123915,0.005601920282
bilayout_enclosed_extended,rPc6DW4iMge,10,10,1,0,0.04120905937,0.006010194504,0.001162888188,0.059288728603
bilayout_enclosed_extended,uNb9QFRL6hY,28,28,1,0,0.043073758822,0.005496425754,0.000695557545,0.032260890916
bilayout_enclosed_extended,wc2JMjhGNzB,15,15,1,0,0.027333513861,0.002027159874,0.0,0.005157742316
bilayout_enclosed_extended,x8F5xyUWy9e,4,4,1,0,0.003064204471,0.002988570314,0.002109365487,0.003943409298
bilayout_enclosed_extended,yqstnuAEVhm,14,14,1,0,0.037149028799,0.007091829976,0.001497369846,0.019514211449
bilayout_enclosed_extended,zsNo4HB9uLZ,6,6,1,0,0.005951381953,0.003534041463,0.001531293538,0.009615174823
bilayout_enclosed_gt,2t7WUuJeko7,3,3,1,0,0.025132606458,0.017246607394,0.014835396192,0.031486817193
bilayout_enclosed_gt,7y3sRwLe3Va,10,10,1,0,0.115716627888,0.049405835192,0.028379769877,0.21301961247
bilayout_enclosed_gt,B6ByNegPMKs,11,11,1,0,0.129683983457,0.118490411884,0.095368185414,0.159354163808
bilayout_enclosed_gt,S9hNv5qa7GM,7,7,1,0,0.063685706421,0.050123438992,0.044408864784,0.063209853337
bilayout_enclosed_gt,UwV83HsGsw3,8,8,1,0,0.18098908192,0.141806618248,0.086120234997,0.283939036283
bilayout_enclosed_gt,VFuaQ6m2Qom,2,2,1,0,0.048124902504,0.048124902504,0.034945994418,0.06130381059
bilayout_enclosed_gt,VLzqgDo317F,1,1,1,0,0.028323401751,0.028323401751,0.028323401751,0.028323401751
bilayout_enclosed_gt,X7HyMhZNoso,4,4,1,0,0.055454500151,0.052442673544,0.03604697165,0.071850202045
bilayout_enclosed_gt,Z6MFQCViBuw,4,4,1,0,0.14858276295,0.107946725799,0.063625244982,0.192904243767
bilayout_enclosed_gt,b8cTxDM8gDG,4,4,1,0,0.125013278037,0.053054545961,0.032173993113,0.145893830886
bilayout_enclosed_gt,e9zR4mvMWw7,9,9,1,0,0.062081480153,0.036963998847,0.02554297444,0.068397135333
bilayout_enclosed_gt,jh4fc5c5qoQ,2,2,1,0,0.066720765821,0.066720765821,0.052860210972,0.080581320671
bilayout_enclosed_gt,jtcxE69GiFV,12,12,1,0,0.064271592846,0.05868754755,0.042617862414,0.071680581682
bilayout_enclosed_gt,pRbA3pwrgk9,7,7,1,0,0.044677995226,0.035820822032,0.018631306995,0.072350799467
bilayout_enclosed_gt,pa4otMbVnkk,8,8,1,0,0.081413943663,0.045643134136,0.033654227033,0.05983770942
bilayout_enclosed_gt,pooled,179,179,22,0,0.087614678853,0.05565545069,0.030443094967,0.112387760069
bilayout_enclosed_gt,q9vSo1VnCiC,15,15,1,0,0.083241104333,0.051065458373,0.039632967485,0.137865600086
bilayout_enclosed_gt,rPc6DW4iMge,10,10,1,0,0.039033251814,0.024506876757,0.019387270073,0.037561859516
bilayout_enclosed_gt,uNb9QFRL6hY,26,26,1,0,0.105995486037,0.078913108191,0.0509255186,0.141209387749
bilayout_enclosed_gt,wc2JMjhGNzB,15,15,1,0,0.090219040975,0.035106192883,0.028696975225,0.06289222699
bilayout_enclosed_gt,x8F5xyUWy9e,4,4,1,0,0.036314513731,0.036630182553,0.027213778023,0.04573091826
bilayout_enclosed_gt,yqstnuAEVhm,13,13,1,0,0.080050852777,0.076129683097,0.02960276396,0.10503831379
bilayout_enclosed_gt,zsNo4HB9uLZ,4,4,1,0,0.081980916987,0.034005063345,0.024206073345,0.091779906988
