stage,condition,image_unit_count,task_context_count,canonical_annotation_count,raw_geometry_computable_count,raw_geometry_noncomputable_count,raw_version_count,building_count,maximum_unique_worker_support,maximum_strict_geometry_support,image_units_supporting_k15,image_units_supporting_k20,image_units_with_20_observed_workers,old_eligibility_used
C1,manual,87,87,674,668,6,680,13,23,23,12,12,12,False
C1,semi,25,25,106,105,1,108,9,5,5,0,0,0,False
C2-A-RP,manual,42,55,80,79,1,80,8,4,4,0,0,0,False
C2-B,manual,46,46,160,160,0,160,8,20,20,4,1,4,False
P1,manual,30,30,779,741,38,782,12,26,26,30,30,30,False
P1,oos,9,9,234,221,13,234,6,26,26,9,9,9,False
P1,semi,18,18,468,464,4,469,10,26,26,18,18,18,False
