annotator_id,low_texture|overextend_adjacent,occlusion|acceptable,occlusion|corner_drift,occlusion|over_parsing,oos::oos_geometry,oos::oos_split_level,other,reflection|acceptable
1,0,34,0,4,4,0,3,5
2,0,1,3,0,0,1,3,0
3,0,1,3,0,0,2,3,0
4,1,0,2,0,0,1,2,0
