annotator_id,n_total,n_in_scope,n_model_usable,mean_active_time,median_active_time,mean_iou_m,fallback_active_time_share,type4_share,mixed_scope_share,r_u,r_u_lcb,r_u_lcb_rule_version,T_u,C_u,n_model_usable_support,n_prescreen_semi_support,n_scene_eligible_support,worker_group,worker_group_reason,group_rule_version,worker_group_v2,worker_group_reason_v2,worker_group_reason_chain_v2,group_rule_version_v2
1,50,46,41,14.39552,10.062,1.0,1.0,0.1,0.0,1.0,1.0,quantile10_m_tier_v1,0.16279069767441862,0.0,41,0,4,stable,stable_default,prototype_worker_group_v1,stable,stable_default_v2,n_model_usable:41;n_prescreen_semi:0;n_scene_eligible:4;r_u_lcb:1.0000;T_u:0.1628;C_u:0.0000,stabilized_worker_group_v2
2,8,7,2,114.625,27.0,0.9840649862376182,0.0,0.625,0.125,0.9840649862376182,0.9713169752277128,quantile10_m_tier_v1,0.14285714285714285,,2,0,0,stable,stable_default,prototype_worker_group_v1,ungrouped,insufficient_model_usable_v2,n_model_usable:2;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.9713;T_u:0.1429;C_u:na,stabilized_worker_group_v2
3,9,7,1,47.22222222222222,45.0,0.9719617698347048,0.0,0.7777777777777778,0.1111111111111111,0.9719617698347048,0.9719617698347048,quantile10_m_tier_v1,0.5,,1,0,0,vulnerable,vuln_high_trust_risk,prototype_worker_group_v1,ungrouped,insufficient_model_usable_v2,n_model_usable:1;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.9720;T_u:0.5000;C_u:na,stabilized_worker_group_v2
4,6,4,2,42.666666666666664,35.0,0.9226774834018794,0.0,0.16666666666666666,0.16666666666666666,0.9226774834018794,0.860819470123383,quantile10_m_tier_v1,0.8333333333333334,,2,0,0,vulnerable,vuln_high_trust_risk,prototype_worker_group_v1,ungrouped,insufficient_model_usable_v2,n_model_usable:2;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.8608;T_u:0.8333;C_u:na,stabilized_worker_group_v2
