task_id,risk_path,scene_path,used_scene_specific_reliability,selected_worker,candidate_pool_size,candidate_rank,runner_up_worker,winner_margin,route_attribution_rule_version,decision_reason_chain
466,type4_guarded,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
467,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
470,m_tier,fallback::other,False,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::other;reliability:r_u_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
476,t_tier,fallback::oos::oos_split_level,False,3,2,1,4,0.11114229971132183,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_split_level;reliability:r_u_lcb=0.9720;tier:T;active_time:log;meta_guard:accepted;rank:1/2;margin:0.1111
478,type4_guarded,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
479,type4_guarded,fallback::other,False,3,3,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::other;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:rejected;rank:1/3;margin:0.0006
480,type4_guarded,fallback::other,False,3,3,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::other;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:rejected;rank:1/3;margin:0.0006
484,type4_guarded,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
485,m_tier,fallback::other,False,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::other;reliability:r_u_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
487,type4_guarded,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:I;active_time:lead_time_fallback;meta_guard:rejected;rank:1/1;margin:na
489,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
492,type4_guarded,core_scene::occlusion|corner_drift,False,3,3,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|corner_drift;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:rejected;rank:1/3;margin:0.0006
496,type4_guarded,fallback::oos::oos_split_level,False,3,2,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::oos::oos_split_level;reliability:r_u_lcb=0.9720;tier:T;active_time:log;meta_guard:rejected;rank:1/2;margin:0.0006
501,type4_guarded,fallback::other,False,3,3,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:fallback::other;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:rejected;rank:1/3;margin:0.0006
502,type4_guarded,core_scene::occlusion|corner_drift,False,3,3,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_guarded;scene:core_scene::occlusion|corner_drift;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:rejected;rank:1/3;margin:0.0006
503,m_tier,core_scene::occlusion|corner_drift,False,3,2,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|corner_drift;reliability:r_u_lcb=0.9720;tier:M;active_time:log;meta_guard:accepted;rank:1/2;margin:0.0006
506,type4_system,core_scene::occlusion|acceptable,False,3,2,1,2,0.0006447946069920718,route_attribution_replayable_v2,risk:type4_system;scene:core_scene::occlusion|acceptable;reliability:r_u_lcb=0.9720;tier:I;active_time:log;meta_guard:accepted;rank:1/2;margin:0.0006
509,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
510,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
513,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
515,m_tier,fallback::other,False,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::other;reliability:r_u_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
519,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
520,m_tier,fallback::reflection|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::reflection|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
522,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
529,t_tier,fallback::oos::oos_geometry,False,1,1,1,,,route_attribution_replayable_v2,risk:t_tier;scene:fallback::oos::oos_geometry;reliability:r_u_lcb=1.0000;tier:T;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
530,m_tier,core_scene::occlusion|acceptable,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:core_scene::occlusion|acceptable;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
535,m_tier,fallback::occlusion|over_parsing,True,1,1,1,,,route_attribution_replayable_v2,risk:m_tier;scene:fallback::occlusion|over_parsing;reliability:r_u_s_lcb=1.0000;tier:M;active_time:lead_time_fallback;meta_guard:accepted;rank:1/1;margin:na
