scene_proxy,core_scene,n_rows,n_tasks,n_workers,in_scope_share,core_scene_rule_version,routing_role,notes
low_texture|overextend_adjacent,low_texture|overextend_adjacent,1,1,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
occlusion|acceptable,occlusion|acceptable,36,35,3,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
occlusion|corner_drift,occlusion|corner_drift,8,3,3,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
occlusion|over_parsing,occlusion|over_parsing,4,4,1,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
oos::oos_geometry,oos::oos_geometry,4,4,1,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
oos::oos_split_level,oos::oos_split_level,4,2,3,0.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|acceptable,other,1,1,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|fail,other,3,1,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
low_texture|overextend_adjacent,other,2,1,2,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|corner_drift,other,3,1,3,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|overextend_adjacent,other,1,1,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
trivial|acceptable,other,1,1,1,1.0,scene_proxy_top4_v1,audit_only,collapsed to audit-only or non-routing bucket
reflection|acceptable,reflection|acceptable,5,5,1,1.0,scene_proxy_top4_v1,routing_candidate,scene_proxy retained in core_scene v1
