annotator_id,occlusion|acceptable,occlusion|corner_drift,occlusion|over_parsing,other,reflection|acceptable
1,1.0,,1.0,1.0,1.0
2,1.0,0.9681299724752364,,,
3,,0.9719617698347048,,,
4,,0.8453549668037589,,1.0,
