scene_proxy,core_scene,n_rows,n_tasks,n_workers,in_scope_share,core_scene_rule_version_v2,min_tasks_required_v2,min_workers_required_v2,strict_eligibility_v2,routing_role_v2,strict_gate_reason_v2,scene_bucket_v2,scene_path_template_v2
low_texture|overextend_adjacent,low_texture|overextend_adjacent,1,1,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
occlusion|acceptable,occlusion|acceptable,36,35,3,1.0,scene_proxy_top4_support_v2,3,2,True,routing_candidate_strict,passed,core_scene_strict,core_scene::<core_scene>
occlusion|corner_drift,occlusion|corner_drift,8,3,3,1.0,scene_proxy_top4_support_v2,3,2,True,routing_candidate_strict,passed,core_scene_strict,core_scene::<core_scene>
occlusion|over_parsing,occlusion|over_parsing,4,4,1,1.0,scene_proxy_top4_support_v2,3,2,False,routing_candidate_weak,insufficient_workers,core_scene_weak,fallback::<core_scene>
oos::oos_geometry,oos::oos_geometry,4,4,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_oos,fallback::<core_scene>
oos::oos_split_level,oos::oos_split_level,4,2,3,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_oos,fallback::<core_scene>
low_texture|acceptable,other,1,1,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|fail,other,3,1,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|overextend_adjacent,other,2,1,2,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|corner_drift,other,3,1,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|overextend_adjacent,other,1,1,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
trivial|acceptable,other,1,1,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|acceptable,reflection|acceptable,5,5,1,1.0,scene_proxy_top4_support_v2,3,2,False,routing_candidate_weak,insufficient_workers,core_scene_weak,fallback::<core_scene>
