tier,n_rows,n_tasks,n_workers,mean_active_time,mean_iou,n_type4,n_oos,n_missing_scope,n_direct_log,n_lead_time_fallback
T_total,73,59,4,31.750356164383565,0.991644320921427,18,9,0,23,50
I_in_scope,64,53,4,30.842265625000003,0.9953736909765418,17,0,0,18,46
M_model_usable_clean,46,45,4,14.38089130434783,0.9953357980242109,0,0,0,5,41
