annotator_id,r_u,r_u_lcb,T_u,C_u,n_model_usable,n_prescreen_semi,n_scene_eligible,worker_group_v2,worker_group_reason_v2,worker_group_reason_chain_v2,group_rule_version_v2
1,1.0,1.0,0.16279069767441862,0.0,41,0,4,stable,stable_default_v2,n_model_usable:41;n_prescreen_semi:0;n_scene_eligible:4;r_u_lcb:1.0000;T_u:0.1628;C_u:0.0000,stabilized_worker_group_v2
2,0.9840649862376182,0.9713169752277128,0.14285714285714285,,2,0,0,ungrouped,insufficient_model_usable_v2,n_model_usable:2;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.9713;T_u:0.1429;C_u:na,stabilized_worker_group_v2
3,0.9719617698347048,0.9719617698347048,0.5,,1,0,0,ungrouped,insufficient_model_usable_v2,n_model_usable:1;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.9720;T_u:0.5000;C_u:na,stabilized_worker_group_v2
4,0.9226774834018794,0.860819470123383,0.8333333333333334,,2,0,0,ungrouped,insufficient_model_usable_v2,n_model_usable:2;n_prescreen_semi:0;n_scene_eligible:0;r_u_lcb:0.8608;T_u:0.8333;C_u:na,stabilized_worker_group_v2
