comparison_stratum,design,feature,baseline,algorithm,n_pairs,n_buildings,n_images,pair_concordance,building_macro_concordance,lo,hi
coarse_within_building,pooled,baseline__coarse,none,frequency,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,pooled,baseline__global,none,frequency,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,pooled,baseline__main,none,frequency,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,pooled,selected__all_models,global,ridge,62,3,37,0.629032258065,0.553333333333,0,1
coarse_within_building,pooled,selected__all_models,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
coarse_within_building,pooled,selected__bilayout,global,ridge,62,3,37,0.629032258065,0.651111111111,0.333333333333,1
coarse_within_building,pooled,selected__bilayout,main,ridge,62,3,37,0.58064516129,0.533333333333,0.5,0.6
coarse_within_building,pooled,selected__da3,global,ridge,62,3,37,0.564516129032,0.673333333333,0.52,0.833333333333
coarse_within_building,pooled,selected__da3,main,ridge,62,3,37,0.612903225806,0.497777777778,0.333333333333,0.66
coarse_within_building,pooled,selected__dinov3,global,ridge,62,3,37,0.5,0.5,0,1
coarse_within_building,pooled,selected__dinov3,main,ridge,62,3,37,0.41935483871,0.466666666667,0,1
coarse_within_building,pooled,selected__existing,global,ridge,62,3,37,0.693548387097,0.775555555556,0.66,1
coarse_within_building,pooled,selected__existing,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
coarse_within_building,pooled,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0,1
coarse_within_building,pooled,selected__existing_plus_dino,main,ridge,62,3,37,0.596774193548,0.588888888889,0.166666666667,1
coarse_within_building,pooled,selected__feedback,global,ridge,62,3,37,0.693548387097,0.775555555556,0.66,1
coarse_within_building,pooled,selected__feedback,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
coarse_within_building,pooled,selected__hohonet,global,ridge,62,3,37,0.532258064516,0.757777777778,0.44,1
coarse_within_building,pooled,selected__hohonet,main,ridge,62,3,37,0.564516129032,0.526666666667,0,1
coarse_within_building,pooled,selected__semantic,global,ridge,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,pooled,selected__semantic,main,ridge,62,3,37,0.564516129032,0.526666666667,0.5,0.58
coarse_within_building,pooled,selected__ulayout,global,ridge,62,3,37,0.5,0.597777777778,0.46,0.833333333333
coarse_within_building,pooled,selected__ulayout,main,ridge,62,3,37,0.387096774194,0.404444444444,0.166666666667,0.666666666667
coarse_within_building,within_coarse,selected__all_models,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__all_models,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__bilayout,global,ridge,62,3,37,0.475806451613,0.587777777778,0.43,0.833333333333
coarse_within_building,within_coarse,selected__bilayout,main,ridge,62,3,37,0.475806451613,0.587777777778,0.43,0.833333333333
coarse_within_building,within_coarse,selected__da3,global,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
coarse_within_building,within_coarse,selected__da3,main,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
coarse_within_building,within_coarse,selected__dinov3,global,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
coarse_within_building,within_coarse,selected__dinov3,main,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
coarse_within_building,within_coarse,selected__existing,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__existing,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__existing_plus_dino,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_coarse,selected__feedback,global,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
coarse_within_building,within_coarse,selected__feedback,main,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
coarse_within_building,within_coarse,selected__hohonet,global,ridge,62,3,37,0.629032258065,0.553333333333,0.5,0.66
coarse_within_building,within_coarse,selected__hohonet,main,ridge,62,3,37,0.629032258065,0.553333333333,0.5,0.66
coarse_within_building,within_coarse,selected__semantic,global,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
coarse_within_building,within_coarse,selected__semantic,main,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
coarse_within_building,within_coarse,selected__ulayout,global,ridge,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,within_coarse,selected__ulayout,main,ridge,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,within_main,selected__all_models,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__all_models,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__bilayout,global,ridge,62,3,37,0.524193548387,0.607777777778,0.49,0.833333333333
coarse_within_building,within_main,selected__bilayout,main,ridge,62,3,37,0.524193548387,0.607777777778,0.49,0.833333333333
coarse_within_building,within_main,selected__da3,global,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
coarse_within_building,within_main,selected__da3,main,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
coarse_within_building,within_main,selected__dinov3,global,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
coarse_within_building,within_main,selected__dinov3,main,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
coarse_within_building,within_main,selected__existing,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__existing,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__existing_plus_dino,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
coarse_within_building,within_main,selected__feedback,global,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
coarse_within_building,within_main,selected__feedback,main,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
coarse_within_building,within_main,selected__hohonet,global,ridge,62,3,37,0.693548387097,0.58,0.5,0.74
coarse_within_building,within_main,selected__hohonet,main,ridge,62,3,37,0.693548387097,0.58,0.5,0.74
coarse_within_building,within_main,selected__semantic,global,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
coarse_within_building,within_main,selected__semantic,main,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
coarse_within_building,within_main,selected__ulayout,global,ridge,62,3,37,0.5,0.5,0.5,0.5
coarse_within_building,within_main,selected__ulayout,main,ridge,62,3,37,0.5,0.5,0.5,0.5
main_within_building,pooled,baseline__coarse,none,frequency,62,3,37,0.5,0.5,0.5,0.5
main_within_building,pooled,baseline__global,none,frequency,62,3,37,0.5,0.5,0.5,0.5
main_within_building,pooled,baseline__main,none,frequency,62,3,37,0.5,0.5,0.5,0.5
main_within_building,pooled,selected__all_models,global,ridge,62,3,37,0.629032258065,0.553333333333,0,1
main_within_building,pooled,selected__all_models,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
main_within_building,pooled,selected__bilayout,global,ridge,62,3,37,0.629032258065,0.651111111111,0.333333333333,1
main_within_building,pooled,selected__bilayout,main,ridge,62,3,37,0.58064516129,0.533333333333,0.5,0.6
main_within_building,pooled,selected__da3,global,ridge,62,3,37,0.564516129032,0.673333333333,0.52,0.833333333333
main_within_building,pooled,selected__da3,main,ridge,62,3,37,0.612903225806,0.497777777778,0.333333333333,0.66
main_within_building,pooled,selected__dinov3,global,ridge,62,3,37,0.5,0.5,0,1
main_within_building,pooled,selected__dinov3,main,ridge,62,3,37,0.41935483871,0.466666666667,0,1
main_within_building,pooled,selected__existing,global,ridge,62,3,37,0.693548387097,0.775555555556,0.66,1
main_within_building,pooled,selected__existing,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
main_within_building,pooled,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0,1
main_within_building,pooled,selected__existing_plus_dino,main,ridge,62,3,37,0.596774193548,0.588888888889,0.166666666667,1
main_within_building,pooled,selected__feedback,global,ridge,62,3,37,0.693548387097,0.775555555556,0.66,1
main_within_building,pooled,selected__feedback,main,ridge,62,3,37,0.645161290323,0.755555555556,0.6,1
main_within_building,pooled,selected__hohonet,global,ridge,62,3,37,0.532258064516,0.757777777778,0.44,1
main_within_building,pooled,selected__hohonet,main,ridge,62,3,37,0.564516129032,0.526666666667,0,1
main_within_building,pooled,selected__semantic,global,ridge,62,3,37,0.5,0.5,0.5,0.5
main_within_building,pooled,selected__semantic,main,ridge,62,3,37,0.564516129032,0.526666666667,0.5,0.58
main_within_building,pooled,selected__ulayout,global,ridge,62,3,37,0.5,0.597777777778,0.46,0.833333333333
main_within_building,pooled,selected__ulayout,main,ridge,62,3,37,0.387096774194,0.404444444444,0.166666666667,0.666666666667
main_within_building,within_coarse,selected__all_models,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__all_models,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__bilayout,global,ridge,62,3,37,0.475806451613,0.587777777778,0.43,0.833333333333
main_within_building,within_coarse,selected__bilayout,main,ridge,62,3,37,0.475806451613,0.587777777778,0.43,0.833333333333
main_within_building,within_coarse,selected__da3,global,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
main_within_building,within_coarse,selected__da3,main,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
main_within_building,within_coarse,selected__dinov3,global,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
main_within_building,within_coarse,selected__dinov3,main,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
main_within_building,within_coarse,selected__existing,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__existing,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__existing_plus_dino,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_coarse,selected__feedback,global,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
main_within_building,within_coarse,selected__feedback,main,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
main_within_building,within_coarse,selected__hohonet,global,ridge,62,3,37,0.629032258065,0.553333333333,0.5,0.66
main_within_building,within_coarse,selected__hohonet,main,ridge,62,3,37,0.629032258065,0.553333333333,0.5,0.66
main_within_building,within_coarse,selected__semantic,global,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
main_within_building,within_coarse,selected__semantic,main,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
main_within_building,within_coarse,selected__ulayout,global,ridge,62,3,37,0.5,0.5,0.5,0.5
main_within_building,within_coarse,selected__ulayout,main,ridge,62,3,37,0.5,0.5,0.5,0.5
main_within_building,within_main,selected__all_models,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__all_models,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__bilayout,global,ridge,62,3,37,0.524193548387,0.607777777778,0.49,0.833333333333
main_within_building,within_main,selected__bilayout,main,ridge,62,3,37,0.524193548387,0.607777777778,0.49,0.833333333333
main_within_building,within_main,selected__da3,global,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
main_within_building,within_main,selected__da3,main,ridge,62,3,37,0.435483870968,0.375555555556,0.166666666667,0.5
