image_id,building,split,historical,raw_sequence_equal,cycle_equal,n_ceiling_floor_pairs_enclosed,n_ceiling_floor_pairs_extended,floor,floor_status,band,band_status,linear,linear_status,solid,solid_status
B6ByNegPMKs_8d4e583714dd484d8e1e9bfb38ef2250,B6ByNegPMKs,test,False,False,False,4,4,0,computable,0.00155416873282,computable,0.00187616654934,computable,0.00122322360453,computable
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,test,True,False,False,4,4,0,computable,0.0081889535363,computable,0.0155829135787,computable,0.00600342254549,computable
B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,B6ByNegPMKs,test,False,False,False,4,4,0,computable,0.00156328485684,computable,0.00199815554872,computable,0.00113012052801,computable
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,val,True,False,False,6,6,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6,UwV83HsGsw3,test,False,False,False,6,6,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,test,True,False,False,10,10,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,val,True,False,False,6,6,0,computable,0.00050977265332,computable,0.000377787027653,computable,0.000293010961093,computable
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,test,True,False,False,6,6,0,computable,0.00115355934559,computable,0.00145646837041,computable,0.000757695314187,computable
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,test,True,False,False,4,4,0,computable,0.000858476348915,computable,0.000994458465928,computable,0.000803801824629,computable
X7HyMhZNoso_a830b673f439458aa54a716194d972b7,X7HyMhZNoso,test,False,False,False,4,4,0,computable,0.000863982426202,computable,0.000983453921207,computable,0.000702506269329,computable
Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,Z6MFQCViBuw,test,False,False,False,4,4,0,computable,0.00179269155851,computable,0.00234912331687,computable,0.00134524659391,computable
b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,b8cTxDM8gDG,test,False,False,False,4,4,0,computable,0.00162175076235,computable,0.00170973028752,computable,0.00104964848798,computable
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,test,True,False,False,6,6,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc,e9zR4mvMWw7,test,False,False,False,4,4,0,computable,0.00315578757209,computable,0.00358885610531,computable,0.00299600798199,computable
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,test,True,False,False,4,4,0,computable,0.00116439337236,computable,0.00147179067866,computable,0.00102901033046,computable
e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9,e9zR4mvMWw7,test,False,False,False,4,4,0,computable,0.00113891213752,computable,0.00138308907626,computable,0.00117832340211,computable
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,jtcxE69GiFV,val,True,False,False,6,6,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,val,True,False,False,4,4,0,computable,0.00157803491505,computable,0.0017556417888,computable,0.00152723637179,computable
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,pa4otMbVnkk,val,True,False,False,4,4,0,computable,0.000818510403294,computable,0.00113783892678,computable,0.000477032724451,computable
q9vSo1VnCiC_aca93be82fdc4e8fb7874b3ca88ca3e8,q9vSo1VnCiC,test,False,False,False,4,4,0,computable,0.00147092707813,computable,0.00200342735092,computable,0.00111429909531,computable
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,test,True,False,False,4,4,0,computable,0.00207832348614,computable,0.00403281662054,computable,0.00141559886687,computable
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,test,True,False,False,8,8,0,computable,0.000890898576649,computable,0.000929836429644,computable,0.000912380554835,computable
uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1,uNb9QFRL6hY,test,False,False,False,4,4,0,computable,0.000836627908201,computable,0.00138517962737,computable,0.00078730703023,computable
wc2JMjhGNzB_99bcf51aef0947b6898bb8114219d730,wc2JMjhGNzB,test,False,False,False,4,4,0,computable,0.000410371471548,computable,0.000778529691069,computable,0.000293926537616,computable
x8F5xyUWy9e_61dabfb7fecf4f328ad300a6f4b96037,x8F5xyUWy9e,test,False,False,False,4,4,0,computable,0.00151264118846,computable,0.00159779378647,computable,0.0011868079473,computable
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,test,True,False,False,4,4,0,computable,0.000631603258135,computable,0.000805288775605,computable,0.000697027969861,computable
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,test,True,False,False,4,4,0,computable,0.00206761535502,computable,0.00217603058205,computable,0.00181259150141,computable
yqstnuAEVhm_6f4d197078d14d6e944ed6533598a6f9,yqstnuAEVhm,test,False,False,False,6,6,0,computable,0.00185650053495,computable,0.00197972956147,computable,0.00166359103808,computable
yqstnuAEVhm_e3a33da5e5334b3fbc96997fc9c269dd,yqstnuAEVhm,test,False,False,False,8,8,0,computable,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary,,non_single_valued_or_nonstar_boundary
