sizes,k,max_abs_error
"[2, 2]",1,0
"[2, 2]",2,0
"[2, 2]",3,0
"[2, 2]",4,0
"[3, 2, 1]",1,1.11022302463e-16
"[3, 2, 1]",2,1.11022302463e-16
"[3, 2, 1]",3,1.11022302463e-16
"[3, 2, 1]",4,1.11022302463e-16
"[3, 2, 1]",5,2.22044604925e-16
"[3, 2, 1]",6,0
"[2, 1, 1, 1]",1,1.38777878078e-16
"[2, 1, 1, 1]",2,2.22044604925e-16
"[2, 1, 1, 1]",3,2.22044604925e-16
"[2, 1, 1, 1]",4,1.11022302463e-16
"[2, 1, 1, 1]",5,0
