cohort,images,raw_sequence_equal,cycle_equal,floor_computable,floor_zero,floor_median,floor_p90,floor_le_0.005,floor_le_0.01,floor_le_0.02,floor_le_0.05,floor_le_0.1,band_computable,band_zero,band_median,band_p90,band_le_0.005,band_le_0.01,band_le_0.02,band_le_0.05,band_le_0.1,linear_computable,linear_zero,linear_median,linear_p90,linear_le_0.005,linear_le_0.01,linear_le_0.02,linear_le_0.05,linear_le_0.1,solid_computable,solid_zero,solid_median,solid_p90,solid_le_0.005,solid_le_0.01,solid_le_0.02,solid_le_0.05,solid_le_0.1
all_380,380,90,90,377,119,0.00885944458367,0.0748046535532,157,199,261,328,347,265,84,0.00208024205704,0.00991284736689,191,240,257,262,264,265,84,0.00193206951262,0.00934349994957,200,240,251,259,261,265,84,0.00166087405151,0.00733377640875,211,250,259,262,265
historical,214,47,47,212,62,0.00945022658734,0.0901970802482,87,107,140,181,193,138,44,0.00213156196495,0.0103499393783,95,123,132,135,137,138,44,0.00221369308439,0.00846606678377,101,126,132,134,136,138,44,0.00173673277646,0.0074015650453,107,129,134,135,138
candidate,166,43,43,165,57,0.00770858598207,0.050167723551,70,92,121,147,154,127,40,0.00202717169315,0.00911901275654,96,117,125,127,127,127,40,0.00186786821187,0.00996677587326,99,114,119,125,125,127,40,0.00164779223,0.00622131254653,104,121,125,127,127
test,310,74,74,307,98,0.00877129757041,0.0823629548996,130,162,212,265,281,217,70,0.00207832348614,0.00997330454577,154,196,210,214,216,217,70,0.00187616654934,0.00982325032415,164,195,204,211,213,217,70,0.00164779223,0.00749453293362,172,205,212,214,217
val,70,16,16,70,21,0.00888519736188,0.0465300991202,27,37,49,63,66,48,14,0.00258697347172,0.00909740119576,37,44,47,48,48,48,14,0.00227651477391,0.00746805922553,36,45,47,48,48,48,14,0.00193931462862,0.00596262416684,39,45,47,48,48
