image_id,historical,integer_sequence_equal,native_uv_sequence_equal,native_uv_cycle_equal,legacy_integer_floor,legacy_integer_status,pixel_center_integer_floor,pixel_center_integer_status,native_uv_floor,native_uv_status,max_native_coordinate_difference_pixels_when_integer_equal
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,True,False,False,False,0.006161733993663598,computable,0.006165309596312674,computable,0.0020958145010956386,computable,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,True,True,False,False,0.0,computable,0.0,computable,0.0003468756753352009,computable,0.014005299199993715
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,True,True,False,False,0.0,computable,0.0,computable,0.0017138578689980255,computable,0.06770616320000045
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,False,False,False,False,0.007394621650847255,computable,0.007385058839402325,computable,0.007194826800503429,computable,
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,False,False,False,False,0.038522876849400034,computable,0.03848192304604692,computable,0.03070163068723586,computable,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,True,False,False,False,0.012139144685237024,computable,0.012160886324955045,computable,0.009708270704767652,computable,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,True,True,False,False,0.0,computable,0.0,computable,0.0006167429206651587,computable,0.025063577600008102
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,False,False,False,False,0.01315014013080984,computable,0.013101704359707145,computable,0.006603652591879228,computable,
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,False,False,False,False,0.11134158958281026,computable,0.11120868252987426,computable,0.1062168986567188,computable,
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,False,False,False,False,0.005275287352327518,computable,0.005305186051983268,computable,0.005148131720522198,computable,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,True,False,False,False,0.004061956309095893,computable,0.004086597487339083,computable,0.006545415234692098,computable,
