image_id,building_id,config,common_people_budget,k_max,lookahead,min_support,epsilon,repeat_rate,N_possible,N_lower_bound_crossing,N_identified,N_status
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.975,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.975,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.975,25,20,5,2,0.1,0.8,1.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.950,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.950,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.950,25,20,5,2,0.1,0.8,14.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.925,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.925,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.925,25,20,5,2,0.1,0.8,14.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.900,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.900,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.900,25,20,5,2,0.1,0.8,14.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.850,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.850,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.850,25,20,5,2,0.1,0.8,14.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,q_0.800,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,q_0.800,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,q_0.800,25,20,5,2,0.1,0.8,14.0,,,unknown
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,ospa30_t6,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,ospa30_t6,25,20,5,2,0.1,0.8,,,,not_reached
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,ospa30_t6,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.975,25,20,5,2,0.1,0.8,12.0,,,unknown
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.975,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.975,25,20,5,2,0.1,0.8,12.0,,,unknown
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.950,25,20,5,2,0.1,0.8,14.0,17.0,,unknown
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.950,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.950,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.925,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.925,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.925,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.900,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.900,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.900,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.850,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.850,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.850,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,q_0.800,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,q_0.800,25,20,5,2,0.1,0.8,5.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,q_0.800,25,20,5,2,0.1,0.8,,,,not_reached
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,ospa30_t6,25,20,5,2,0.1,0.8,14.0,,,unknown
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,ospa30_t6,25,20,5,2,0.1,0.8,8.0,,,unknown
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,ospa30_t6,25,20,5,2,0.1,0.8,14.0,,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.975,20,15,5,2,0.1,0.8,1.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.975,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.950,20,15,5,2,0.1,0.8,8.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.950,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.925,20,15,5,2,0.1,0.8,7.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.925,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.900,20,15,5,2,0.1,0.8,5.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.900,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.850,20,15,5,2,0.1,0.8,5.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.850,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,q_0.800,20,15,5,2,0.1,0.8,5.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,q_0.800,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,ospa30_t6,20,15,5,2,0.1,0.8,12.0,,,unknown
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,ospa30_t6,20,15,5,2,0.1,0.8,1.0,2.0,,unknown
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,9.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,16.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,8.0,8.0,8.0,identified
